post_id,cmt_content,cmt_author,cmt_created_at
한그림,"저는 언론의 문제도 크다고 봅니다. 제목팔이를 위해 자극적으로 보도해서 여론을 왜곡시키거든요. 지난 BMW화재 사건때도, 마치 누군가가 차량에 심어놓은 원격장치의 스위치를 킨것 처럼 동시다발적으로 보도가 나왔거든요. 불난이야기, 불날뻔한이야기, 불났던이야기, 기사를 막쏟아내었는데 공포심만 키웠다고 봅니다.",18779238,2024-08-07 07:31:06
graycode,@한그림님 기성 미디어가 이제 전기차 포비아로 인한 주민 갈등을 전달하고 있더군요.. (싸움 붙이고 싸움 중계하는 꼴..) 물론 전기차 혐오에 진심인 MBC는 그것마저도 안하고 있지만요..,18779238,2024-08-07 08:53:47
에릭핑거,현재 대한민국에서 가장 많이 팔리는 쏘렌토. 싼타페. 그랜져 하이브리드 모델에서 얼마전 일어난 청라 화재 사건 같은게 일어났다면 이렇게 공격했을까요? 초기에내연차대비 진압에 애로점이 있다는 것도 알겠고 다 인정하겠는데 차를 팔라느니. 반성하면서 외부주차장으로 가라느니.. 각서를 쓰고 주차를 하라느니... ㅎㅎ 그냥 언제나 그랬듯 다수는 소수를 향해서 공격을 했었고 그냥 그러려니 합니다.,18779238,2024-08-07 07:48:23
김나실,"인류가 걸어다니다 말 타고 타녔을 때도, 마차 타다 외연기관 넘어 갈때도, 외연기관에서 내연기관 넘어 갔을때도 지금 상황이랑 다르지 않았을 겁니다. 이 또한 지나갑니다~~",18779238,2024-08-07 08:13:15
Karyudrian,일부 댓글들 보면 여기가 진짜 차 좋아해서 모인 사람들이 맞나 싶죠.,18779238,2024-08-07 08:17:35
nanothings,@Karyudrian님 요즘 굴당 조회수가 좀만 높아도 대문에 걸려서 원래 굴당 분 아닌 분들까지 많이 유입되는 경향이 있는 것 같습니다.,18779238,2024-08-07 09:09:18
콘택트,BMW 화재 사태처럼 큰 추가 사고가 없으면 이 또한 지나갑니다,18779238,2024-08-07 08:30:32
천문공,"언론의 문제도 있고, 클리앙 내에서 포비아를 부추키는 이들이 존재 합니다. 이 중에는 악의 없이 여러 의견을 보고 판단하는 사람들도 있지만, 주도 하면서 부추키는 사람들이 있는데, 딱 보면 그 아이디가 그 아이디죠.",18779238,2024-08-07 08:35:07
망한드립,이번 사안들에 대한 전기차주분들의 반박논리 중 가장 많이 하는 얘기가 “내연차가 통계적으로 불이 더 많이 났다”입니다. 서로 똑같아요,18779238,2024-08-07 08:36:21
꾸꾸믹스,@님 ….,18779238,2024-08-07 13:07:11
nanothings,@님 서로 똑같다고요? 애초에 전기차가 문제다 라는거 자체가 아예 편을 나누는 것을 전제하고 하는 말입니다. BMW때는 왜 내연차가 문제다라는 사람은 아무도 없었나요? 그게 당연하니까요. 이번 청라건은 충전중이지도 않은 자연발화건으로 처음인데 왜 전기차가 문제다가 나오나요 그리고 내연차가 통계적으로 불이 더 났다고 하는건 그렇다고 내연차 문제다 라고 하는 사람 없지 않느냐 하는 말에 대한 근거일 뿐입니다. 내연차가 더 잘못했네 따지자고 하는 말이 아니라요. 애초에 전기차가 문제라고 하는 사람이 편을 가르고 반박하는 사람을 다 상대편으로 몰아가면서 뭐가 양쪽다 잘못했다고 하시는지요,18779238,2024-08-07 15:24:10
따불로,"@꾸꾸믹스님 그 글이 가장 한심했죠. 전기차 배터리가 소비자가 열어 볼 수 있는 것도 아니고, 제조사의 책임을 촉구하는 논의를 해야지, 내연기관도 화재 발생한다고 전기차 이미지만 생각하는 물타기를 하니 당연히 다른 사람들이 반발을 하죠.",18779238,2024-08-07 15:45:59
1657,그래도 여기는 꽤 온건한 편입니다 나름 차 좋아하는 사람들이 모인곳이라 극히 일부를 제외하면 토론이라고 할만한 수준의 대화가 오가는데 다른 사이트는 그냥 눈감고 귀닫고 전기차 욕하느라 바빠요,18779238,2024-08-07 08:36:53
법돌법돌,그래도 여긴 진짜 양반입니다 하 ㅠㅋㅋㅋ,18779238,2024-08-07 08:39:39
커피끊자,"""이 또한 지나가리라"" 말고는 답이 없는 상황인 것 같습니다. 자동차 전문 유튜버들은 차분하게 접근하고 있지만 접근성에 한계가 있고 주장이 널리 퍼지기 어렵죠. 반대로 공중파 등 언론들은 공포팔이에 정신없구요. 시간이 지나서 전기차가 더 많이 보급되고 그에 따라 오해가 자연스럽게 풀리기 전에는 그냥 견디는 수 밖에요.",18779238,2024-08-07 08:48:17
머슴카,시기상조당에 입당했으면 그럴려니 해야죠 ㅎㅎ,18779238,2024-08-07 08:55:04
전자치킨,전 오히려.. 요새 출퇴근 차량으로 전기차 알아보고있습니다.. (기웃기웃),18779238,2024-08-07 09:00:46
펀드라이빙,이번 사건으로 그래도 클리앙 굴러간당이 최고의 국내 자동차 커뮤니티라는 걸 체감했습니다 ( 다른 자동차 커뮤니티들은 장난 아니였습니다 ) 솔직히 굴러간당에도 날선 댓글이 많았던것 사실이였으나 그래도 이 정도 이성적으로 좋은 글들과 좋은 댓글들로 토의하고 의견 교환하는 커뮤니티 흔하지 않습니다,18779238,2024-08-07 09:03:23
graycode,내보내실 때 완충자제.. 아니면 안충 후 장시간 방치는 자제하시라는 정도의 안내라도 하고 내보내시라고 말씀드리고 싶은데.. 사실.. 그런 것도 쉽지는 않을 것 같네요..,18779238,2024-08-07 09:07:41
두들러,"차 자체를 좋아하고 최근 전기차를 좋아해서 잘 타고있습니다. 저도 이런 분위기가 참 슬프네요. 화재가 대규모 화재가 된 이유는 관심없고, 그냥 전기차 산 사람들을 공격하는 분들도 계시더라고요. 청라 eqe차주분은 도대체 무슨 잘못을 하신걸까요? 그분도 그냥 일반 소비자였을텐뎅요",18779238,2024-08-07 09:20:09
