post_id,cmt_content,cmt_author,cmt_created_at
할말을잃었습니다,저건 충전중도 아닌거 같은데 거의 자연발화수준이네요?>??,17412410,2022-07-18 10:20:00
MDEASY,자연발화 했네요 ㄷㄷㄷ,17412410,2022-07-18 10:20:17
WhaleDocker,발화즉시 고스트라이더 되겠네요.,17412410,2022-07-18 10:20:30
하얀기적,진짜 순식간이네요. ㅎㄷㄷ,17412410,2022-07-18 10:22:20
구르는고옴,심지어 엘리베이터 안에서 발화하는 사건이 있었습니다(중국). 배터리 안정성에 대한 경각심을 갖고 고출력(전동 이동기기)들은 충격에 조심해서 타야 겠어요. 저는 가솔린 차량이지만 보조석 아래에 소화기 비치하기 해두었습니다.,17412410,2022-07-18 10:22:21
-Nevermind-,@구르는고옴님 저도 그 짤 봤는데 어린아이가 같이 타고 있는걸 보고 불 붙기전에 뒤로가기 눌렀습니다... 못보겠더라구요;;,17412410,2022-07-18 10:32:42
Summilux,우리나라 셀 사용 전기차도 화재 사례 제법 있지 않았나요? 에너지밀도도 밀도인데 안정성이 더 중요한 것 같습니다. LFP가 대세가 되어야 하는 것이 아닌지..,17412410,2022-07-18 10:22:50
The_Power,전기차도 문제입니다. 언젠가 아파트 지하주차장에서 사고가 터질건데... 진화가 안되니...,17412410,2022-07-18 10:23:52
kayfc,배터리 안정성이 이렇게 떨어지나 보네요. 전기차 배터리로인한 화재를 해결하는데 하루걸렸다는 기사를 본것같은데.. 문제네요. 뭔가 이상 발생할때 회로가 끊어진다던지 화재방지시스템이 속히 개발되고 사용이 법제화 되야 할것 같네요.,17412410,2022-07-18 10:24:01
kayfc,@님 아... 그렇겠군요. 배터리를 적당한사이즈로해서 나누고 나눈 셀들사이에 회로를 구성하는식으로하면 좀더 안정화시킬수 있지않을까?하고 암것도모르는 사람이라 황당할수도있는 생각을 해봤습니다. 전고체말씀을 하시는것 보니 현재는 액체가쓰여서 컨트럴하기가 복잡한가보네요.^^;; 근데 왠지 고체로하면 효율이 높지않을것같은 느낌이있네요.. 좋은배터리가 나와야. 전기차도. 핸폰도.편하게 사용할텐데. 쉽진않나봅니다^^;;,17412410,2022-07-18 10:40:51
에일리언,"알리에서 절대 안사는게 배터리네요... 놋북 배터리나, 핸디 청소기 교체용이 싸게 나와 있지만요...",17412410,2022-07-18 10:25:04
지름설계사,내연기관 바이크도 탈땐 저리 타죠.. 갈수록 올라가는 기온 때문에 더 걱정이긴합니다,17412410,2022-07-18 10:27:21
구삼이로,베터리 보관용 철제 캐비넷 하나 들여야 겠군요. 불안 하네요.,17412410,2022-07-18 10:28:10
YGee,중국산 리튬 배터리 못 믿겠습니다.. ㅎㅎㅎㅎ,17412410,2022-07-18 10:28:19
제리엘,"그나마 차는 내충격 기반 보호라도 하니 다행인데, 오토바이들은 대충 만든거 저렴하다고 타다가는 큰일 날듯요. 기술의 한계를 한번 뛰어넘어야 안정화 되겠어요.",17412410,2022-07-18 10:30:11
Smile_today,저번 고속도로 톨게이트 박은 전기차 화재도 저런 식으로 순식간에 불길이 났으면 피하는게 불가능했겠네요,17412410,2022-07-18 10:30:11
카슈밀,국내도 그렇고 외국도 그렇고 대기업 수준 아니면 배터리 개판입니다 나인봇이 극찬 받은게 배터리 퀄리티가 진짜 좋죠 위 짤은 그나마 야외니 대피가 되지만 엘베에서 화재난적이 있어 대부분 죽은게 기억납니다 요,17412410,2022-07-18 10:30:21
헤도니스,전기차는 고온이 되기전에 에어컨이라도 돌아가는데 저런건 그런 대책이 전혀 없네요,17412410,2022-07-18 10:30:43
알레그로,중국 물건은 100만원 밑으로 목숨에 영향 없는 선으로만 사는 겁니다,17412410,2022-07-18 10:35:54
블루자바,현기 코나는 대충만든것도 아닌데 불났죠,17412410,2022-07-18 11:56:47
짱무지,주행중에 불붙으면 브레이크 밟기도 전에 화상입겠네.,17412410,2022-07-19 16:41:28
숨숨숨,미국에서 조사했을 때 하이브리드가 제일 사고위험이 높다고 한걸 본 기억이 있습니다,17393658,2022-07-10 23:03:57
