index,pdf,cumulative_num,post_type,relative_time
0,0.07461875673485399,0,1,0
1,0.09223352356398845,1,1,0
2,0.10542301480391038,2,1,0
3,0.11142634967913374,3,1,0
4,0.10890459769194186,4,1,0
5,0.09842612033682606,5,1,0
6,0.08225841912250145,6,1,0
7,0.06357058249076902,7,1,0
8,0.045429490170441636,8,1,0
9,0.03002101526002237,9,1,0
10,0.018345042728321114,10,1,0
11,0.01036616029319487,11,1,0
12,0.005416552447333164,12,1,0
13,0.002617181401291836,13,1,0
14,0.0011693662042224129,14,1,0
15,0.00048314010690425136,15,1,0
16,0.00018458715835593256,16,1,0
17,6.521323088819302e-05,17,1,0
18,2.1304718018238105e-05,18,1,0
19,6.436084001631887e-06,19,1,0
20,1.7979328073106054e-06,20,1,0
21,4.644415338771755e-07,21,1,0
22,1.1094161516475554e-07,22,1,0
23,2.4505510720806956e-08,23,1,0
24,5.005400952919927e-09,24,1,0
25,9.454092037304103e-10,25,1,0
26,1.651226386468431e-10,26,1,0
27,2.666854084642971e-11,27,1,0
28,3.982884646791637e-12,28,1,0
29,5.500498402016799e-13,29,1,0
30,7.024447926459136e-14,30,1,0
31,8.295225412704095e-15,31,1,0
32,9.058369388210652e-16,32,1,0
33,9.146979409819783e-17,33,1,0
34,8.541049058511015e-18,34,1,0
35,7.374805508888608e-19,35,1,0
36,5.888379154225509e-20,36,1,0
37,4.347572187524274e-21,37,1,0
38,2.9682718755849495e-22,38,1,0
39,1.8739862180391332e-23,39,1,0
40,1.0940444017225388e-24,40,1,0
41,5.906216245560704e-26,41,1,0
42,2.9484215691163884e-27,42,1,0
43,1.3610549378498604e-28,43,1,0
44,5.8098854731022434e-30,44,1,0
45,2.2933235328749944e-31,45,1,0
46,8.370837742144535e-33,46,1,0
47,2.825389716123793e-34,47,1,0
48,8.818478014395506e-36,48,1,0
49,2.545158029794948e-37,49,1,0
50,6.792688664627532e-39,50,1,0
51,1.6763878571271958e-40,51,1,0
52,3.825719664068106e-42,52,1,0
53,8.073421375148096e-44,53,1,0
54,1.5754620171063242e-45,54,1,0
55,2.8429164362363244e-47,55,1,0
56,4.74379695108883e-49,56,1,0
57,7.319710909137807e-51,57,1,0
58,1.0444017875758315e-52,58,1,0
59,1.3779933573982274e-54,59,1,0
60,1.6812507138883319e-56,60,1,0
61,1.8968093403747498e-58,61,1,0
62,1.9788857331647253e-60,62,1,0
63,1.9090776595806835e-62,63,1,0
64,1.7030692736472074e-64,64,1,0
65,1.4049047207122237e-66,65,1,0
66,1.0716852912999222e-68,66,1,0
67,7.559507610066592e-71,67,1,0
68,4.93089309805647e-73,68,1,0
69,2.974154366193004e-75,69,1,0
70,1.6588505630149648e-77,70,1,0
