"post_id","cmt_content","cmt_author","cmt_created_at"
"6254283","레이ev 그거도 중국산 배터리예요 ㅋㅋㅋㅋㅋㅋㅋ지금은 현기가 중국산 손절하고 국산배터리 넣고있어요 불나는건 다 중국산 배터리예요 ㅋㅋ","대전지은남편","24.08.02 23:25"
"708567","자동차 참 문제네..","딤껌쮸","24.08.06 11:14"
"6254077","여럿 살려면 지상주차 하는게 맙음.","컨버터블","24.08.01 20:06"
"708562","불쌍하네 ㅋㅋ","EV5","24.08.02 21:32"
"2319232","불나서 난리가 나야 전기차가 얼마나 위험한지 알지. 불한번 나면 지하주차장을 초토화 시켜버리는전기차. 과연 국산 전기차는 불이안날까?","갠역시","24.08.01 22:49"
"3132256","ㅠㅠ","발꼬락화팅","24.08.02 08:41"
"3132246","무섭드아","닉네임계속중복이래","24.08.01 17:26"
"3132207","이쿠 에쿠 eq","카르세","24.08.01 19:41"
"6253722","아파트 지하 전기차 충전기 밖으로 다빼야 함충전소 자리만 차지하고 텅텅비어있고뭐하는 짓인지..","앗미련곰탱이","24.08.01 14:35"
"708549","짱개 전기차는 아니다 진짜","짐승남이다","24.08.01 11:36"
