post_id,cmt_content,cmt_author,cmt_created_at
Forecasting,그러면 ix3 등 타 CATL 배터리 차량은 한숨 돌리는거고 EQE로 집중이 되는걸까요... 벤츠는 왜 그런 배터리를...,18778321,2024-08-05 16:46:09
고소.미,@Forecasting님 안그래도 저희 아버지 작년에 ix3 구매해드렸는데 뭔가 마음의 짐이있었는데 하.... 이제 제 차만 문제가 되니 한결 낫네요.. 하.......,18778321,2024-08-05 17:03:38
영원회귀,@Forecasting님 벤츠 최대주주가 중국이라서 중국배터리 쓰나 봅니다,18778321,2024-08-05 22:35:36
viatoris,"헐.. 반전이라면 반전이네요?? 그나마 알려진 catl도 아니고.. ;;; 찾아보니 이런 기사가 뜨네요... '눈덩이 적자' 中 9위 배터리업체 푸넝커지, 국영에 넘어가 https://www.asiae.co.kr/article/2023120109023084021",18778321,2024-08-05 16:46:40
viatoris,말이 9위지.. 저 당시 시장점유율이 1%대네요..;,18778321,2024-08-05 16:54:06
크로론,더 싼 브랜드일까요..? 출시 기사엔 catl 로 다 발표했던거같은데...?,18778321,2024-08-05 16:47:11
Forecasting,"@크로론님 어제 구글 검색을 하다보니 EQE에는 CATL, 패러시스가 쓰인다고 나오긴했습니다.",18778321,2024-08-05 16:49:23
Forecasting,https://v.daum.net/v/cz3zFK7hGh 리콜 이유는 배터리 화재 위험이다. BAIC그룹은 ... 특정 환경에서 배터리 화재 발생 가능성을 언급했다. 리콜 대상 전기차에 탑재된 배터리를 만든 곳은 중국 동남부 장시성 간저우시의 리튬이온 배터리 제조사 패러시스다. 패러시스도 즉시 입장문을 내고 결함을 인정했다. 독일 다임러의 자회사 메르세데스-벤츠와의 파트너십도 배터리 품질 때문에 삐걱거리고 있다는 보도도 나왔다. ... 지난달 독일 매체 매니저매거진은 패러시스가 납품한 첫 배터리셀 샘플이 재앙 수준이라고 보도했다.,18778321,2024-08-05 16:47:19
서여림,고급차에 듣보 배터리를 넣네요 벤츠장사 잘하네요,18778321,2024-08-05 16:50:40
비쓰,@서여림님 마크만 보고 사는 소비자들 이번에 정신이 번쩍들겠네요 ㄷㄷㄷㄷ 특히 전기차는 기존 자동차의 핵심부품인 엔진과 기어가 별 의미가 없어져서........,18778321,2024-08-05 22:27:08
리누,"CATL 오지게 욕 먹더니, 제조사가 한술 더 뜨는 업체네요.. 허허...",18778321,2024-08-05 16:50:59
법돌법돌,패러시스 얘네는 진짜 좀..,18778321,2024-08-05 16:53:30
고소.미,이야 이거 EQE SUV도 같은 배터리일텐데 구매자들 전부 소송걸겠네요. 저도 참여해야겠습니다...,18778321,2024-08-05 16:54:20
theshape,벤츠 ”CATL 보증 한다고 했지만 패러시스는 그런 말 한 적 없습니다!“?,18778321,2024-08-05 16:54:34
코발트블루하늘,출처가 삼프로TV여서 다른 매체에서 쓴건 없나 찾아보니 연합에서 쓴 기사도 있네요. https://v.daum.net/v/20240805163243728 인천 '전기차 화재' 배터리는 中업체 '파라시스' 제품,18778321,2024-08-05 16:54:37
km0318,"2019년 기사인데 ""독일의 자동차전문지 AMS(Auto Motor und Sport)가 다임러의 배터리 전기차 개발과정에서 중국의 배터리 제조업체 패러시스에 2020년 7월 4억 유로를 투자해 지분 3%를 받았는데 최근 배터리 셀 문제로 관계가 흔들릴 수 있다는 의견을 제시했다. 패러시스가 첫 번째 배터리 셀 샘플을 다임러에 전달했는데 다임러 관계자는 그에 대해 자세한 설명은 하지 않았지만 상당한 문제가 있다고 말했다고 한다. "" 정말 저 배터리라면 생각보다 심각할수도 있겠네요.",18778321,2024-08-05 16:58:18
Marcolini,헐... 충격이네요,18778321,2024-08-05 17:00:31
선잎,best or nothing 은 그저 마케팅 용어였을 뿐...이군요,18778321,2024-08-05 17:02:28
리누,@선잎님 인지도 nothing 배터리를 넣어드렸습니다..?,18778321,2024-08-05 17:03:09
별바람달,@선잎님 진짜로 nothing을 넣어버렸네요. 제가 배터리나 전기차에 관심이 많은건 아니긴 한데 처음 들어보는 업체네요.,18778321,2024-08-05 17:06:08
컹컹컹,선잎님// 과거엔 best 요센 nothing 이라고 하죠,18778321,2024-08-05 18:05:48
하늘풀,"전기차 알못이라 그런지, 패러시스라는 회사는 아예 지금 이 기사로 처음 들어보네요. 저만 그런건가요 ;;",18778321,2024-08-05 17:03:00
법돌법돌,아니 그.. CATL 만 넣어주는거 아니었나여.. 인터뷰에선 그랬던 것 같은데..,18778321,2024-08-05 17:04:28
아마노카,법으로 배터리 어느 제조사꺼 썻는지 공표라도 하게 해야 할려나요 백번 양보해서 CATL은 그렇다 쳐도 패러시스라는 듣보 업체껄 썻다고 하면 지금만큼 팔렸을지 의문이네요,18778321,2024-08-05 17:05:25
사자머리12,이건 벤츠가 입이 열개라도 할말이 없겠네요. 근데 해도 해도 너무했네요.,18778321,2024-08-05 17:06:13
헬로닥터,하..벤츠 진짜... CATL 넣었다고 해도 쌍욕 들어먹을 판에 뭐 패러시스요? 그 비싼 차에 어디 이런 듣보잡을 넣나요?,18778321,2024-08-05 17:06:59
New댜넬,@헬로닥터님 어쨋든 CATL은 전세계 1위의 배터리 회사인데;;; 페러시스는;,18778321,2024-08-05 20:09:56
Tide,공이 넘어갔군요. 역시 공식 발표에서 나오는 정보가 허를 찌르네요. 앞으로도 조사내용이 기다려집니다.,18778321,2024-08-05 17:07:46
power77,패러시스 배터리는 첨듣는군요. 벤츠전기차는 걸러야 할듯합니다,18778321,2024-08-05 17:08:51
등신돈까스,"이에 대해 벤츠코리아 관계자는 ""아직까지 화재 사고 조사가 진행 중이기 때문에 어떤 업체의 배터리가 탑재된 것인지 확인해주기 곤란하다""며 ""다만 CATL 배터리를 탑재하지는 않았다""고 설명했다. 사고랑 무관하게 배터리 어떤업체인지 알려주는게 문제가되나요?? 벤츠는 정말..",18778321,2024-08-05 17:16:45
웨건마니아_록맨10,@등신돈까스님 아니 근데 애초에 판매 차량에서 배터리 뭔지는 알려주고 팔아야 하는데 그건 관계자가 아니고 고객부터 다 알고 있어야 맞는거 아닌지.,18778321,2024-08-05 17:36:21
Ondol,@등신돈까스님 아니 제조사 조차 알려줄수 없다구요??? 입김 넣어서 유럽 지역 전동화 늦추는거 보고 많이 죽었구나 싶었는데 이젠 진짜 지는 별인가 싶네요...,18778321,2024-08-05 18:58:12
Serafim,그냥 중국배터리도 아니고 요상한 처음듣는 배터리를 벤츠가 썼다니 놀랍네요,18778321,2024-08-05 17:17:55
클로로,결국 짱츠 인정인가 보네요..완전 우롱이네,18778321,2024-08-05 17:21:14
kgican,아예 처음듣네요 ㄷㄷㄷ 저런 회사를,18778321,2024-08-05 17:39:57
sltx,어차피 보증은 벤츠가 하는 거죠. CATL이든 패러시스든 그건 벤츠가 알아서 할일이구요.,18778321,2024-08-05 17:49:53
제이디피,와... 진짜... 벤츠인데.. 저런 배터리를 쓰고있었다니.. 놀랍습니다. .,18778321,2024-08-05 18:32:52
예리남편,똥차네요. 쌍팔년도도 아니고 장난하나.,18778321,2024-08-05 18:42:53
Hogie,패러시스 지분을 샀다네요 다임러그룹이,18778321,2024-08-05 19:34:07
리릿,"https://www.farasis-energy.com/en/about-us/ 이게 패러시스가 터키에 공장이 있고, 이게 유럽용 공장인가보네요. 우리나라 EQ는 모두 '독일생산'이니까, 터키에서 독일로 셀이 이동되고.. 거기 벤츠 팩 공장에서 배터리 팩으로 되서 벤츠에 장착이 되나보네요.",18778321,2024-08-05 19:47:51
비두카,중국산은 메이커든 비메이커든 중국산,18778321,2024-08-05 21:19:49
내각제절대안됨,벤츠eqe 차량 값이 1억 넘지 않나요?????????????,18778321,2024-08-05 21:46:31
고소.미,@내각제절대안됨님 차량가액은 그렇습니다만 작년 연말부터 할인 기본 2장 깔고 시작입니다. EQS는 3~4장 깔고 시작이고요.,18778321,2024-08-05 21:49:47
10000p,배터리가 어디든 불날 수 있는 사고입니다. 다른 전기차 화재처럼 한 두대 타고 끝난게 아니라 왜 재난이 됐는지 조사가 중요하다고 봅니다,18778321,2024-08-05 22:23:23
비쓰,@10000p님 ???? 멀쩡히 서있는 차가 갑자기 불이나는게 불날 수 있는 사고인가요????,18778321,2024-08-05 22:28:31
