"post_id","cmt_author","cmt_content","cmt_created_at"
"7341118872","초랑","벤츠 ㅈ되네","2024.08.09 14:56"
"7341118872","공돌이는메이저","전기차 자체가 중고값이 걍 없다","2024.08.09 14:56"
"7341118872","강형욱네보신탕집","공돌이는메이저 그건아닌디","2024.08.09 16:13"
"7341118872","국밥집다데기도둑","매입하는 순간 주변 딜러들한테 욕 개같이먹을둣 ㄷㄷ","2024.08.09 14:56"
"7341118872","외화벌고싶다","ㄷㄷㄷ","2024.08.09 14:57"
"7341118872","랄부쪽","진짜 불 한번더나면으 상상도하기싫다","2024.08.09 14:58"
"7341118872","난이제관심없어","전기차 사는거 꺼려지지","2024.08.09 14:58"
"7341118872","유희쩌리왕","앞 공장 사장 벤츠 전기차 하이브리드 맨날 충전 하면서 내가 왜 이 짓을 하는지 모르겠다고 궁시렁 대시던데","2024.08.09 15:11"
"7341118872","어흥야옹멍멍","벤츠 최대 주주는 中 베이징 자동차","2024.08.09 15:13"
"7341118872","엘파","당근이나 중고나라 가야지 뭐","2024.08.09 15:13"
"7340777210","상경쥐","사진보니 괜히 유지비 아낄생각하지말고 내연기관 타라는 큰뜻","2024.08.09 12:55"
"7340777210","리푸리","저분 집에 가셨다는게 최신 찌라시던데 ㄷㄷ","2024.08.09 12:55"
"7340777210","마카로","리푸리 저딴식으로 영업할거면 집가는게 맞음","2024.08.09 12:56"
"7340777210","헤롱헤롱비둘기","짐싸서 집에 갓다고 내용나온게 최신 ㅋㅋ","2024.08.09 12:55"
"7340777210","개냥이산책시킴","영업이 아니라 티배깅임 이건","2024.08.09 12:58"
"7340777210","gagnagry","일반인 어그로겠지 했는데 진짜 벤츠 딜러였다는게 진심 황당했음","2024.08.09 13:00"
"7340777210","SFC.JGR","며칠전꺼를 최신이라고","2024.08.09 13:11"
"7340721687","200충","지피티한테물어봤는데 엘지랑 에스케이거 쓴다함","2024.08.09 12:35"
"7340721687","츄퓨","200충 감사감사","2024.08.09 12:36"
"7340721687","내가바로분식회계","현기는 sk나 lg꺼 쓸걸요","2024.08.09 12:35"
"7340721687","츄퓨","내가바로분식회계 휴","2024.08.09 12:36"
"7340721687","박초록","K8이 현행 엘지일거고 페리가 에스케이일거에요","2024.08.09 12:36"
"7340721687","국냉이","현기는 레이, 니로, 코나, 포터, 봉고EV가 CATL NCM 배터리 씀","2024.08.09 12:40"
"7340656014","빨팅어","애초에 전기차화재피해를 차주가 보상한 케이스가 없을거같은데","2024.08.09 12:10"
"7340656014","c타입","빨팅어 차주말고 보험사 현차 엔솔 나뉘고 멀쩡한차 화재니 보상금액도 있을거아녀","2024.08.09 12:11"
"7340656014","벨로스터","현대랑 나눠서 한거 아니였나....? 조 단위 였던걸로 기억 하는데","2024.08.09 12:10"
"7340656014","c타입","벨로스터 그건 리콜","2024.08.09 12:10"
"7340656014","벨로스터","c타입 아차","2024.08.09 12:10"
"7340656014","그돈씨일렉트릭","동귀어진 케이스가 없어서 그냥 차주에게 현대가 보상했을듯?","2024.08.09 12:13"
"7340656014","c타입","그돈씨일렉트릭 동일한차 보상해줬으려나 ㅋㅋ","2024.08.09 12:18"
"7340643569","강형욱네보신탕집","흥미진진하네","2024.08.09 12:10"
"7340643569","비밀정원","오작동인줄 알고 껐나인생 ㅈ됐네 저사람","2024.08.09 12:10"
"7340643569","춤소","3번도 설계상 문제 같음...관련 배선 녹아버리면 강제로 동작하게 만들어야지.. (실제 플랜트 설계는 이렇게 함)","2024.08.09 12:10"
"7340643569","쿵푸자라","춤소 근데 생각해보니 애초에 정상 작동 했을거라는 가정하에 만들어진거 같네, 안전 관련해서는 최악에 상황도 생각을 했었어야....","2024.08.09 12:13"
"7340643569","로즈.가르시아","사건터졌을때부터 스프링쿨러작동 끈 사람은 ㄷㄷㄷ했을것 같은데..","2024.08.09 12:10"
"7340643569","습관성모발이탈","로즈.가르시아 제발 걸리지마라...하고있을듯","2024.08.09 12:11"
"7340643569","기성용","사고 관계자들 중 제일 좆된사람이네","2024.08.09 12:11"
"7340643569","아포노","그 아마 신호가 가면 일단 끄고 가서 확인하는 시스템이겠지..신호 왔다고 무조건 뿌리면 오작동이 많아서 안될테니까..근데 가서 확인을 안했거나 늦게 한거 아닐까?","2024.08.09 12:11"
"7340643569","쿵푸자라","아포노 지하 주차장이니, 확인하는데 시간이 좀 걸렸을거고 확인 후 다시 돌아가서 켰지만 이미 고장나서 안나온건가?","2024.08.09 12:14"
"7340643569","나랑드에이드","그냥 가끔 울리는 화재사이렌처럼 대수롭지않게 생각해서 끈건가.. ㅈ됐네 진짜","2024.08.09 12:11"
"7340643569","아포노","나랑드에이드 솔직히 100번 울리면 한번 진짜일까 말까 아니냐..","2024.08.09 12:14"
"7340643569","얍베베야","아포노 100번도 아님 평생에 한번 있을까 말까","2024.08.09 12:20"
"7340643569","몽셍미쉘","얍베베야 그 한번이 인생 좆되게 하는거지","2024.08.09 12:25"
"7340643569","경운기튜닝","저거 누른 사람 혼자 끙끙앓다가 자살하는거 아니냐...","2024.08.09 12:19"
"7340643569","쿨소","수십억짜리 버튼을 눌렀네","2024.08.09 12:34"
"7340643569","부루루사이다","재물손괴만 생각해도 끔찍한데만약 사람이 죽거나 다쳤으면죄책감때문에 제대로 살 수나 있을까 싶음","2024.08.09 13:57"
"7340645699","하얀말","ㅡ.ㅡ","2024.08.09 12:08"
"7340645699","Anflawlw","불난집  부채질  ㄷㄷㄷ","2024.08.09 12:08"
"7340645699","요산요수","소화기 증정은 시바 ㅋㅋㅋㅋㅋㅋ 무슨 약올리는거같네","2024.08.09 12:08"
"7340645699","로즈.가르시아","말이야 막걸리야..","2024.08.09 12:08"
"7340645699","대출먼저저축먼저","ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 벤츠 점점 나락가냐","2024.08.09 12:09"
"7340645699","세우코","맥이는 수준인데","2024.08.09 12:11"
"7340645699","동해","BMW 디젤차 한창 터질 때 떨이해서 다 팔아치은 거에서 아이디어 따온 거 같은데, 저 조건은 그냥 조롱 수준아닌가 ㅋㅋ","2024.08.09 12:11"
"7340645699","아포노","뒈질라고","2024.08.09 12:12"
"7340645699","아스날!","2%?","2024.08.09 12:16"
