"post_id","cmt_author","cmt_content","cmt_created_at"
"7330926421","이브짹스","ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ아 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ","2024.08.06 19:54"
"7330926421","어제","이브짹스 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ..","2024.08.06 20:09"
"7330926421","디올뉴코나","허허..","2024.08.06 19:54"
"7330926421","어제","디올뉴코나 ㅠㅠ","2024.08.06 20:09"
"7330926421","부가냥톨게이트","주변에서 머라해도자기가 사고싶으면 사면 안되는거에유?","2024.08.06 19:55"
"7330926421","어제","부가냥톨게이트 제가 아직 대학생이라.. 부모님 지원 받는거라서요.. ㅠㅠ","2024.08.06 19:56"
"7330926421","부가냥톨게이트","어제 아아  학생이면차 사지마세유! 나중에 사셈","2024.08.06 19:56"
"7330926421","어제","부가냥톨게이트 지금 당장 살건 아니고 내년 고려중인데 잘 고민해봐야죠 ㅎㅎ..어차피 대학원 갈 생각이 커서 자취 대신 통학용으로 하나 있어도 나쁘진 않겠다고 생각은 하고 있어용","2024.08.06 20:03"
"7330926421","아무고토모름","지원받아 사는거면 쩔수 없죠","2024.08.06 19:57"
"7330926421","어제","아무고토모름 그죠 게다가 주택이라 집밥도 설치해야 하는데 집주인이 부모님이라서 ㅋㅋㅋㅋ반대하시면 어쩔 수가 없네요..","2024.08.06 20:07"
"7330926421","자동차명장1호","ㅠㅠㅠ","2024.08.06 19:57"
"7330926421","어제","자동차명장1호 ㅠㅡㅠ","2024.08.06 20:09"
"7330926421","안전운전제타","막타 맞네 ㅋㅋ 인터뷰 확인사살 보소","2024.08.06 19:59"
"7330926421","어제","안전운전제타 같이 소파에 앉아서 보던 중이었는데 완전 촌철살인이더라구여..","2024.08.06 20:10"
"7330926421","디올뉴코나","부모님이 반대하면 그냥 하이브리드나 사셈","2024.08.06 20:12"
"7330926421","어제","디올뉴코나 아반떼나 아반떼 하브가 정배긴 한듯..","2024.08.06 20:20"
"7330926421","디올뉴코나","어제 ㅇㅇ 감가 적은걸로","2024.08.06 20:20"
