post_id,cmt_content,cmt_author,cmt_created_at
1530511,하이니켈 배터리에 대한 리튬이온계의 반격은 아닐까요?,에코맨 ID4 인천,2024-08-06 21:03:00
1530511,'훨씬 작은 업체의 배터리' <--- 이게 충격과 공포였죠. 이후 벤*에 대한 비난으로 카페 게시판 분위기가 바뀌었죠.,수IeGV70I경기,2024-08-06 21:04:00
1530511,마지막 한줄이 글 전체의 호소력을 한방에 무너뜨리는 군요,코끼Ii3I서울,2024-08-06 21:09:00
1530511,"뭘 딱히 호소하고자 쓴 글은 아니였고, 땡땡기어 영상 절반 이상은 헛소리라고 생각합니다. 그런데 이번 사례로 벤츠가 어떤 생각으로 전기차를 만들고 있는지, 정말 현대차보다 진심으로 개발하고 있는건지 의심이 드는건 사실이죠. 땡땡기어가 지구는 둥글다라고 해도 부정하시진 않을거잖아요. 그정도로 이해해주세요.",피카I수원,2024-08-06 21:12:00
1530511,땡땡기어가 먼가요? 진짜 몰라서 여쭤봅니다,슈페리어I니로I인천,2024-08-07 11:22:00
1530511,저도 이름도 없는 중국 배터리 사용한 벤츠가 문제라 생각했는데 오늘 금산 주차장에서 발생한 ev6 화재 보고 그냥 입 다물었습니다.,하늘아ISM3zeI경기,2024-08-06 21:11:00
1530511,"국산 배터리도 화재 종종 일어납니다. 무적이 아니죠. 하지만 브랜드 가치라는게 중요한 프리미엄 전기차라는게 문제입니다. 피렐리 피제로 타이어, 넥센 cp672 타이어 모두 잘 굴러가고 잘 섭니다. 피렐리 타이어도 문제 생기는경우 있죠. 하지만 정가 억단위의 고급차에 어울리는 타이어는 정해져 있죠. 배터리도 크게 다르지 않다고 생각합니다.",피카I수원,2024-08-06 21:14:00
1530511,"아고 잘 못 눌러서 삭제 됐네요. 벤츠가 파라시스 셀을 그냥 사서 낀건 아니고, 아예 생산라인 전체를 500억 정도에 전세내고, 설비 모두 벤츠전용으로 바꾼다음 개발부터, 생산, 검수까지 다 벤츠가 맡아서 했다는 내용으로 썼는데, 수정 누르려다가 삭제를.... 뭐 어쨋든 파라시스는 장소 제공이랑 몇 몇 도움을 준 것에 그친것으로 생각됩니다. 여기서 나온 eva2 셀은 중국 내수용 eqa,eqb,eqe에 모두 들어갑니다.",디오니ㅣ모3ㅣ서울,2024-08-06 21:25:00
1530511,"네, 그래도 독일 벤츠정도 되는 회사가 어디 중국 시골 공장에서 배터리 떼다가 만들지는 않았을 것이라고 생각합니다. 각국 안전인증을 통과한 만큼 당장 주차장에서 퇴출되어야 할 만큼 위험하다고 생각하지도 않고요. 하지만 억단위 독일 수입차를 구매하는 분들 입장에서는, 같은 부품 같은 성능이라도 좀 더 검증되고 규모있는 업체 부품을 넣었을 것이라고 믿었을 테고 내연기관 시절까지는 그게 보통 맞았습니다. 하지만 이번에는 그러지 않았다는게 문제죠. 고출력 amg 모델에 벤츠가 넥센과 협업해서 만든 cp672 oe타이어를 탑재한다면 욕을 먹겠죠. 비슷한 맥락입니다.",피카I수원,2024-08-06 21:29:00
1530511,"파라시스가 그 정도는 아니고, 모회사가 미국회사다 보니, 미국에서 이것저것 수상도 하고 venturi 포뮬러e 같은 레이싱카나 조비 같은 UAM에도 들어가는 등 그 정도 엉망은 아닙니다. 중국 진출이 2016년 정도로 상대적으로 늦기도 했고, 중국기업들하고 중국에서 경쟁하려면 어려운 부분도 많고 그래서인지 규모를 못 키웠지요.",디오니ㅣ모3ㅣ서울,2024-08-06 21:30:00
1530511,"넥센도 그정도 엉망은 아니에요. 매출 3조 언저리 하는데 동네 구멍가게는 아니죠. 파라시스도 하나만 놓고 보면 작은 회사가 아닐 순 있어도, 비교대상인 CATL, BYD, 삼.엘.SK에 비하면 너무 작죠. 그리고 애초에 레이EV, 쎄보같은 초저가 전기차도 아니고 벤츠 e클라스 정도 되는 차에서 이런 변명이 나온다는것 자체가 말이 안 되는겁니다. 원래도 eqe 판매량이 좋지 않았다지만 파라시스 배터리가 탑재되었다는것이 사전에 알려졌다면 판매량은 훨씬 더 처참했을 겁니다.",피카I수원,2024-08-06 21:36:00
1530511,공감합니다숨겼다는게 문제지요,섬옹ㅣ아5ㅣ광주광산,2024-08-06 22:45:00
1530511,"데이터, 객관적 근거 강조하시던 분인데 해당 영상에서는 상당히 감정적이고 선동적인 언술을 구사하는듯 보여지네요… 스프링클러 미작동이 부수적인 문제라고 하는 부분도 그렇고 열폭주가 전체로 번져서 남김없이 다 타버리는게 원래 전기차 화재 특성이고, 운행 안하고 그냥 주차된중에 화재발생한것도 처음이 아닌데 이번 배터리 화재 유형이 유별나게 극악하다고 하는 부분도 그렇고,,, 오히려 기자출신 모카가 휠씬 객관적인듯한,,, 저도 국내 상위권 이공계 박사 출신이지만 이래서 결국 문과가 세상을 지배하는것인지 ㅎㅎ 근데 그분은 공학자 이력으로 객관적 근거가 있는건가 모르겠네요",쿠IEQCEQBI청주,2024-08-06 23:22:00
1530511,네 저도 땡땡기어 영상은 안봐요 그럴듯하게 포장한 헛소리가 많아서요. 온라인에서 독일산 전기차에 부정적인 의견 가진 사람이 땡땡기어뿐인것 같아 예시로 든 건데 뜻이 잘못 전달된것같네요 그리고 모카는 건국대 화학과 출신인걸로 압니다. 저도 모카가 훨씬 낫다고 생각해요,피카I수원,2024-08-07 11:30:00
1530508,다행이군요. 이번화재는 전기차가아닌 소방시설이 주목받아야 했는데 ㅠ,방구쟁이l아5l충남,2024-08-06 21:01:00
1530508,1차 적으론 배터리에 불난게 문제지만이렇게 화재가 번진건 소방시설 관리미흡으로 인한 인재죠,백무구I김포,2024-08-06 21:07:00
1530508,다행입니다 ㅜㅜ,eqe350긍정론자,2024-08-07 11:08:00
1530508,벤츠와 아파트가 쉽게 안놔줄겁니다,코끼Ii3I서울,2024-08-06 21:02:00
1530508,차주는 아예 과실범위 밖이에요그냥 재수없는 피해자죠법적 지위가 그렇습니다,백무구I김포,2024-08-06 21:08:00
1530508,화재는 벤츠 차량에서 시작되었고 차주든 벤츠(제조사)둘 중 하나는 그 화재의 시작에 대해선 책임이 있습니다 벤츠가 그 책임을 안지려면 차주에게 꼬투리를 잡으려 들수도 있죠 스프링클러하나로 차주가 골때리는 상황에서 자유의 몸이 될리가요,코끼Ii3I서울,2024-08-06 21:17:00
1530508,맞아요...이제 블박설치 가지고 꼬투리 잡을겁니다ㅎㅎ아님 eqe 다 리콜해야할 판이니깐요...,달려라l경남,2024-08-06 22:06:00
1530508,어찌 될지 정말 걱정입니다.,eqe350긍정론자,2024-08-07 11:08:00
1530508,아니죠. 1차책임은 혼자서 불난 벤츠구요. 2차책임은 피해를 키운 관리사무소지요.,focussI모3I충남,2024-08-06 21:06:00
1530508,벤츠가 불난거 잘못 맞죠근데 화재가 번져서 피해가 이렇게 된부분에 대해선 관리사무소 책임이훨씬 무겁습니다화재 사고는 소방시설만 잘 되어있고소방법을 충족 하면저렇게 번질수가 없게 설계 되어 있습니다,백무구I김포,2024-08-06 21:10:00
1530508,네네 맞구요. 인과관계에따른 1차책임이냐 2차책임이냐에 대해서만 말씀드린거에요. 저도 당연히 스프링클러 관리잘못한 관리사무소의 책임이 더 크다고생각합니다,focussI모3I충남,2024-08-06 21:14:00
1530508,벤츠차주 잘못이냐? — x 벤츠와 배터리사 잘못이냐 —- O 화재를 키운 아파트 소화시설 문제냐? ——O 정도가 되겠네요 배터리와 벤츠가 1차적인문제지만 차주문제는 아니다가 글 포인트입니자,테슬라모델ioi,2024-08-06 21:37:00
1530508,불낸 사람이 잘못이 크지 그걸 못끈 사람이 잘못이 크면 뭔가 이상하지 않나요?focuss님 말처럼 1차 책임은 벤츠고 2차 책임이 관리소여야 하지 않을까요?,김로빈I아이오닉I화성,2024-08-07 08:29:00
1530508,"제가 알기로는 특별히 마개조를 해서 직접적인 원인을 제공하지 않는 이상, 이런 자연발화 사건에서 차주는 피해자이고 피의자에서는 완전 제외되는 것으로, 판례도 다 그렇다고 들었습니다. 그럼 1차 책임에서도 당연히 벗어나야 할 것 같은데, 제가 잘못 알고 있는 것일지요?",넥타이I뉴오닉5I일산,2024-08-07 10:56:00
1530508,맞습니다.,eqe350긍정론자,2024-08-07 11:08:00
1530508,우리나라 소방법이 그래요불은 날 수도 있다하지만 그 불을 초기에 진화하고번지지 않게 하는게 중요하다그래서 모든 소방법이 굉장히빡빡하고 돈이 많이 들죠,백무구I김포,2024-08-07 14:55:00
1530508,솔직히 차주는 잘못없는게 맞는거 같습니다.,요셉ev3수원,2024-08-06 21:08:00
1530508,없죠자연발화에 스프링클러 미작동 이니까요본인차량 전소에 대한 피해를 벤츠랑 다퉈야되는거죠,백무구I김포,2024-08-06 21:11:00
1530508,입대의는 왜죠? 관리 위탁일텐데요,TDI아이오닉5I창원,2024-08-06 21:09:00
1530508,예를들어 지하주차장에 누수가 생겼는데그거 문제 해결 할 때 까지 입대의가스프링클러로 잠그기로 했다면그걸 지시한 입대의와 관리사무소 업체가과실비율을 따지게 됩니다,백무구I김포,2024-08-06 21:12:00
1530508,만약 스프링클러 미작동에 관여햇으면 당연책임이고 관리회사에 위탁햇엇도 책임은 임대의에서 책임이고 그둘과의 소송은 알아서들해야 하는거로 알고 잇습니다,미경이당l코나l충북,2024-08-06 21:13:00
1530508,고의로 잠그게 지시를 했다면 문제겠네요 근데 입대의가 그럴일은 할일이 없다고 보이는데 그랬다면 법적인 책임이 있겠죠,TDI아이오닉5I창원,2024-08-06 21:24:00
1530508,스프링클러를 잠근다기보단 화재감지 시스템 자체를 끄는 경우가 많습니다. 습한 날씨에 잦은 오작동이 발생하고 시끄러우니 민원이 들어오고 관리 똑바로 안해서 그런거 아니냐로 싸우다가 결국엔 그냥 끄는 경우가 생각보다 많습니다.,낙화I아이오닉5I창원,2024-08-08 21:44:00
1530508,지금까지 판례 보면 차주는 책임 없다 로 끝날것 같아요.,빠방이Ist1I전남,2024-08-06 21:12:00
