"post_id","cmt_content","cmt_author","cmt_created_at"
"이프로","현기가 있는데 쉽게 바꾸기는 힘들어 보입니다.","18131414","2023-06-13 10:16:47"
"엑스텐드","@이프로님 동의합니다만 한편으론 거시적으로 볼때 현기가 자존심 말고 어떤 이득이 있을까 싶긴 합니다.","18131414","2023-06-13 10:24:20"
"하리~","CCS1의 장점이.. 하나도 없어서.. 가능하다면 NACS로 가는게 좋겠지만..현실은 그렇지 않을것 같네요.. 이제 CCS1은 국내 EV의 갈라파고스화의 아이콘이 되지 않을까. ..싶기도 하네요.","18131414","2023-06-13 10:18:43"
"승유","슈차 장점이 더 크다고 생각은 되지만 벌써 포기는 너무 이른거 아닐까요??","18131414","2023-06-13 10:18:49"
"엑스텐드","@승유님 빠른 변화는 곧 매몰비용 최소화로 이어진다고 생각합니다.","18131414","2023-06-13 10:25:31"
"에릭핑거","매번 아파트 지하주차장에서 완속충전만 하다가 지난주에 외부에서 급속충전을 했는데요.. 충전선의 두께에 한번 놀라고 무게에 또 한번 놀랬습니다. 급속충전이니 이것저것 고려해서 그렇게 제작을 했겠지만 테슬라 슈퍼차져는 생각보다 가볍다고 하더라구요 ㅎㅎ","18131414","2023-06-13 10:20:59"
"이프로","@에릭핑거님 맞습니다. 차원이 달라요","18131414","2023-06-13 10:27:38"
"팜3","@에릭핑거님 이렇게 한손만으로 인증 필요없고 더러워진 차 만질일 없이 쉽게 충전해요","18131414","2023-06-13 10:30:43"
"리릿","@lonelyworld님 정확히는 j1772 타입1 완속보다 수처차저가 작다는 거고 nacs타입의 완속보다는 수퍼차저가 더 큽니다. 제가 집에 쓰는게 테슬라 완속 월커넥터거든요. 케이블 굵기. 커넥터 크기 등 모두 수퍼차저가 더 크죠.","18131414","2023-06-13 11:11:11"
"Tide","@리릿님 음 케이블 굵기는 V2, V3의 굵기가 달라서요. 모바일 커넥터 케이블과 유냉식 V3 케이블의 굵기가 거의 같은데, 월커넥터가 모바일 커넥터와 케이블 굵기가 달랐었나요?","18131414","2023-06-13 12:39:55"
"Tide","@리릿님 인터넷을 찾아보니 유저들이 직접 측정해본 케이블 두께가, Wall connector V3가 22mm Mobile connector V2가 12mm Supercharger V3가 19mm 라고 하네요. (인치 환산이라 맞을지...) 어디선가 케이블 두깨 스팩차트를 봤던 것 같은데 그건 못찾겠네요.","18131414","2023-06-13 13:01:28"
"아노군","충전기회사에서 난색을 표하지 않을까요. 규모가 작은 회사들도 꽤 있어서.. 그리고 현기의 자랑 이핏 대응도 어려울거고 기존차량 어뎁터(?)도 쓰면안되니까요.","18131414","2023-06-13 10:21:09"
"엑스텐드","@아노군님 nacs장착된 북미형 현기차는 이핏 충전 안되겠죠","18131414","2023-06-13 10:23:02"
