"post_id","cmt_author","cmt_content","cmt_created_at"
"5952795224","BVB로이스","좋은 글 추천 중고 고민하시는 분들은 재작년~작년 나온 오닉5 ev6 모델3리리프 이상 얘네 중고 추천","2023.07.10 10:29"
"5952795224","봄이예요","BVB로이스 중고차는 여윾시 뽑기실력이라... 마치... 주사위 돌려서 당연히 3이상 나올 사람 이랄까? 생각외로 괜찮지만 내가 똥걸리면 울상이잖여... 이건 전기차든 내연차든...","2023.07.10 10:30"
"5952795224","BVB로이스","봄이예요 그쳐 ㅎㅎ 그래두 내연기관보단 3이상 확률이 높다고 생각합니당","2023.07.10 10:31"
"5952795224","봄이예요","BVB로이스 확실히 죄다 신차인데다가, 생존불가 판정이 후하니(?) 그렇겠네요!","2023.07.10 10:31"
"5952795224","연쇄추천마","ㅊㅊ4년안에 살거같으면... 의 이유는 보조금때문인가요?","2023.07.10 10:29"
"5952795224","봄이예요","연쇄추천마 전기차보조금 + 물가상승(충전요금 및 차량 자체 가격상승)이요!","2023.07.10 10:30"
"5952795224","연쇄추천마","봄이예요 글쿤요 ㄳ","2023.07.10 10:31"
"5952795224","퇴장","아5 차값 500올랐다.... 정확히는 460인가....","2023.07.10 10:30"
"5952795224","크라이브","코나ev 마렵다...","2023.07.10 11:10"
"5952795224","디올뉴코나","크라이브 저도","2023.07.10 12:06"
"5952795224","안동토박이","보조금 줄어들텐데 차값 못올릴걸요","2023.07.12 13:20"
"5952795224","봄이예요","안동토박이 지난 3년간의 경향성에 따른 예측이고, 뭐 말도안되는 방법으로 물건값이 줄어들 가능성은 있죠.기능을 몇개 뺀다던가 하는 방법이라던지요. -> 트림의 다양화 라는 말로 대체했어요.추가로, 4년동안 아이오닉과 ev의 최저가 트림 유지한 방법이 위와 같은거예요.","2023.07.12 13:42"
"5943599103","축신스털링","Iccu 에러 21년부터 꾸준히 나온 이야긴데 미국에서 움직이니까 바로 조치하네...","2023.07.07 11:48"
"5943599103","Plaid","축신스털링 개선품도 작년에 만들어놨음 ㅋㅋㅋㅋㅋ 진짜 소비자들에게 알리지 않고 몰래 숨기고 있다니","2023.07.07 11:53"
"5943599103","G05X5","어휴 ㅋㅋ나쁜 놈들","2023.07.07 12:03"
"5943599103","llIlIl1","??? : 현대 전기차가 세계 탑급이다 , 내수차별이 아니다 마케팅 차이일 뿐이다 , 제네시스는 독일차급이다ㅋㅋㅋㅋㅋㅋㅋ","2023.07.07 12:08"
"5940446185","에스클래스","미국에서는 전기차만 그런 게 아니라고 하던데.. 엄청 리콜 들어감.","2023.07.06 12:08"
"5888235642","이러면멋있어","역시 미국에 팔리는차를 사야해...충성충성","2023.06.20 07:29"
"5888235642","al3c9d32","천조국 감사감사","2023.06.20 07:43"
"5888235642","축신스털링","국내에서 존나 예전부터 말 나오던건데 미국에서 지랄해야 움직이누","2023.06.20 07:56"
"5888235642","CARGUY","1년전부터 ㅈㄴ터지고잇엇음 리콜안해주고 터진차량만","2023.06.20 08:10"
"5888235642","Vkompany","시동꺼지면 ㅈㄴ무서울듯..;","2023.06.20 09:27"
"5883334567","퇴장","안돼 내차 아이오닉인데","2023.06.18 17:37"
"5883334567","순수워터","퇴장 부럽","2023.06.18 18:07"
"5882473162","스머프신발","드뎌 리콜 뜨나","2023.06.18 11:27"
"5882473162","al3c9d32","스머프신발 천조국느님들 감사...","2023.06.18 11:27"
"5882473162","unorder","전에 오닉5 iccu 땜에 고민하던 분 있었는데이게 엄살이 아니라 장난 아닌 이슈였네요?ev9을 이렇게 마음속에서 지울수 있어서 다행이다","2023.06.18 11:29"
"5882473162","fab4","아6 타고 있지만역시 전기차는 테슬라가 제일 나은듯여유되면 모델S 타보고싶다","2023.06.18 11:38"
"5882473162","fab4","fab4 작년에 미국에서 아5가 1.8만대 팔렸나보네그중 30대면 600대당 1대 꼴로 iccu 터짐","2023.06.18 11:44"
"5882473162","국장망함","이게 이제서야 뜨네 참.... 심각한 문제인데그래도 미숙에서 나서니 이제 뭐라도 나오긴 하겟다","2023.06.18 11:43"
"5882473162","88pal","이게 옛날부터 터졌던 이슌데, 이제서야 하네. 국뽕유튜버의 말로는 이미 현기에서 알고있었는데, 지금까지 대처안한거면 그것 또한 문제아닌가?","2023.06.18 11:45"
"5882473162","국장망함","88pal 현기 egmp 전부가 해당되는 문제라서 마냥 손놓고 있지만은 않았을텐데 그래도 이렇게 뜨면 해결 인력을 늘릴듯","2023.06.18 11:46"
"5882473162","88pal","국장망함 국뽕유튜버의 말로는 작년에 iccu 개선품이 나왔다고 말함, 근데 아직도 해결을 못했거나 리콜을 안한거면 그것또한 문제아닐까?라는 생각이 듦 -","2023.06.18 11:48"
"5882473162","국장망함","88pal 개선품 아닌걸로 알고잇어요","2023.06.18 11:50"
"5882473162","봄이예요","국장망함 아무래도 위와 같은 유튜버가 한 말을 최대한 요약해보자면,'연식변경 이루어졌고, 개선품이라고 믿을 여지가 충분하고, 해당제품이 달려나온 새 차에 대해서는 아직 불량소식이 없으니 기대해도 좋지 않을까? 대처방식이 리콜이 아닌건 좀 아쉽긴 함'정도 아님?","2023.06.18 13:19"
"5882473162","al3c9d32","88pal 자동기어는 뭐 다른제조사들도 어짜피 이 방식 써야하니까 현기가 매 먼저 맞는거라던..ㅋㅋㅋㅋㅋㅋㅋㅋ","2023.06.18 12:51"
"5882473162","봄이예요","al3c9d32 이분들 별루다 별루다 하면서 다 챙겨보고있네 ㅋㅋㅋㅋ","2023.06.18 13:01"
"5882473162","al3c9d32","봄이예요 갓독자가 되고싶습니다 충성충성","2023.06.18 13:08"
"5882473162","이러면멋있어","미국에 팔리는 차를 사야함 ㄹㅇ","2023.06.18 12:11"
"5882473162","췕GPT","펑소리와  동력상실 ㄷㄷ","2023.06.18 12:41"
"5873632172","unorder","안살이유를 찾지말고본인이 필요한 요소를 리스트업해봐","2023.06.15 17:25"
"5873632172","국장망함","unorder 지금 차도 연식이 최근껀데 시트가 불편함. 난 장거리를 많이 타는 편. 근데 언제 이사 할 지도 모르는거고 전기차 경우에는 충전비가 계쏙 올라서 마냥 이득이라고만 볼 수 없음. 그리고 크기도 작고. 다 장단점이 잇음","2023.06.15 17:26"
"5873632172","unorder","국장망함 시트는 볼보혹은 최소 그랜저, k8 시트옵션 들어있는거 추천해요","2023.06.15 17:28"
"5873632172","국장망함","unorder 세단은 시트포지션 때문에 아예 제외고 현기만 가능해요 ㅋㅋㅋㅋ","2023.06.15 17:28"
"5873632172","unorder","국장망함 저도 허리안좋아서굉장히 시트포지션에 예민한데굳이 그렇다면싼타페 풀체를 기다려보세요현행보다 시트 좋아질건 당연해서","2023.06.15 17:29"
"5873632172","국장망함","unorder 풀체면 5천 정도 할텐데 그 돈이면 아이오닉5를 사는게 맞는거 같아서..싼하 프레스티지 초이스 4300정도하니까 연료비 대충 때려서 5천정도 아이오닉5랑 비교하는중","2023.06.15 17:29"
"5873632172","unorder","국장망함 돈보다는 몸이 편한시트를 찾는게 먼저라 생각합니다아프면 돈이고나발이고 의미없음그래서 제가 x4 2달만에 1800 손해보고 팜","2023.06.15 17:30"
"5873632172","국장망함","unorder 둘다 시트는 편하더라구요 그래서 시트는 굳이 언급 안햇던 것..소렌토 시트가 말이 많아서 소렌토는 아예 제외","2023.06.15 17:31"
"5873632172","unorder","국장망함 아 그래요? ㅎㅎ그럼 아이오닉","2023.06.15 17:31"
"5873632172","국장망함","unorder 제가 편하게 탓던 차들이 구형 스포티지 구형 투싼 아이오닉5 뭐 이정도고 불편햇던것들은 세단 전부 특히 3세대 플랫폼 적용된 세단은 너무 불편해요","2023.06.15 17:33"
"5873632172","unorder","국장망함 구형 suv들이 더 높습니다말씀하신대로 3세대오면서무게중심 낮춘다고 시트를 많이 내렸어요suv도 그래요일단 오닉5가 진짜 편하다면그게 제일 합리적입니다","2023.06.15 17:34"
