post_id,cmt_content,cmt_author,cmt_created_at
762788,헐.,키I아이오닉5모3,2022-01-15 10:58:00
762788,저랑 똑같은 중단문제로 불편 겪고 계시네요전 이제 4번째인데 슬슬 업체를 바꿀까 생각중입니다.내가 왜 새벽에 잠도 못자고추운 날에 충전 잘되는지 체크하고 있는게 어이없더라구요...ㅎㅎ,크롱둥l오닉l화성,2022-01-15 11:30:00
762788,차지콘이 아니라 해당 충전기가 문제가 있는거죠?,카카I아5I서울,2022-01-15 12:11:00
762788,"아.. 맘고생 많으시겠습니다 ㅜ 야외여서 그런거라기엔.. 충전을 혹한,혹서기에 안할수도 없는데 충전기 내구성 문제거나 세팅 문제라면 뭔가 앞뒤가 안맞네요 ㅜ 사용자 입장에서 할수있는건 다 해보신거같은데이정도면 차지콘을 교환해줘서 테스트 해보던지 충전 설비를 다시 점검해줘야 할거같습니다.저도 스타코프 이용하는 입장에서 안타깝네요.. 대응이라도 빠르게 해주면 좋으련만.. ㅜ 추운날씨에 고생 많으십니다. 빨리 해결되셨으면 좋겠네요!",시온아빠l아오5l서울,2022-01-17 10:23:00
762788,충전기 불량 같네요 . 저도 저래서 본체 교체 받았어요.,아이조아I오닉5l서울,2022-01-22 22:34:00
762788,이런 회사는 망하게 해야죠스트레스가 크시겠어요,시천,2022-01-29 05:03:00
762788,전에 잘 됐었는데 최근에 계속 이 문제나네요,레코 l 코나아5 l고양,2022-01-31 13:22:00
762788,저도 갑자기 충전이 꺼짐 현상이 나와서 충전기가 문제 일까 해서 다른 완속 충전기에 충전도 1분도 안되서 충전실패 센터 갔더니 차량충전모튤 오류라고 교환 하라고 합니다. 좀 어처구니 없네요.. 충전이 안되면 전기차를 왜타는 건지.. 저도 한탄해봅니다.,rossi25,2023-01-13 20:18:00
762167,근데 희안하네요..저는 해당사항 하나도 없네요...,월명I아이오닉I대구,2022-01-14 12:05:00
762167,역시... 뽑기운?? 인가요? ㅠㅠ;; 부럽습니다....,린크I오닉5I경기,2022-01-14 14:59:00
762167,"잘 조치 받으셨으면 합니다. 동일주행거리 구매월입니다. 2번, 8번은 극공감합니다. 그외에는 저는 다 정상이네요 물론 일부차량이 문제가 발생하더라도 개선되어야 하고 조치해줘야 합니다.",SkycitiI아5l인천,2022-01-14 12:09:00
762167,"네, AS 받을 수 있는 부분은 AS 받도록 하겠습니다... 2번/8번은 정말... 개선/조치가 안될거 같은 ㅠㅠ",린크I오닉5I경기,2022-01-14 15:00:00
762167,저는 서행시 브레이크 밝으면 딱딱 소리가 납니다.패드교환했는데도 똑같습니다.서비스센터에서는 더 타보고 오세요라는 답변만 받았음.,개인I아5I충북,2022-01-14 12:11:00
762167,겨울이라 그럴까요?? ㅠㅠ? 여름에는 조용했던거 같았는데.... 저도 그냥 더 타다가 날 풀리고도 계속 소리나면 교환 해준다고 합니다...,린크I오닉5I경기,2022-01-14 15:01:00
762167,"7,9 확인해봐야겠네요",흠l아5l 용인,2022-01-14 12:27:00
762167,꼭 확인 해보세요... 1년 이내 초기에 결함이라고 교환 못받으면 소비자 과실로..... 유상 AS 될 수도 있다고 하네요...9번 같은 경우는 셀프 세차 하면서 발견 했습니다.볼트 고정 핀이 없어서 덜렁덜렁 거리고 있더군요 ㅎㅎ,린크I오닉5I경기,2022-01-14 15:02:00
762167,워터펌프 소음...,개냐옹I아오5I천안,2022-01-14 12:30:00
762167,아.... 워터펌프 소음도 있었군요..... 끼릭끼릭? 거리는 소음과 위이이잉~ 하는 소리 맞죠??,린크I오닉5I경기,2022-01-14 15:03:00
762167,30 넘기 시작하면 우우웅 하는 소리 들리고 20아래로 가면 다시 꺼지고 해서 저속에서 무지 신경 쓰입니다.50넘으면 주행소음 때문에 안들리긴하지만요.,개냐옹I아오5I천안,2022-01-14 16:33:00
762167,워터펌프 교체 요청 했는데... 블루핸즈에서 사업소로 가보라더군요 ㅠㅠ 에혀....,린크I오닉5I경기,2022-01-18 12:30:00
762167,저도 약간 그런 상황인데 영상 2개나 더 찍었으니 한번 가보려구요..,개냐옹I아오5I천안,2022-01-18 13:21:00
762167,저는 21년 7월 출고인데 위 내용은 전혀 문제가 없습니다.다만 밀폐성이 안좋은건지 이트론에 비해 웃풍도 있고 너무 춥네요...,경기lEtronl오닉5l짜,2022-01-14 12:30:00
762167,히터 용량 문제일까요?? ㅠㅠ? 영하 10도일때 25도 풍속4 로 해도 뒷자석은 춥다고 하더라구요...,린크I오닉5I경기,2022-01-14 15:04:00
762167,9번은 확인 어떻게 하나요??,제필I아5I경기,2022-01-14 13:22:00
762167,9번은 외부 와이퍼 있는쪽 옆쪽 유리면 필러 플라스틱 고정 핀이 빠져 있으면 덜렁덜렁 거립니다.와이퍼가 있는 곳의 밑 옆부분의 플라스틱~ 옆의 필러까지 쭈욱 이어져 있는 부품입니다.,린크I오닉5I경기,2022-01-14 15:05:00
762167,8번은 수출용이 아닌 SK배터리 장착이 안되는 북미만 LG 배터리로 장착되고 용량 차이가 있는걸로 알고있습니다.,김군I오닉5I수원,2022-01-14 13:41:00
762167,아... 미국만 해당인가요? ㅠㅠ?? 한국이 더욱 가혹 조건일텐데.....,린크I오닉5I경기,2022-01-14 15:06:00
762167,8번 빼고 저는 이상무 문제있으면 as 받으세요,산호수I오닉5I서을,2022-01-14 14:21:00
762167,오~! 뽑기 잘 하신듯... 축하드립니다.최대한 AS 받고 있습니다.문제는 제 시간이 날라가네요... ㅠㅠ;; 매번 차 때문에 센터 들락날락.....,린크I오닉5I경기,2022-01-14 15:07:00
762167,8번은 미국수출용만 77로 늘어났어요. 유럽은 우리나라와 동일.미국이 작년 말에 출시되면서 우리나라도 77로 올려준다는거 같아요.그리고 hda 편차가 심한듯...전 중앙유지 잘 하거든요 ;;,라비I오닉5I인천,2022-01-14 14:49:00
762167,미국 수출용만 용량 늘어 났군요 ㅠㅠ 한국이 더욱 가혹 조건일텐데.....이전 코나 HDA1이 더욱 안정적으로 잘 작동 한거 같아요... 지금은 왼쪽 오른쪽 왔다갔다...그걸 또 억제 하려니 손과 팔에 힘이 꽉~!!! .... 돈은 돈대로 옵션질 했는데... 이건뭐..... ㅠㅠ뽑기운도 있어야 하는군요.....,린크I오닉5I경기,2022-01-14 15:08:00
