"post_id","cmt_content","cmt_author","cmt_created_at"
"놀던오리","@Nyaham님 평소에 내기로 세팅하고 다니는데 차 바꾸고 설정을 고정 안해서 그런지 자꾸 외기로 바뀌더라고요. 내기 고정으로 변경해봐야겠네요. 감사합니다.","18422071","2023-11-14 22:20:36"
"Nao","바람이 들어온다기보단 냉기가 들어오는데 이게 들어온다고 생각할수 있다고 보네영 엔진없으니 어쩔수 없졍..","18422071","2023-11-14 22:20:50"
"놀던오리","@Nao님 네 맞습니다. 똑같이 아내에게 이야기했네요. ㅎㅎ","18422071","2023-11-14 22:21:58"
"Nao","@놀던오리님 휀다하면 그나마 덜 괜찮다던데 결국 히터써야되서 그돈으로 히터 더 트는게 좋다고 봐영","18422071","2023-11-14 22:23:27"
"빵아라이더","비슷한 이유로 작년 겨울에 느껴서 올해 여름쯔음에 생각나서 휀다만 전체 방음 방청했습니다(gv60) 다른데는 사실 방음 좀 나아질까 했더니 21인치 휠 퍼포먼스는 애시당초 포기 입니다 그냥 스피커랑 노이즈캔슬링으로 버텨야죠 요근래 잠깐 몰았는데 찬바람기는 확실히 덜하더군요 그냥 그거로 만족합니다 사실 타이어 갈때쯤 부터 눈물을 머금을 예정이네요(어딜가도 4짝 150 이상임)","18422071","2023-11-14 22:24:19"
"놀던오리","@빵아라이더님 외기차단은 효과가 있나보군요. 좋은 소식 감사합니다. ㅎㅎ","18422071","2023-11-14 22:33:32"
"Karyudrian","현기 공조기 내기 고정 안되는거 들어간지 좀 됐어요. 외제차는 대부분 있구요.. 이산화탄소 농도 상승으로 안전에 위협이 되니 내기 하더라도 좀 있으면 자동으로 다시 외기로 돌아가게 세팅되어있습니다. 히든 모드에서 끌수는 있을텐데.. 굳이 라는 생각이 드네요.. 그럴만한 이유가 있는 기능이라서요.. 그냥 히터를 제일 약하게 해서 발쪽으로 틀어두면 훨씬 나을겁니다.","18422071","2023-11-14 22:25:08"
"놀던오리","@Karyudrian님 전에 K8 짐깐 탈 때는 내기 고정이 됐었던거 같았거든요. K7하고 헷갈렸을 수도 있긴합니다. 내기 고정 안되는게 최신인가보군요.","18422071","2023-11-14 22:29:01"
"페르셰포네","@Karyudrian님 시동꺼도 자동 외기더라구요;;;","18422071","2023-11-15 10:19:03"
"cde3231","냉기는 모든차가 들어와요. 차라는게 보온병처럼 빈틈없이 막힌게 아니라서요. 방음은 기존 차체에 패드를 붙이는거라 냉기를 막지는 못해요. 공조 오토로 23도 설정해두세요.","18422071","2023-11-14 22:29:53"
"놀던오리","@cde3231님 적도 지방에 살다가와서 더 피부에 와닿나봅니다. 공조로 시도해봐야겠네요. 감사합니다.","18422071","2023-11-14 22:37:08"
"아노군","내연차는 엔진열이랑해서 좀 덜추운데 전기차는 날추워지면 다리시립니다. 그냥 더 따뜻하게 공조돌리는게 답입니다 ㅠ 제gv60으로 내연차 온도맞추듯하면 무릎시려요","18422071","2023-11-14 22:34:58"
"놀던오리","@아노군님 그러고 보니 전기차를 봄부터 타서 첫 겨울이네요. 공조로 시도해봐야겠습니다. 감사합니다.","18422071","2023-11-14 22:39:45"
"놀던오리","@purplim님 작업도 쉬운 것 같던데 한번 알아봐야겠네요. 감사합니다.","18422071","2023-11-14 22:48:59"
"솔로맥","휀더방음 작업하면 좀 좋아지고, 윈드킹(알리에서 고무실링) 같은 것으로 웨더스트립 밀폐력을 더 높여주어 바람새는 것을 막아주면 좀더 좋아질 겁니다.","18422071","2023-11-14 22:50:52"
"놀던오리","@솔로맥님 네 감사합니다. 검색들어가봐야겠네요.","18422071","2023-11-15 06:32:00"
"할라파뇨","휀더방음 해야 좋아질것 같습니다. + 고무실링하면 되움될 수 있을 듯 합니다. 출시때 받아서 사용했을때 운전석, 조보석 고속일때 바람 들어오는거 보면.. 분명 실링이 약한 느낌이 있었어요. EV6 1년이상 운행했어요. (모델3는 따듯했는데 오히려 더워서 발빰 ㄷㄷ...)","18422071","2023-11-15 00:53:03"
"놀던오리","@할라파뇨님 오.. 경험담 감사합니다","18422071","2023-11-15 06:32:46"
"벚꽃말고","휠 하우스 방음 했을때 효과 좀 봤습니다 잔 안 했는데 윈드킹이나 노이즈킹 하신분들 말론 체감 좀 된다는데 휠 하우스 방음부터 해보시는게 어떨까 싶습니다","18422071","2023-11-15 03:48:08"
"놀던오리","@벚꽃말고님 정말 효과가 있군요. 감사합니다.","18422071","2023-11-15 06:33:27"
"BLMN","진따 바람이 샐 수도 있고... 그냥 좌우 온도 설정 다르게 해서, 발쪽으로 따땃한 바람 넣는수 밖에..","18422071","2023-11-15 06:04:10"
"놀던오리","@byul_____님 넵 감사합니다.","18422071","2023-11-15 06:34:07"
"마일","ev6 아이오닉5는 하단으로만 바람방향하는게 좋습니다","18422071","2023-11-15 08:45:10"
"CORSA","아이오닉5도 좀 그래요 문짝몰딩이 문제가 아닐까 싶긴 한데 뭘 해야 할지 몰라서 걍 타고있습니다...ㅎ 여기 댓글 보고 저도 참고좀 하겠습니다ㅋㅋㅋ","18422071","2023-11-15 09:56:33"
"으리으리.","휀다쪽에 몰딩?이 있는데 요놈이 잘 움직여요. 그쪽 확인해보세요","18422071","2023-11-15 10:29:31"
