"post_id","cmt_author","cmt_content","cmt_created_at"
"6408062211","착한엄마","아이오닉6가 그래서 얼마라고? ㅋㅋㅋㅋㅋ","2023.11.18 16:54"
"6408062211","테러리스크","무능함에 끝을 보여주네ㅋㅋㅋㅋ","2023.11.18 16:56"
"6408062211","Unplugd","유튭보면서 차 만드는 세끼들인데 뭘 기대해 ㅋㅋㅋ","2023.11.18 16:57"
"6408062211","꼬꼬콘","결함을 부족함 이지랄로 넘어가는건 진짜 레전드다ㅋㅋㅋㅋ","2023.11.18 17:30"
"6408062211","쓰리","와 이거 심한거아닌가 물이 그냥 흐르네 ㄷㄷ","2023.11.18 22:23"
"6407171269","던조센세","보니까 고칠 수 있는 문제같던데...","2023.11.18 10:49"
"6407171269","fab4","던조센세 원인파악도 어렵지 않고 해결방법도 어렵지 않아 보여서이걸 이렇게 오래 끌 문제가 아닌거 같은데인터뷰 병신같이 한 놈이나질질 끌면서 아직도 안고쳐주는 현대나빡치긴 하네요","2023.11.18 10:51"
"6407171269","주식이답이다","고압수에뚫리는거라 사실 좀 과한거같긴한데","2023.11.22 14:50"
"6407026650","나비비파","이거 물면 시승차 못받음","2023.11.18 09:14"
"6407026650","빠트릭비에이라","픽플러스 : 우린 시승차 필요없는데 현기 알빠노","2023.11.18 09:16"
"6407026650","잉여력나눔이","모 유튜버가 ev9 창문 언급했다가최근영상 씹창났었지...","2023.11.18 09:49"
"6407026650","나비비파","이거 물면 시승차 못받음","2023.11.18 09:14"
"6407026650","빠트릭비에이라","픽플러스 : 우린 시승차 필요없는데 현기 알빠노","2023.11.18 09:16"
"6407026650","고훌","그럴리없소 현기 품질 마이 올라왔다안카요","2023.11.18 09:18"
"6407026650","6gt","어느순간부터 그냥 자동차 리뷰는 해외꺼 봄..","2023.11.18 09:18"
"6407026650","6gt","6gt 한상기리뷰도 그냥 여행채널만 봄","2023.11.18 09:18"
"6407026650","yong1234","결함아닙니다 부족함입니다","2023.11.18 09:20"
"6407026650","B.페르난데스","결함이 아닙니다 부족함임미다","2023.11.18 09:33"
"6407026650","지구방위본부","아니 이거 시동꺼진상태에서도 물이 들어가네 ㅋㅋㅋㅋㅋㅋ장마철에 ㄹㅇ 족되는거아닌가","2023.11.18 09:37"
"6407026650","fab4","지구방위본부 근데 이거 차마다 달라 내껀 절대 안저럼뭐하는 짓인지 모르겠는데 저거 카페에서 이슈 터지고 나서 매번 비올때마다 확인함한 번도 블로우팬 있는 곳 까지 젖어있던 적 없음","2023.11.18 09:40"
"6407026650","지구방위본부","fab4 헐 그래요? 대체 이유가 뭐지;;","2023.11.18 09:41"
"6407026650","fab4","지구방위본부 보니까 기본적으로 설계결함은 맞는데차마다 정도가 다 다른듯저렇게 뉴스나 유튜브에 나오는 차들은 심한 차들이 나오는거고","2023.11.18 09:46"
"6407026650","나만아니면","fab4 저건 비온걸로 들어간게 아님 고압수로 쏴재낀거라 님도 해보셔야 알듯","2023.11.18 09:55"
