"post_id","cmt_content","cmt_author","cmt_created_at"
"궁궁","감전이라 ㄷㄷ 전기차 사고에서 감전되었다는 기사는 처음 보는 것 같네요. 전기차는 사고차 처리할때도 더 조심해야겠네요...","18690464","2024-04-06 21:52:01"
"끌]나옹이[량","그노무 급발진…","18690464","2024-04-06 21:53:41"
"욱짜2","감전은 신기하네요. ㄷㄷ","18690464","2024-04-06 21:59:21"
"모밀 짬봉","환자분 빨리 쾌차 하세요 ㅈㅈ 국내에서 전기차는 폭팔 화재 급발진 이제는 감전 까지,,혐모감이 들것 같네요","18690464","2024-04-06 22:00:25"
"웨건마니아_록맨10","급발진 얘기보다 그 뒤에도 무섭네요","18690464","2024-04-06 22:04:25"
"콜홍","감전해서 실려갈 정도면 고전압배터리였다는건데, 그게 전원버튼으로 쇼트가 난건가요? 코나는 그나마 400v일텐데 800v 차량이었으면 어땠을지…","18690464","2024-04-06 22:10:25"
"Tide","아마 베터리에서 나오는 고전압 케이블이 충돌로 손상되었고, 누전이 차체와 시동버튼까지 들어왔나보네요.","18690464","2024-04-06 22:12:06"
"DM_Guide","제목이 전기차 인걸 보고 수입차는 아닐거라 생각했네요. 예지력 상승!! /Vollago","18690464","2024-04-06 22:15:35"
"두오데시마","@DM_Guide님 그냥 어지간하면 제목엔 제조사나 차명 잘 안나와요 최근 볼보 xc90 phev 화재도 전기차 화재로 퉁쳐서 나왔죠","18690464","2024-04-06 23:03:09"
"DM_Guide","@두오데시마님 하지만 테슬라가 이런일 벌어지면 대문짝 만하게 테슬라 찍어서 기사 나오죠 ㅋ","18690464","2024-04-08 21:29:20"
"두오데시마","급발진은 안봐도 비디오겠지만 감전은 생전 처음들어보네요","18690464","2024-04-06 23:03:57"
"Tuna","배터리팩이 직접 손상된 건 아닌 것 같은데 누전이 발생했는데도 차량이 전원을 차단하지 못한건 문제 아닌가요..","18690464","2024-04-06 23:35:01"
"올리브남편","감전 이슈는 처음 보는 것 같은데 맞나요? 이전에도 사례가 있는지..","18690464","2024-04-06 23:49:10"
"Karyudrian","사람 몸에 전기가 통하려면 + - 통전이 되야되는데 대체 어떻게한건지 신기하네요. 더구나 배터리가 접지로 감전된다는것도 희안한 일인데 시동버튼을 만졌다고 감전이라니..","18690464","2024-04-07 00:27:16"
"라면라면","12볼트 배터리 감전같아 보입니다. 고전압 배터리라면 이미 운명을 달리하셨을 것이며 현대가 제대로 만들었다면 저 상황에서 누전되면 안됩니다. 만약 저상태로 누전된다면 제 2 코나 리콜 사태가 나와야 합니다.","18690464","2024-04-07 03:03:47"
