post_id,cmt_content,cmt_author,cmt_created_at
420673,그러게요 이렇게 조용히 묻히는것 같네요..,힘내라88l코나l평택,2020-01-19 08:43:00
420673,안밝히고 있는걸수도 있죠. 밝혀지면 대규모 리콜감이니까요.,크리스l오닉x2l경기,2020-01-19 08:43:00
420673,헐~~~,dusaka,2020-01-19 09:18:00
420673,공식적으로는 원인을 못 밝혔죠. 아님 일부 불량이거나. 만약 배터리쪽이나 BMS쪽 문제가 있다면 리콜하는 비용보다 인명 피해나 사상자가 대거 생길수 있는 큰 상황인데 알고는 그렇게 못하죠.,죠리뿅I코나EVI서울,2020-01-19 09:26:00
420673,코나 화재사고 난 뒤 원인 규명을 위해 소방당국이 합동감식 제안했었는데 자체 조사한다고 거부했었습니다. 조사 결과 발표 안 하는 거 보니 그냥 조용히 묻는 분위기네요..,1987I오닉I전북,2020-01-19 09:30:00
420673,"그러게요, 심각한 거 같은데, 오히려 간단한 결함이면 발표할건데, 심각한 결함이기에 발표하는 순간, 전기차 시장 바닥 칠까봐,,,쉬쉬하는듯, 정치권도 올해 선거도 있고하니 선거자금 좀 챙길려면 대기업 눈치 볼수 밖에 없고,,,",과메기ll오닉l울릉,2020-01-19 10:32:00
420673,http://www.economytalk.kr/news/articleView.html?idxno=199291국토교통부까지 나서서 조사하는데 이렇게 오래 걸리는걸 보면 원인 규명이 쉽지는 않은가보네요. 빨리 속시원히 해결 됐으면 좋겠는데ㅠㅠ,냐미l예정l울산,2020-01-22 06:18:00
420673,코나 구매하려고 하는데 불안하네요 ㅠ,일상I코냐I대구,2020-02-06 10:27:00
417683,잘 읽었습니다. :-),아키1볼트1경기,2020-01-12 11:36:00
417683,좋은글 감사합니다,깍쟁이l구입예정l서울,2020-01-12 11:43:00
417683,잘읽었읍니다 정보 감사합니다.,1열심1,2020-01-12 12:43:00
417683,코나 480 ㅋ,순돌팝l볼트l대구,2020-01-16 18:00:00
417683,좋은 정보 감사합니다.,갑바,2020-02-21 09:20:00
416295,기온 내려가서 그런거 아닐가요?,크리스l오닉x2l경기,2020-01-09 09:04:00
416295,2018 후반 이후 출고 차량은 이슈가 없는걸로 알고 있습니다,쪼꼬미I코나I전주,2020-01-09 09:07:00
416295,여름돼봐야 알것같습니다,테슬라I니로I경기,2020-01-09 09:30:00
405859,그러네요 아직 소식이 왜 없는지.. 보상문제는 잘 해결해서 일까요? 차 있다가 없으면 많이 답답함 그 자체인데... 조용조용 하네요!,전기차붕붕I니로I전주,2019-12-17 12:16:00
405859,소식있었습니다. 현대에서 차량만 배상해주고 주차장이나 기타 손해는 배상못해준다 뭐 그런식으로 얘기했다고 글 남기셨던거 있었습니다. 검색해보시면 나올거에요,e카운티I볼트I수원,2019-12-17 12:21:00
405859,글을 삭제하신거 같네요.,e카운티I볼트I수원,2019-12-17 12:41:00
405859,와 그럼 차주분이 다 물어줬겠네요..새차사서 손해만 엄청 보셨겠네..,드라l쏘울부스터l천안,2019-12-17 12:46:00
405859,어랏 몆일전에 들어갔을때는 없었는데 어디있다가 밖으로 다시 나온걸까요? 설마 또 우리가 모르는 화재가 일어난걸까요?,대전지부I코나evI대전,2019-12-17 12:39:00
405859,불이 왜 났는지는 안나왔나봐요?? 궁금하네요,어디든지I미정I서울,2019-12-17 21:53:00
393039,동일차량이 2번이나 그랬다는거죠?,구민I코나evI대전,2019-11-19 09:16:00
