post_id,cmt_content,cmt_author,cmt_created_at
1338545,지금은 인증을 안받아서 불이나는걸까요???,우진아빠I레이I안양,2023-11-22 10:12:00
1338545,인증제로 안전을 강화 한다고 하네요 과거에 불이 왜 나는진 제가 알 순 없지요,일렉l스텝l,2023-11-22 10:13:00
1338545,쓴이 님께 책임을 물어보는 것은 당연히 아닙니다.단지..인증제를 하면 현재와 무엇이 달라질까? 개선될까? 하는 의구심이죠.이미 몇년 전부터 코나로 인한 화재가 문제가 되었는데....이제와서 인증제? 뭘 바라고 뭐가 개선될까? 진짜로 필요한 제도일까?에 대한 의구심입니다.,우진아빠I레이I안양,2023-11-22 21:48:00
1338545,의도는 좋은데 괜히 인지세늘고 인증한다는 업자들 꽁짓돈이나 챙겨주게되는게 아닌지 걱정도 되네요.,카프리IiX50I서울,2023-11-22 10:15:00
1338545,저도 첫 댓글 다신 분 의견에 동의합니다.정치인들 눈 가리고 아웅하는 정책으로 판단됩니다.,베리I아오5아오6I경기,2023-11-22 10:16:00
1338545,여러제조업체에서 자체적으로 하고있는 품질관리를 국가가 통일된 관리법으로 관리한다는 이야기지요.. 국가 관리기준인 KC 인증과도 비슷한 맥락이죠,에바I보유전기차I서울,2023-11-22 10:57:00
1338545,인증 받은 배터리 문제생기면 인증기관에서 보상해주면 좋겠네요,모아I봉고evI서울,2023-11-22 11:39:00
1332106,전기택시 수난시대네요.,뚱이아빠 lID4I인천,2023-11-13 08:40:00
1332106,"충전 중 화재, 충돌 후 화재 아5 후끈하네요",여행IM3L니로I경기,2023-11-13 08:52:00
1332106,이것도 급발진인가...,시기상조I넥쏘i3I서울,2023-11-13 09:08:00
1332106,하난 충전중에 불타고 하난 충돌후 불타고.. 어제 하루 동안 아오5 수난시대네요,제레I모델YI고양,2023-11-13 09:24:00
1332106,전기차 화재 무섭네요. 대책이 시급합니다~,갓I마칸EVI수원,2023-11-13 09:40:00
1332106,현기전기차 진짜 무섭네요...,번개맨l전남,2023-11-13 09:48:00
1332106,터널안에서 화재났으면 더 큰일날뻔했네요 진압이어려우니..,유니77서울,2023-11-13 09:54:00
1332106,"급발진, 화재 전부 현기차만 이슈되네요...이거 원 불안해서 현기차 타겠나.전기차의 이미지를 다 까먹고 있네요.",동나파lEQSe208l인천,2023-11-13 10:26:00
1332106,,카카로트l경기,2023-11-13 10:27:00
1332106,택시트림에 무슨 문제 있나? 매번 이러지? 에혀,일렉I오닉5I안성,2023-11-13 10:31:00
1332106,택시도 니로도있고 코나도 있는데 아오5만 사고가 많네요,대박준영l아오5Nl대구,2023-11-13 10:45:00
1332106,저도 타고 다니지만 이런기사보면 타기가 무섭긴하네요...,체키ㅣ아이오닉ㅣ부산,2023-11-13 11:14:00
1332106,40분만에 끈거면 배터리화재는 아닌것같은데 냉매 누설로 불난건가,이붕이lev6l평택,2023-11-13 13:30:00
1332106,아마 그럴겁니다.충돌 후 화재는 배터리 화재로 보면 안될듯 한데 이것들이 조회수 올리려고 작정한듯 해요.,에코맨000,2023-11-13 16:32:00
1332081,"아이오닉5도 불나네요ㄷㄷ코나,니로때도 그렇고유독 현대차가 불이많이나네요",테코Im3포터evI대구,2023-11-13 07:42:00
1332081,결함이 아니라 부족함입니다.,뮤지ll아6II경기,2023-11-13 08:01:00
1332081,배터리 발화는 아닌것 같은데요?,근효짱IGV60l해운대,2023-11-13 07:51:00
1332081,제 생각도 그래요. 배터리 발화면 뒷모습이 저리 멀쩡할수는 없겠죠. 합선같은데.. 자세한건 조만간 나오겠죠.,차는풀옵l아6l인천,2023-11-13 08:09:00
1332081,프렁크가 저렇게 탔다는건 프렁크에 뭐가 있었다는거 같은데 원인이 궁금하네요,낙지탕턍이,2023-11-13 10:26:00
1332081,아...,아트라스I모델3I스탭,2023-11-13 07:51:00
1332081,부모님께서 전기차 사지말라고 하셨지만 구매했는데 이따 낮에 전화오겠네요;;;,슈넬l아5l남양주,2023-11-13 07:55:00
1332081,저도요ㅠ.,깨굴l아5l인천,2023-11-13 08:19:00
1332081,충전으로 인한 화재인지 명확하게 규명하고 공표되면 좋을 것 같네요.충전으로 인한 문제라면 원인규명과 해결이 안된다면 지하주차장 충전소에 대한 전면 재검토가 필요해 보이고아니라면 불필요한 불신만 늘어날 것 같네요.,넛지I아이오닉6I대전,2023-11-13 07:59:00
1332081,아이고...,녹사평베인Iid4I경기,2023-11-13 08:02:00
1332081,자꾸 불이...,타클I아빠NI서울,2023-11-13 08:22:00
1332081,이거 프렁크에 경유넣고 무시동히터 설치한 차량 일수도 있겠네요. 영업용택시나 포터등 설치하시는분들이있더라구요. 정확한건 조사가나와봐야 알수있을거 같습니다,붕붕I아5 아6I세종,2023-11-13 08:35:00
1332081,앞쪽 프렁크쪽 그을린거봐서는 정말 무시동히터 가능성이 있겠네요.. 택시 무시동히터 작업 정말 많이하긴 하던데,건강이l코나EVl인천,2023-11-13 08:43:00
1332081,아이오닉은 뭔가 사건사고가 유독 더 많은 느낌이 ㄷㄷ,꿍쓰I레이evI서울,2023-11-13 08:49:00
1332081,배터리화재는 보통 전소든데... 이건 전소가 아니네요.,강원I아5I휴,2023-11-13 09:02:00
1332081,이건 배터리는 멀쩡하네... 다른 이유일듯,시기상조I넥쏘i3I서울,2023-11-13 09:11:00
1332081,앞쪽에서 화재가 났고 한시간 반 만에 꺼졌다는 걸 보면 배터리는 아닌 것 같네요.,덴짱IEV6I성남,2023-11-13 09:29:00
1332081,주변 차량들 어쩔...ㅠㅠ,번개맨l전남,2023-11-13 09:51:00
1332081,배터리문제인지 어떤지는모르겠지만 전기차이미지에 타격은 올수밖에없겠네요. 충전기지상이전도 다시 얘기가나올테고.. ㅡㅡ,유니77서울,2023-11-13 09:56:00
1332081,어제 오전에만 10건 기름차 화재 발생했는데 그건 뉴스에 나오지도 않고 전기차만 주구장창 방송하고 ㅠㅠ,카카로트l경기,2023-11-13 10:29:00
1332081,iccu 터진거 아닐까요?,섭섭이 ix50 서울,2023-11-13 10:44:00
1332081,밧데리발화 아닙니다.,딥블루샤크l서울,2023-11-13 17:35:00
1332081,충전기때문에 불이나온거같진않아요현장 사람들 얘기로는 주차도면은 깨끗하다고합니다배터리로 인해 불이낫다면 주차도면도 탄자국이 있어야하는데 말이죠^^;;,서울ll잎새,2023-11-13 21:10:00
1332081,앞쪽 전기장치 등에서 불이 났나봐요. 밧데리 였르면 거의 형체가 없을정도로 타버리니까요,현이아빠 l MS l광주,2023-11-14 07:43:00
1332081,어쨌든 화재가 나면 내연기관보다 위험한건 맞는것 같습니다. 배터리쪽 발화가 아니라서 천만다행이네요,제이l부산,2023-11-14 13:52:00
1332081,헐 여기 가끔 충전하러 가는 곳이네 ㅠㅠ.,투피오l볼트EVl서울,2023-11-14 14:20:00
1331941,이유가 뭐죠?,빵몬liX3l청주,2023-11-12 22:04:00
1331941,가격에 맞게 저가형 센서들로 가득차있네요 비싼 전기차 타이어 금방 닳을 듯 해요미디어오토 채널가서 한번 영상시청 해보세요 ㅠㅠ,263kmlev6l경북,2023-11-12 22:07:00
1331941,비싼 전기차 타이어....ㅋㅋㅋhttps://search.shopping.naver.com/search/all?frm=NVSCPRO&maxPrice=600000&minPrice=300000&origQuery=ev6%20%ED%94%BC%EB%A0%90%EB%A6%AC%20%ED%94%BC%EC%A0%9C%EB%A1%9C&pagingIndex=1&pagingSize=80&productSet=total&query=ev6%20%ED%94%BC%EB%A0%90%EB%A6%AC%20%ED%94%BC%EC%A0%9C%EB%A1%9C&sort=price_asc&timestamp=&viewType=list아런건 평생 못 달겠네요...,동녁하늘별EV6ll서울,2023-11-13 06:28:00
1331941,아무래도 그렇겠죠,수미l봉고l경북,2023-11-12 22:06:00
1331941,왜 안습이죠?? 이유는 설명해야 되지 않나요? 계약한 사람도 있는데,리골레토천안,2023-11-12 22:06:00
1331941,"가격에 맞게 저가형 센서들로 가득차있네요 비싼 전기차 타이어 금방 닳을 듯 해요미디어오토 채널가서 한번 영상시청 해보세요 ㅠ그냥 그가격에 맞게 배터리, 센서들이 장착되있네요",263kmlev6l경북,2023-11-12 22:08:00
1331941,비싼 전기차 타이어....ㅋㅋㅋhttps://search.shopping.naver.com/search/all?frm=NVSCPRO&maxPrice=600000&minPrice=300000&origQuery=ev6%20%ED%94%BC%EB%A0%90%EB%A6%AC%20%ED%94%BC%EC%A0%9C%EB%A1%9C&pagingIndex=1&pagingSize=80&productSet=total&query=ev6%20%ED%94%BC%EB%A0%90%EB%A6%AC%20%ED%94%BC%EC%A0%9C%EB%A1%9C&sort=price_asc&timestamp=&viewType=list아런건 평생 못 달겠네요...,동녁하늘별EV6ll서울,2023-11-13 06:28:00
1331941,가격이란게 구매가격 기준인가요? 총가격기준인가요?,제이하스I쏘울EVI경북,2023-11-13 08:29:00
1331941,저가인걸 확인하고 말하는거죠? 시승하면서 확인할 시간은 있었나 모르겠는데.카더라 아주 신물나는데 뭐 설마 그런건 아니겠죠?,비니I니로오닉I화성,2023-11-13 15:20:00
1331941,전기차는 테슬라,보더스I아오5I경기,2023-11-12 22:09:00
1331941,장단점이 있는거 같아요현기는 차의 완상도가 높고테슬라는 소프트웨어가 좋네요,263kmlev6l경북,2023-11-12 23:12:00
1331941,"현기차가 차의 완성도가 높아요? 그래서 나는게 급발진이고 화재였나요?코나 화재, 아이오닉5 EV6 택시모델 급발진, 아이오닉6 에어필터 누수 이게 완성도가 높은 편인지?",명탐정l코나I경기,2023-11-12 23:19:00
1331941,테슬라도 화재나고 사람이만든 차는 대부분적으로 결함이 있어요 원래 차는 고치면서 타는겁니다 세상엔 완벽한 차는 없어요 벤츠도 비엠도 폴세도 슈퍼카도 모든차들은 결함이 존재합니다 우리나라에서 현기가 많이 팔리니깐 결함이 한꺼번에 많이 보이죠 그냥 일반적인 차 만듬새를 말하는겁니다 오렌지커스텀 유튜버(오디오 튜닝 전문가)가 구입한 모델 x 보면 1억 5천주고도 내장제가 엉망이고 심지어 3열도 있는 차인데 2열 에어밴트도 없죠 내장제나 외장제 기본적인 마감부분은 현기 말고도 일반 내연기관 브랜드보다 테슬라가 마감이 많이 뒤쳐진건 사실입니다,263kmlev6l경북,2023-11-13 01:14:00
1331941,뭐 전문가가 아닌 일반인이 제가 느낀 결과로는 두차 타본결과 테슬라 완승이였어요. 하체부터 차이가 나요 현기는 뭔가 하체부실이라 휘청휘청 뭐 세팅차이일수도 있고요,보더스I아오5I경기,2023-11-12 23:31:00
1331941,급발진은 엑셀 꾹밟으니까 나는거구요 ㅋㅋ 엑셀 꾹밟아놓고 급발진이에요 이지랄,소야볶I니로I천안,2023-11-12 23:44:00
