"post_id","cmt_content","cmt_author","cmt_created_at"
"6257486","사기판매인데","독점제공","24.08.05 18:15"
"708631","중국 지분 묻었으니 중국 주주 의견 반영해서 중국 배터리 쓴 짱츠","흑두루미1","24.08.06 19:37"
"2319922","사람이라도 죽었으면 난리났을건데 벤츠 운좋은줄알아라","문디머슴아","24.08.06 19:31"
"2319765","넵 감사합니다. EQE가 안그래도 자잘한 고장이 많은 차종으로 악명 높은데...","투자의책임은본인","24.08.04 22:17"
"6256302","그래도 중국이 베터리 기술이 우리보다 앞선다고 들었는디","독도는우리땅1","24.08.04 22:53"
"6256253","벤젠","기획부동산","24.08.04 11:24"
"2319675","벤츠책한테 책임 물으면... 나중에 현기는 어떻하라고...ㅎㅎ봐라 알바들도 이런 애기는 조용하잖여... 중국산 밧데리 욕만하지...ㅎㅎ","낚시가자","24.08.05 09:26"
"6256176","댓글을 안적아도 380명 보배형들이 추천으로 공감 동의해주셨음 댓글 여론몰이에 속지않음 보배형들이^^","대전지은남편","24.08.06 21:43"
"708598","이제 벤츠네 ㅋㅋ","blacksnake","24.08.04 15:09"
"6255839","차량 10년 넘으면 궂이 넣을 필요없음내가 아닌 가족들이 그차를 받아서 쓴다면 몰라도","달달한달고나","24.08.04 05:27"
