"post_id","cmt_content","cmt_author","cmt_created_at"
"Breadwinner","조립하는 노동자들 필요없겠네요...","16281109","2021-07-01 16:03:14"
"버즈빅","간만에 제가 세달넘게 들고 있는 주식입니다. 솔직히 40만원할때 매도 고민 많이 했네요. 뮬론 후회합니다 팔걸..ㅋㅋㅋㅋ","16029648","2021-04-04 22:36:49"
"희망헌터","@버즈빅님 ㅎㅎ 급등할땐 일단 일부 매도하는것이 진리인듯합니다^^ 저는 40만원일때 일부 매도하고 수익 실현한 후 지금 다시 열심히 담고 있습니다.","16029648","2021-04-04 22:50:17"
"REMEDIOS","현대모비스가 이상하리 만큼 주가가 올라오지 못하더군요. 알아보면 우선 지배구조에서 소외되어 있고, 기아/현대차의 핵심 부품공급으로 수익을 낼거라 생각한 것과 반대입니다. 최근에 전동화 부품의 기술력에 의문까지 있더군요.","16029648","2021-04-04 22:38:08"
"희망헌터","@REMEDIOS님 말씀하신대로 지배구조에서 소외되어 있어 주가가 저평가 받고 있는건 사실이지만 앞으로 현대그룹에서 전기차의 가장 큰 수혜주는 현대모비스라고 저는 굳게 믿고 있습니다 ㅎㅎㅎ;;; 저의 믿음에 보답해주길 모비스야~","16029648","2021-04-04 22:52:08"
"몸튼튼맘튼튼","현기의 전기차 전환은 기존 노하우와 인력을 많은 부분 정리해야 하는 단점과 발빠른 전기차 대응의 장점이 있다고 생각하네요. 또한 제조업으로 한계를 극복하는 서비스업 전환이 없다면 영업이익 극대화는 생각과 또한 다른듯 하다는 생각이네요. 장점 전기차 제조 노하우 다양한 기술 보유 단점 배터리 가격 인하 한계 기존 내연기관 자동차 제조 인력과 납품업체 정리 높은 전기차 생산 단가 자체 SW 플랫폼 부재 (자율주행 준비?) 인포테인먼트 한정 OTA","16029648","2021-04-04 23:47:50"
"靑春","엘지전자 tv사업이 돈버는것 대비 엘지디스플레이가 돈을 못버는걸 보면 그룹내 주력회사인 자동차에 돈벌어주려고 상대적으로 모비스는 마진이 박할수 있습니다","16029648","2021-04-05 00:56:29"
"돌궁댕이","전기차는 팔아도 이익이 아주 작은 사업입니다. 테슬라도 탄소배출권과 소프트웨어 판매로 흑자전환한 것이지, 순수 전기차 판매만으로는 적자라고 알고 있습니다. 실적으로 올라가긴 힘들고 시장이 미래 밸류를 얼마나 줄 것인지가 관건이라 생각합니다.","16029648","2021-04-05 07:20:50"
"jkh2118905","일자리 사업 중 하나인 자동차 산업이 노동인구를 줄인다면 그 많은 차들은 누가 사줄까 싶어서 자동차 시장이 엄청 성장하지 못할거 같다는 뇌피셜 때문에 국내 자동차 산업엔 회의적입니다. 스마트폰처럼 그냥 미국(고가) 중국(저가)이 양분할거 같아요.","16029648","2021-04-05 07:24:34"
"빈둥이 ^^v","38에 팔고 35에 다시 사서 적자중이네요...ㅋㅋㅋ","16029648","2021-04-05 07:51:37"
"딸기우유","전에 어느 방송에선가 전기차 시대가 되면 부품 갯수가 줄어서 부품업체에 오히려 악재일거라던데요.","16029648","2021-04-05 11:14:54"
"돼지털세상","모비스에서 내연기관 부품 사업을 글로비스서 조금씩 옮기고 있다고 해서...주시하고 있습니다.","16029648","2021-04-06 09:35:22"
"그린픽","실외는 안내영상에서 컨버터가 보였습니다. 충전단자에 끼우는 어뎁터를 꽂고 거기에 220볼트 전선을 꽂는 구조였고, 실내는 그냥 일반 220v인데, 옵션 선택안하면 실내만 없나봅니다","15924385","2021-02-26 15:14:20"
"갤러리야","@그린픽님 답변감사합니다","15924385","2021-02-26 15:18:55"
"뭅뭅","별도 포트 컨버터를 통해 충전단자->220v 전기를 씁니다.","15924385","2021-02-26 15:14:40"
"갤러리야","@뭅뭅님 답변 감사합니다","15924385","2021-02-26 15:28:53"
"구사인볼트","후자로 알고 있습니다 그 악세사리는 별매라고 본거 같긴한데 확실한건 정확한 옵션표가 나와봐야 알수 있지 않을까 하네요","15924385","2021-02-26 15:14:54"
"갤러리야","@님 외부 포트에서 전선을 끌어와서 실내에서 쓰는 편법은 안될까요?...","15924385","2021-02-26 15:29:24"
"솔로맥","@뼈치킨님 가능한데 불편하죠. 차박때 비라도 오면... 방수라 하더라도 전기와 물은 상극이라서...","15924385","2021-02-26 15:38:46"
"TYPE214","실내는 옵션입니다","15924385","2021-02-26 15:38:22"
"엑스베이스","핵심인 ICCU 보드는 기본 내장입니다. 외부 충전 포트로 전력 빼내 쓰는건 다 기본이거든요. 실내에 220v 커넥터만 추가할지 말지 옵션이 있는것입니다.","15924385","2021-02-26 18:43:05"
