post_id,cmt_content,cmt_author,cmt_created_at
1459162,여기 까페 설문 통계보니까 한 15퍼정도되는거같던데 엄청 많은숫자죠,케이야스IEV6I서울,2024-05-15 14:29:00
1459162,그정도면 엄청 많네요,프리데이I모델3I경남,2024-05-15 14:30:00
1459162,미국 리콜때 1%정도라고 나왔습니다.,곰곰Ie208아5I경남,2024-05-15 14:35:00
1459162,15퍼면 지금보다 더 난리났을거에요 ㅋㅋㅋㅋ,소년lGV60l충남,2024-05-15 14:36:00
1459162,잇섭님 유투브 봐보세요 ㅋㅋ,도이치반I경기,2024-05-15 14:40:00
1459162,절때 적은 숫자는 아니죠...뉴스화안되는게 이상 할 정도입니다.,조재l아이오닉5l서울,2024-05-15 14:30:00
1459162,제대로 된 통계나 유저데이터가 없는게 좀 안타깝네요,정정IM3I전북,2024-05-15 14:31:00
1459162,전체 출고 대수 대비하여 적다 하더라도재발까지 하면 가벼운 문제는 아닌 것 같아요.전량 부품 교환 아닌 리콜이 참 아쉽습니다.,차크닉IGV60I일산,2024-05-15 14:33:00
1459162,다만 일부 불량이라 그런게 아니라 전체가 같은 조건이라아직 아니라고 안심할 수 없는...추가로 화재까지...,맨유우승I서울,2024-05-15 14:39:00
1459162,아니오 다수요,크리스l모SYEV9l경기,2024-05-15 14:42:00
1459162,"택시로 운행되는 댓수를 봤을때, 숫자가 컸으면 뉴스에라도 나왔을거 같은데요.업무용으로 사용하는 거라 단순 대차로 끝날일은 아니니까요.",수IeGV70I경기,2024-05-15 14:43:00
1459162,https://cafe.naver.com/allfm01?iframe_url_utf8=%2FArticleRead.nhn%253Fclubid%3D21771803%2526articleid%3D1399777,동탄ll테일러12,2024-05-15 14:44:00
1459162,제가 통계작업한 게시글 한번 보세요,동탄ll테일러12,2024-05-15 14:44:00
1459162,심각한건 마지막 리콜받은 차량도 iccu터지는게 심심찮게 보이는거죠 현대 대처가 진짜 실망스럽습니다,피카츄I아5I부산,2024-05-15 15:10:00
1459162,문제 있는 사람만 글을 올리니까 많아 보이죠 원래 결함건이 내가 당첨안되면 0%로고 당첨되면 100%롭니다,백호550I부산,2024-05-15 15:48:00
1459162,불안불안 합니다. 4만 넘었는데 젠장..,광전l자가발전전기차,2024-05-15 15:50:00
1459162,전기차 사려고 관망중인데~~세번터졌다는 댓글도 본듯해요,부엉이l전북,2024-05-15 15:57:00
1459162,정불안함 완속충전 인증안정화될때까지 안꼽고 저는 아이오닉5 거진3년 8만키로 아이오닉5n 두대째 타지만 겪어보질 못해서...급속 99%유져이긴합니다.,안쟁l아이오닉5Nl경기,2024-05-15 16:03:00
1459162,ICCU가 완속충전이랑 연관있는건가요?,나비IEV6I울산,2024-05-15 20:40:00
1459162,뭐대부분 완속에서 데미지먹거나 완속유져들이 터졌져 특히 11kw급,안쟁l아이오닉5Nl경기,2024-05-15 21:29:00
1459162,힝..집밥이 11kw 인뎅..,나비IEV6I울산,2024-05-15 22:27:00
1459162,업데이트 하셨음됐져뭐 낮춰서 들어가거나 차에서 설정도가능하고 괜찬을겁니다~,안쟁l아이오닉5Nl경기,2024-05-15 22:30:00
1459162,업데이트안했는데용?,나비IEV6I울산,2024-05-15 22:37:00
1459162,왜요?리콜인데 아님 속도를 줄이셔도,안쟁l아이오닉5Nl경기,2024-05-15 22:52:00
1459162,리콜통지 안왔어요.아직,나비IEV6I울산,2024-05-15 22:52:00
1459162,그냥가셔도 되요 아님 그후연식이신가...,안쟁l아이오닉5Nl경기,2024-05-15 22:54:00
1459162,23년12월식 재고차 구매했거든요~,나비IEV6I울산,2024-05-15 23:01:00
1459162,5월1일 출고요,나비IEV6I울산,2024-05-15 23:02:00
1459162,이미 다 기아에서 해서 않올수도 있겠네요~iccu리콜이 3월에 시행된거라~,안쟁l아이오닉5Nl경기,2024-05-15 23:11:00
1459162,네.늦은시간 답변감사합니다.,나비IEV6I울산,2024-05-15 23:12:00
1459162,정불안하심 완속충전속도 조절해서 7로받거나 iccu업뎃되었음 알아서 7kw받거나 그럴거에요 아직 충전기인증이 중구난방이라 완속은 특히...,안쟁l아이오닉5Nl경기,2024-05-15 23:13:00
1459162,출고후 고작 1~2년된 차량도 이지경인데...5~6년후엔 안터진차 찾기가 더 어려울거 같네요 ㅜ,은호I트론q4아6I원주,2024-05-15 16:16:00
1459162,제껀 6만 다되가는게 멀쩡합니다.,셔니lev6니로l서산,2024-05-15 16:18:00
1459162,완속은 안하시나요? 완속 11kw 가 젤연관이 있는건가요?집밥이 11kw라..ㅠ,나비IEV6I울산,2024-05-15 22:28:00
1459162,완속하는데 7kw짜리 써요,셔니lev6니로l서산,2024-05-15 22:39:00
1459162,넹ㅠ,나비IEV6I울산,2024-05-15 22:39:00
1459162,"ICCU 문제의 원인이 하나 부품 안에 저속충전, 고속충전, VDL 등을 넣어놔서열 관리가 잘 안된다는 것이던데...ICCU가 배터리 안 쪽인가에 있어서 교환하기도 쉽지 않아...교환 리콜을 안하고 소프트웨어 리콜로 대충 시간 벌기를 하는 듯 합니다...BMW는 ICCU 문제가 터졌을 때 전량 ICCU 교환 리콜을 단행했어서 지금은 전혀 문제가 없다고 하더군요...페리아이오닉에서는 좀 개선했을지 모르겠네요...",칠천피트l용인,2024-05-15 16:29:00
1459162,1프로면 100중에 하나인데 ㄷㄷㄷ,초코칩3IID4e2008I용,2024-05-15 18:12:00
1459162,"제 주변 전기차 아이오닉6, ix3, egv70 이렇게3대인데 아이오닉6친구차 iccu결함터졌네요",첼시Iix3I성남,2024-05-15 19:49:00
1459162,제주변에도 오닉5 두분 타고 계신데 두분다 터짐요. 두분다 카페 활동 안하시는데 여기 카페에 올라오는 글 외에 터지시는분들 제법 되실듯 해요..,깜시lid4l인천,2024-05-15 23:06:00
1459162,훨씬더 많죠. ㅎㄷㄷ한 상황입니다.,새빛l코나l경기,2024-05-15 23:30:00
1459162,극소수.... 내가 걸리면 100%.... 불안감 어쩔.....,아목사I모델yI수원,2024-05-16 11:56:00
1459137,낚시인가요? 제목이 좀..,지정채lev6l전북,2024-05-15 14:03:00
1459137,아 수정하겠습니다,아이파lEV6l부산,2024-05-15 14:07:00
1459137,다른브랜드는 소수지만 현기는 거의다 터지는듯요,호롤노아Ibmwi4I김포,2024-05-15 14:21:00
1459137,많이 팔아먹은 전기차가 언제 터질지 모른채로 타고 다니는게 두는게 어이가 없네요,아이파lEV6l부산,2024-05-15 14:14:00
1459137,ICCU라는 부품 자체가 현기만 있어요,어l아6l경기,2024-05-15 14:14:00
1459137,아 그런건가요. 개발에 문제가 있나보네요.,아이파lEV6l부산,2024-05-15 14:14:00
1459137,현기 전용 부품이라 다른회사는 iccu라는게 없어요. 현기서 빨리해결해주면 좋겠네요,크리스l모SYEV9l경기,2024-05-15 14:45:00
1459137,네 이번 리콜도 도움이 안되네요,아이파lEV6l부산,2024-05-15 14:55:00
1459137,저도 궁금한게 생겼는데아이오닉5이나 ev6 가해외에서도 팔고 있지 않나요?해외에서도 터진 사례가 있는지 궁금하네요,더뉴아이오닉5,2024-05-15 15:42:00
1459137,그러네요. 외국 대응은 한국 국토부 같진 않을듯한데,아이파lEV6l부산,2024-05-15 15:43:00
1459137,"현대기아 중에서도 니로, 코나 같은 400V전기차는 ICCU가 없고, 800V전기차들(아이오닉 시리즈, EV시리즈, 제네시스 전기차 시리즈) 들만 ICCU가 있는걸로 알고 있습니다. 아무래도 고전압 전기차 모델이 처음이니 문제 터지는것 같네요.저는 키로수 11만 넘어 12만 다되어 가는데, ICCU문제는 없는데, 네비 프리징(멈춤)현상이랑 차로유지보조기능이 문제네요. 담주에 직영서비스센터 또 가야되는데 ㅠㅠ",날아댕김IQ5I경남창녕,2024-05-15 16:06:00
1459137,네 ㅜㅜ 차가 오랜동안 운행 중 안섰다고 축하드려야하는 웃픈 상황 같습니다.,아이파lEV6l부산,2024-05-15 16:10:00
1459099,개선이 된 건 정말 다행이지만.. 이전까지의 차주들은..,도르님lEV6l창원,2024-05-15 12:48:00
1459099,이전 차주도 모두 개선픔으로 교체해줘야겠네요!,톰I서울,2024-05-15 12:50:00
1459099,다른것보다 핸들부럽다 ㅠㅠ,밤수lev6니로l경북,2024-05-15 12:54:00
1459099,관계자들이 굳이 해결되었다고 웬만해선 단언 안 하는데 정말 해결되었거나 아니더라도 개선품에서 오류날 가능성은 더욱 낮아졌겠네요,시카마루I뉴아오5I설,2024-05-15 12:57:00
1459099,개선품을 기존차량에 교체해줘야죠,소멸은신I모델YI인천,2024-05-15 13:13:00
1459099,참 ㅋㅋㅋㅋㅋㅋ 문제가있는걸 알면서기존차 먼저 바꿀생각을 안하고페이스리프트 장난하나,하지만없죠I코나l경기,2024-05-15 13:14:00
1459099,222222,너구리아빠Iev6I충남,2024-05-15 13:20:00
1459099,기존차 교체해주는게 당연한데,포나미,2024-05-15 13:32:00
1459099,이거 무조건 개선품 으로 전체 차량 다 교체 해줘야 된다고 생각이 되네요 몇천만원 차 로 소비자 우롱 하는것도 아니고 ㅡㅡ,살생98ll대전llev6,2024-05-15 13:46:00
1459099,기존차 다 교체해줘야죠,jieI아이오닉6I서울,2024-05-15 14:33:00
1459099,그럴리가...곧 알겠죠,빌런lev6l서울,2024-05-15 15:04:00
1459099,기존 제품도 교체 안해주면 이건 진짜 테스터로 썼다고밖에 생각이 안들정도네요 바꿔주겠죠!,랄랄라l페리오닉l서울,2024-05-15 15:23:00
1459099,기존 아오5 ev6도 교체 해주겠죠..?,마이노IEV6I대구,2024-05-15 15:43:00
1459099,여기 현기차 옹호하는 인간듷 진절머리나네유~~iccu비판성 글 올리면 본질은 외면하고 시비거냐.외제차사라. 어느차든그정도는오류있다하는둥~~,부엉이l전북,2024-05-15 16:04:00
1459099,엇 올린글 봤는데 ㅋ 댓글도... 현기차 호위무사 급 댓글들이 ㅋ,kkslEV6l세종,2024-05-15 16:31:00
1459099,ICCU 문제가 실존하냐는 글도 봤습니다 ㅎㅎ,여행IM3L니로I경기,2024-05-15 17:05:00
1459099,저는 정신이 다양하게 사는 시대라 어느정도 예상했지만 피해자보다 가해자를 옹호하는것보면 정말 제정신이 아닌사람이 세상에. 많구나 하는것 느끼네요~2찍이들~1암튼 개선이 아닌 완전 이상없는 제품으로 나오고 기존차량들도 교체해주길 ~~,부엉이l전북,2024-05-15 17:40:00
1459099,응~ 정치색 드러내는거 보니 태극기좀 휘두르는 알바 하셨을거 같네요 ^^ 현대 iccu 문제 있는건 사실이고 중대한 결함인데 누가 별거 아니라고 합니까 ㅋㅋㅋ,도l아5l경기,2024-05-15 20:17:00
1459099,전라도ㅋㅋ,가나더,2024-05-15 22:54:00
1459099,전라도가 아니라 전북이예요~~^^,부엉이l전북,2024-05-16 07:07:00
1459099,전라디언ㅋㅋ,가나더,2024-05-16 09:34:00
1459099,실제로 페리오닉은 안터지는거 보면 개선품은 괜찮은가 봅니다... 그ㅓㄹㅁㄴ 당연히 기존 차량도 전체 리콜 해서 하드웨어 싹다 교체해줘야 하는거 아닌가요!,이타도리I아5AWDI서울,2024-05-15 16:09:00
1459099,먼저산사람 호구만드네 문제해결이 먼저 아님? 일단 소프트웨어로 버티고 터지면 바꿔줄께 이건가?,FSD만슬이I모델3I시흥,2024-05-15 16:45:00
1459099,자동차 이야기에 정치병환자가 있네.,워커l니로l울산,2024-05-15 18:43:00
