"id","title","content","likes","url","author","views","created_at","updated_at"
"2151968","스브스8시 뉴스 방송사고죠?[6]","여자 앵커 없고할시간이 됐는데 계속 코로나 지진 화재시 해야 할일 보내주고 10분 지났는데 아직도 안하네요ㅋㅋㅋ  ","3","https://www.bobaedream.co.kr//view?code=freeb&No=2151968","무르시드림","771","2020.12.20 20:12",""
"2151530","●중소기업을 삼성이 죽이니까 금융감독원은 밟아버립니다.","◆http://newstapa.org/article/GRUf5  보험의배신  코끼리를 냉장고에 넣는 법 ‘셀프 손해사정 ◆http://newstapa.org/article/bnY8M  보험의 배신 ""나는 삼성생명 보험설계사였습니다 ""◆https://youtu.be/fJ2tljL9G0c   via  @YouTube   표적항암치료보험의 함정      https://youtu.be/Gpaz6FSPQQc   via  @YouTube? 그것이 알고싶다https://programs.sbs.co.kr/culture/unansweredquestions/board/55080?cmd=view&page=1&board_no=302812 ************금융감독원의 몹쓸짓"" *********************            중소기업을 삼성이 죽이니까 금융감독원은 밟아버립니다.          국민이 참여한 철저한 조사를 촉구합니다     ******************************************************************보험료 25 억원만 꿀꺽 (중소기업을 학살) 한 보험료사기 ?청와대국민청원 : https://www1.president.go.kr/petitions/Temp/Pd5HFj? https://youtu.be/aUPnv0nOu54  (주 )패밀리의기막힌 사연  금융감독원은 무법천지 삼성공화국 *보험업법204조(벌칙)보험사기방지법 민원처리에관한법률 제4조 5조는 있으나 마나*? 삼성화재가 보험가입자들 보험료 편취와 탈세로 이익을 챙기는‘셀프 손해사정숫자노름 삼성화재가 보험사기전과자를 교통사고 피해자로 조작 보험계약자에게 덮어씌워서 중소기업을 죽이니까 금융감독원은 밟아버립니다                                                                  ● 개혁 [改革]!! 이젠 금융감독원이다 ■ 언 론 보 도-  ?://t.co/j8r3Q1ihvl?amp=1 ?://www.gukjenews.com/news/articleView.html?idxno=118867 ?://www.gukjenews.com/news/articleView.html?idxno=124905?://www.gukjenews.com/news/articleView.html?idxno=187130※보험사기전과자(69350원)를 교통사고피해자(537718619원)로 손해사정 조작하여서...보험사기전과자가 자신의 기왕증을 이용 보험금을 노린 보험사기꾼(69350원)를 형사처벌을하기는 커녕 교통사고 피해자라고 조작 이용한 지급준비금제도를 악용한 삼성화재 와 보험계리사가 부정한 확인을 고의한 숫자(69350원을 537718619원이라고)노름 보험료 (250%10억원)편취 사기와 탈세 보험사기방지법. 보험업법제204조(벌칙)을  묵인 묵살 은폐 방조 민원처리에관한 법률 제4조 5조를 위반 삼성화재를 비호 중소기업을 두 번 세번 죽이고 있는 금융감독원입니다.■ 대한민국은 삼성공화국◆http://newstapa.org/article/VwPLd◆http://newstapa.org/article/IWJni   ◆http://newstapa.org/article/WILmO   ◆http://newstapa.org/article/Eu2T6    ◆https://youtu.be/cAy_zvzE_CA via @YouTube◆https://youtu.be/yvQMsYInc28 via @YouTube  ◆https://youtu.be/8ZSkouWdZIs via @YouTube  ◆https://youtu.be/vdcvcr1Ug0Q via @YouTube     ◆https://youtu.be/awAUbL2xjHU via @YouTube   ◆https://youtu.be/Cqb0czhnH_g via @YouTube     ◆https://youtu.be/OPZXlb4sk8M via @YouTube   ◆https://youtu.be/QPrEVXIH4h4 via @YouTub    ◆https://youtu.be/UTNlyLGonxg via @YouTube ● 삼성화재 하수인 노릇은 뿌리내린 뿌리뽑아야만할 금융감독원의 적폐 ● 개혁 [改革]!! 이젠 금융감독원이다  ","0","https://www.bobaedream.co.kr//view?code=freeb&No=2151530","family5114","554","2020.12.20 05:33",""
"1992195","화재·브레이크 결함...애증의 코나 전기차 국내 단종[7]","현대자동차가 화재와 브레이크 이상 가능성으로 리콜에 나선 코나 일렉트릭을 한국 시장에서 판매하지 않기로 했다. 내년 출시하는 E-GMP 기반 신차들이 새 전기차 라인업을 구성한다. 사진 현대자동차부분변경 모델 국내엔 출시 안 해현대자동차는 지난달 유럽 시장에서 코나 일렉트릭의 부분변경 모델을 공개했다. 편의장비와 주행거리를 개선한 모델이지만 국내에선 판매하지 않기로 했다. 사진 현대자동차내년 E-GMP 모델이 대체현대차는 지난 10월 코나의 부분변경 모델을 출시했지만 순수전기차인 코나 일렉트릭은 내놓지 않았다. 사진은 부분변경된 코나의 고성능 모델인 코나 N라인. 사진 현대자동차현대차그룹의 전기차 전용 플랫폼 E-GMP. 사진 현대자동차글로벌 판매 12만대 베스트셀러","2","https://www.bobaedream.co.kr//view?code=national&No=1992195","호떡왕","621","2020.12.18 11:07",""
"1992151","코나EV 단종[5]","  한국만 해당하고 유럽에서는 판매 이어간다고 함 ㅋㅋㅋㅋ 전기차 전용 플랫폼의 신차로 대체한다는건 이해하겠는데 정작 배터리 결함으로 인한 화재 해결은 커녕 기어이 단종때려버리네. ㄱㅐㅅㅐㄲㅣ ㅡㅡ해결해주는것도 그리 어렵냐?기존 피해차주분들의 보상은 어케 된거임?","2","https://www.bobaedream.co.kr//view?code=national&No=1992151","맘마SIBAL미아","1,221","2020.12.18 09:31",""
"2149244","보험료 25 억원만 꿀꺽 (중소기업을 학살) 한 보험료사기","주사 한 방으로 '암' 죽인다한 번의 주사와 반복적인 광치료로 부작용 없이 항암치료 암 표적성 단일 성분 초분자 펩타이드 광치료제 개발 치매환자의 일상생활지침 - 분당 차병원 신경과 김현숙 교수     ********************                     *****************************               중소기업을 삼성이 죽이니까 금융감독원은 밟아버립니다. 국민이 참여한 철저한 조사를 촉구합니다     ********************                     *****************************     보험료 25 억원만 꿀꺽 (중소기업을 학살) 한 보험료사기         ?청와대국민청원 : https://www1.president.go.kr/petitions/Temp/Pd5HFj        ? https://youtu.be/aUPnv0nOu54  (주 )패밀리의기막힌 사연          ? http://newstapa.org/article/GRUf5  보험의배신 ⑨코끼리를 냉장고에 넣는 법 ‘셀프 손해사정 ’ 금융감독원은 무법천지 삼성공화국 *보험업법204조(벌칙)보험사기방지법 민원처리에관한법률 제4조 5조는 있으나 마나*? 삼성화재가 보험가입자들 보험료 편취와 탈세로 이익을 챙기는‘셀프 손해사정숫자노름 삼성화재가 보험사기전과자를 교통사고 피해자로 조작 보험계약자에게 덮어씌워서 중소기업을 죽이니까 금융감독원은 밟아버립니다.       ● 개혁 [改革]!! 이젠 금융감독원이다 ■ 언 론 보 도-  ?://t.co/j8r3Q1ihvl?amp=1 ?://www.gukjenews.com/news/articleView.html?idxno=118867 ?://www.gukjenews.com/news/articleView.html?idxno=124905?://www.gukjenews.com/news/articleView.html?idxno=187130※보험사기전과자가 자신의 기왕증을 이용 보험금을 노린 보험사기꾼(69350원)를 형사처벌을하기는 커녕 교통사고 피해자라고 조작 이용한 지급준비금제도를 악용한 삼성화재 와 보험계리사가 부정한 확인을 고의한 숫자(69350원을 537718619원이라고)노름 보험료 (250%10억원)편취 사기와 탈세 보험사기방지법. 보험업법제204조(벌칙)을  묵인 묵살 은폐 방조 민원처리에관한 법률 제4조 5조를 위반 삼성화재를 비호 중소기업을 두 번 세번 죽이고 있는 금융감독원입니다.● 삼성화재 하수인 노릇은 뿌리내린 뿌리뽑아야만할 금융감독원의 적폐 ● 개혁 [改革]!! 이젠 금융감독원이다  ■ 대한민국은 삼성공화국◆http://newstapa.org/article/VwPLd ◆http://newstapa.org/article/IWJni ◆https://youtu.be/cAy_zvzE_CA via @YouTube◆https://youtu.be/yvQMsYInc28 via @YouTube  ◆https://youtu.be/8ZSkouWdZIs via @YouTube  ◆https://youtu.be/vdcvcr1Ug0Q via @YouTube    ◆https://youtu.be/awAUbL2xjHU via @YouTube   ◆https://youtu.be/Cqb0czhnH_g via @YouTube    ◆https://youtu.be/OPZXlb4sk8M via @YouTube   ◆https://youtu.be/QPrEVXIH4h4 via @YouTub   ◆https://youtu.be/UTNlyLGonxg via @YouTube◆http://newstapa.org/article/IWJni  ◆http://newstapa.org/article/bnY8M  ◆http://newstapa.org/article/WILmO  ◆http://newstapa.org/article/Eu2T6   ● 삼성화재 하수인 노릇은 뿌리내린 뿌리뽑아야만할 금융감독원의 적폐 ● 개혁 [改革]!! 이젠 금융감독원이다    ","0","https://www.bobaedream.co.kr//view?code=freeb&No=2149244","family5114","747","2020.12.17 04:14",""
"2149008","● 중소기업을 삼성이 죽이니까 금융감독원은 밟아버립니다.","중소기업을 삼성이 죽이니까 금융감독원은 밟아버립니다. 국민이 참여한 철저한 조사를 촉구합니다       보험료 25 억원만 꿀꺽 (중소기업을 학살) 한 보험료사기         ?청와대국민청원 : https://www1.president.go.kr/petitions/Temp/Pd5HFj        ? https://youtu.be/aUPnv0nOu54  (주 )패밀리의기막힌 사연          ? http://newstapa.org/article/GRUf5  보험의배신 ⑨코끼리를 냉장고에 넣는 법 ‘셀프 손해사정 ’ 금융감독원은 무법천지 삼성공화국 *보험업법204조(벌칙)보험사기방지법 민원처리에관한법률 제4조 5조는 있으나 마나*? 삼성화재가 보험가입자들 보험료 편취와 탈세로 이익을 챙기는‘셀프 손해사정숫자노름 삼성화재가 보험사기전과자를 교통사고 피해자로 조작 보험계약자에게 덮어씌워서 중소기업을 죽이니까 금융감독원은 밟아버립니다.       ● 개혁 [改革]!! 이젠 금융감독원이다 ■ 언 론 보 도-  ?://t.co/j8r3Q1ihvl?amp=1 ?://www.gukjenews.com/news/articleView.html?idxno=118867 ?://www.gukjenews.com/news/articleView.html?idxno=124905?://www.gukjenews.com/news/articleView.html?idxno=187130※보험사기전과자가 자신의 기왕증을 이용 보험금을 노린 보험사기꾼(69350원)를 형사처벌을하기는 커녕 교통사고 피해자라고 조작 이용한 지급준비금제도를 악용한 삼성화재 와 보험계리사가 부정한 확인을 고의한 숫자(69350원을 537718619원이라고)노름 보험료 (250%10억원)편취 사기와 탈세 보험사기방지법. 보험업법제204조(벌칙)을  묵인 묵살 은폐 방조 민원처리에관한 법률 제4조 5조를 위반 삼성화재를 비호 중소기업을 두 번 세번 죽이고 있는 금융감독원입니다.● 삼성화재 하수인 노릇은 뿌리내린 뿌리뽑아야만할 금융감독원의 적폐 ● 개혁 [改革]!! 이젠 금융감독원이다  ■ 대한민국은 삼성공화국◆http://newstapa.org/article/VwPLd ◆http://newstapa.org/article/IWJni ◆https://youtu.be/cAy_zvzE_CA via @YouTube◆https://youtu.be/yvQMsYInc28 via @YouTube  ◆https://youtu.be/8ZSkouWdZIs via @YouTube  ◆https://youtu.be/vdcvcr1Ug0Q via @YouTube    ◆https://youtu.be/awAUbL2xjHU via @YouTube   ◆https://youtu.be/Cqb0czhnH_g via @YouTube    ◆https://youtu.be/OPZXlb4sk8M via @YouTube   ◆https://youtu.be/QPrEVXIH4h4 via @YouTub   ◆https://youtu.be/UTNlyLGonxg via @YouTube◆http://newstapa.org/article/IWJni  ◆http://newstapa.org/article/bnY8M  ◆http://newstapa.org/article/WILmO  ◆http://newstapa.org/article/Eu2T6   ● 삼성화재 하수인 노릇은 뿌리내린 뿌리뽑아야만할 금융감독원의 적폐 ● 개혁 [改革]!! 이젠 금융감독원이다    주사 한 방으로 '암' 죽인다한 번의 주사와 반복적인 광치료로 부작용 없이 항암치료 암 표적성 단일 성분 초분자 펩타이드 광치료제 개발 https://www.hankyung.com/life/article/2020121070777    https://view.asiae.co.kr/article/2020120910234369915치매환자의 일상생활지침 - 분당 차병원 신경과 김현숙 교수http://chamcblog.com/222131211382 ","0","https://www.bobaedream.co.kr//view?code=freeb&No=2149008","family5114","154","2020.12.16 19:56",""
"661574","벤츠 화재입니다[24]","안녕하세요 보배회원님들 이렇게 글을 쓰게된된 이유는  차를 중고로 구입하고 2주만에 불에 타벼렸습니다제조사 벤츠 모델 s350 d L 바디 모델이고 12월10일 19시에 집앞에 잠시나와 주유소를들린다고 10분가량 운행후 집앞에 잠시 주차후 담배하나 피우고 내릴려는 찰나에 동승자의 말에 의하면 갑자기 대쉬보드쪽에서 연기가 났고 냄새가 탄내가 났다고 말하였고그래서 타있던 사람 모두 내리고 혹시나 불이 날까봐 옆 건물에서 소화기를 가지고오는 순간 불이 소화기로 끌수 없을정도로 나버렸습니다 그래서 바로 112와119를 불렀고 소방차가 와서 불을껏으면 현장에서 한번감으로했으며 제가 볼때엔 보통 차량화재라고하면 엔진룸에서 불이나는 경우다 다반사인데 이차량은 실내쪽만 진짜 딱 실내만 불이 났습니다 엔진룸 트렁크 뒤에 퓨즈있는 배터리 거기쪽도 멀쩡하고 그래서 국과수검식을받기로하고  15일 아는 센터가 서서 차량을 리프트 띠우고 국과수분들이 나오셔서 차량을 세부적으로 한번더 감식했으며 감정서는 15일정도 걸린다고 답을 들은후 차량을 벤츠코리아에 전화해서 근처에 있는 KCC센터에 입고후 어드바이저와 상담을 한다음 벤츠에서도  MBK 서류를 보내고 뭐 CR팀에 따고 있다고 거기서 나와서 차량을 한번더 볼거라고 그결과가 아마도 1달정도 걸린다고 하였다고 합니다차량은 처음구매한분이 부산에있는 어느지점에서 구매하셨다고 들어서 그딜러분과도 통화를 해봤고 서비스센타에 어드바이저분이 말씀하시기로는 어차피 출고된 지점으로 사건을 이관한다고 그러시고 MBK랑 그 지점이랑 협의해서 처리가 될거라고 하더라고요. 저는지금 화재가 나고 이틀간 식음전폐하며 잠도 제대로 못잣습니다 아는 동생도 벤츠를 타는 입장으로서 뭐 차를 오래 주행한것도 아니고 잠시나갔다 온사이에 불이 나버린거면 불안해서 탈수가 없을거 같네요 저희같은 일반 시민들은 이런일이생겨도 어디에 말할곳도 없고 이런 일들로 인해서 피해를 보더라도 어디가서 목소리한번 낼수없는 심정은 진짜 벤츠코리아나 이런곳에서는 모를겁니다이것저것 알아본 결과로는 거의 보상을 받기가 힘들거라는 말뿐이고실질적으로 차량을 인수후 무슨 튜닝을 한것도 아니고 그냥 타기만 했을뿐인데 불이나버린거면 어떻게 처리할수있으며 어떻게 벤츠코리하쪽으로 보상을 받을수있는데 저희로서는 알아보는것에는 한계가 있고 해봤자 네이버에 물어보거나 앞서 그런일들이 어떻게진행됬는지 보는방법뿐입니다   이 일에대해서 어떻게 할수있으며 어떻게 저희가 보상을받을수 피드백 부탁드리겟습니다많이 이슈가되서  차량적 결함이면 다른 피해자분들이 나오지않게 벤츠쪽에서 리콜이든 뭐든 할수있게 조치할수있도록 도와주세요날씨 추운데 다들 감기랑 코로나 조심하시길 바라겠습니다  ","1","https://www.bobaedream.co.kr//view?code=accident&No=661574","요리요","1,970","2020.12.16 15:35",""
"2148517","■ 대한민국 은 무법천지 삼성공화국","삼성이 죽이니까 금융감독원은 밟아버립니다. 국민이 참여한 철저한 조사를 촉구합니다보험료 25 억원만 꿀꺽 (중소기업을 학살) 한 보험료사기 ?청와대국민청원 : https://www1.president.go.kr/petitions/Temp/Pd5HFj? https://youtu.be/aUPnv0nOu54  (주 )패밀리의기막힌 사연  ? http://newstapa.org/article/GRUf5  보험의배신 ⑨코끼리를 냉장고에 넣는 법 ‘셀프 손해사정 ’ 금융감독원은 무법천지 삼성공화국 *보험업법204조(벌칙)보험사기방지법 민원처리에관한법률 제4조 5조는 있으나 마나*? 삼성화재가 보험가입자들 보험료 편취와 탈세로 이익을 챙기는‘셀프 손해사정숫자노름삼성화재가 보험사기전과자를 교통사고 피해자로 조작 보험계약자에게 덮어씌워서 중소기업을 죽이니까 금융감독원은 밟아버립니다.● 개혁 [改革]!! 이젠 금융감독원이다 ■ 언 론 보 도-  ?://t.co/j8r3Q1ihvl?amp=1 ?://www.gukjenews.com/news/articleView.html?idxno=118867 ?://www.gukjenews.com/news/articleView.html?idxno=124905?://www.gukjenews.com/news/articleView.html?idxno=187130※보험사기전과자가 자신의 기왕증을 이용 보험금을 노린 보험사기꾼(69350원)를 형사처벌을하기는 커녕 교통사고 피해자라고 조작 이용한 지급준비금제도를 악용한 삼성화재 와 보험계리사가 부정한 확인을 고의한 숫자(69350원을 537718619원이라고)노름 보험료 (250%10억원)편취 사기와 탈세 보험사기방지법. 보험업법제204조(벌칙)을  묵인 묵살 은폐 방조 민원처리에관한 법률 제4조 5조를 위반 삼성화재를 비호 중소기업을 두 번 세번 죽이고 있는 금융감독원입니다.● 삼성화재 하수인 노릇은 뿌리내린 뿌리뽑아야만할 금융감독원의 적폐 ● 개혁 [改革]!! 이젠 금융감독원이다  ■ 대한민국 은 무법천지 삼성공화국◆http://newstapa.org/article/VwPLd ◆http://newstapa.org/article/IWJni ◆https://youtu.be/cAy_zvzE_CA via @YouTube◆https://youtu.be/yvQMsYInc28 via @YouTube  ◆https://youtu.be/8ZSkouWdZIs via @YouTube  ◆https://youtu.be/vdcvcr1Ug0Q via @YouTube    ◆https://youtu.be/awAUbL2xjHU via @YouTube   ◆https://youtu.be/Cqb0czhnH_g via @YouTube    ◆https://youtu.be/OPZXlb4sk8M via @YouTube   ◆https://youtu.be/QPrEVXIH4h4 via @YouTub   ◆https://youtu.be/UTNlyLGonxg via @YouTube◆http://newstapa.org/article/IWJni  ◆http://newstapa.org/article/bnY8M  ◆http://newstapa.org/article/WILmO  ◆http://newstapa.org/article/Eu2T6   ● 삼성화재 하수인 노릇은 뿌리내린 뿌리뽑아야만할 금융감독원의 적폐 ● 개혁 [改革]!! 이젠 금융감독원이다    ? 주사 한 방으로 '암' 죽인다한 번의 주사와 반복적인 광치료로 부작용 없이 항암치료 암 표적성 단일 성분 초분자 펩타이드 광치료제 개발 https://www.hankyung.com/life/article/2020121070777    https://view.asiae.co.kr/article/2020120910234369915","0","https://www.bobaedream.co.kr//view?code=freeb&No=2148517","family5114","301","2020.12.16 02:20",""
"2147746","● 개혁 [改革]!! 이젠 금융감독원이다","● 삼성화재가 보험가입자들 보험료 편취와 탈세로 이익을 챙기는‘셀프 손해사정숫자노름’●? 삼성화재가 보험사기전과자를 교통사고 피해자로 조작 보험계약자에게 덮어씌워서 중소기업을 죽이니까 금융감독원은 밟아버립니다. 25억 보험료만 꿀꺽한 보험료사기 국민이 참여한 철저한 조사가 필요합니다●청와대국민청원 : https://www1.president.go.kr/petitions/Temp/Pd5HFj● https://youtu.be/aUPnv0nOu54 (주)패밀리의기막힌 사연 ◆http://newstapa.org/article/GRUf5 보험의배신⑨코끼리를 냉장고에 넣는 법‘셀프 손해사정’ ■ 언 론 보 도- ?://t.co/j8r3Q1ihvl?amp=1 ?://www.gukjenews.com/news/articleView.html?idxno=118867 ?://www.gukjenews.com/news/articleView.html?idxno=124905?://www.gukjenews.com/news/articleView.html?idxno=187130※보험사기전과자가 자신의 기왕증을 이용 보험금을 노린 보험사기꾼(69350원)를 형사처벌을하기는 커녕 교통사고 피해자라고 조작 이용한 지급준비금제도를 악용한 삼성화재 와 보험계리사가 부정한 확인을 고의한 숫자(69350원을 537718619원이라고)노름 보험료 (250%10억원)편취 사기와 탈세 보험사기방지법. 보험업법제204조(벌칙)을  묵인 묵살 은폐 방조 민원처리에관한 법률 제4조 5조를 위반 삼성화재를 비호 중소기업을 두 번 세번 죽이고 있는 금융감독원입니다. 금융감독원은 무법천지 삼성공화국 *보험업법204조(벌칙)보험사기방지법 민원법들은 있으나 마나*◆http://newstapa.org/article/VwPLd   http://newstapa.org/article/IWJni  https://youtu.be/cAy_zvzE_CA via @YouTube  ? https://youtu.be/yvQMsYInc28 via @YouTube     ? https://youtu.be/8ZSkouWdZIs via @YouTube      ? https://youtu.be/vdcvcr1Ug0Q via @YouTube         ? https://youtu.be/awAUbL2xjHU via @YouTube         ? https://youtu.be/Cqb0czhnH_g via @YouTube           ? https://youtu.be/OPZXlb4sk8M via @YouTube           ? https://youtu.be/QPrEVXIH4h4 via @YouTub            ? https://youtu.be/UTNlyLGonxg via @YouTube◆http://newstapa.org/article/IWJni  ◆http://newstapa.org/article/bnY8M  ◆http://newstapa.org/article/WILmO  ◆http://newstapa.org/article/Eu2T6   ● 삼성화재 하수인 노릇은 뿌리내린 뿌리뽑아야만할 금융감독원의 적폐 ● 개혁 [改革]!! 이젠 금융감독원이다    ? 주사 한 방으로 '암' 죽인다한 번의 주사와 반복적인 광치료로 부작용 없이 항암치료 암 표적성 단일 성분 초분자 펩타이드 광치료제 개발 https://www.hankyung.com/life/article/2020121070777    https://view.asiae.co.kr/article/2020120910234369915","0","https://www.bobaedream.co.kr//view?code=freeb&No=2147746","family5114","177","2020.12.15 05:47",""
"661317","11월 18일 교차로 사고 진행상황입니다.[14]","첫번째글 :https://www.bobaedream.co.kr/view?code=accident&No=658155두번째글 :https://www.bobaedream.co.kr/view?code=accident&No=658276 아직 사건 진행 중이네요...사고난지 벌써 한달이 다되가는데 상대방은 아직 경찰 조사도 받지 않았다고 합니다.상대방 경찰 조사는 서울로 이관되었고 조사 후 경주 경찰서로 이관되어 올 예정입니다. 가해자 측은 한방병원 입원했다가 퇴원하여 통원치료 중인것을 확인되었고저희측 상x화재에서는 사고 경찰조사 결과 나올때까지 가해자측에 무대응으로 일관하고 있습니다.저와 아들은 상대방 보험사인 현x해상과 합의 완료하였고 대인 및 대물 관련 종결하였습니다.차량 수리는 자차 부담금 20만원 들었으나 상대방 일방과실 나오면 상대 보험사측에 청구 예정이구요. 아직까지 사이다 후기를 남기지 못하여 씁쓸합니다....기간이 얼마나 걸릴지는 모르겠지만 추후 결과 나오면 다시 글 올리겠습니다. P.S 날씨가 많이 쌀쌀해졌네요~ 다들 감기 조심하시고 최근 코로나 관련하여 확진자가 급증하고 있습니다. 모두들 개인 위생 철저히 지켜 무사히 잘 지내셨음 좋겠네요~","33","https://www.bobaedream.co.kr//view?code=accident&No=661317","o벤져o","7,861","2020.12.14 16:52",""
