"post_id","cmt_content","cmt_author","cmt_created_at"
"SPACEBALLS","테슬라는 셀프 주행해서 배달오는거 아니었나요? ㅋㅋ 농담이고 축하드립니다. 부럽네요.","15529094","2020-10-30 13:04:59"
"BLMN","우와 우리나라는 언제 팔런지;;; 축하합니다 사진 몇장 보여주세요 ㅎㅎ","15529094","2020-10-30 13:21:31"
"매력댕이","인증 사진 없어 노인정!!","15529094","2020-10-30 13:23:15"
"Saint-Tail","부럽습니다.ㅜ 한국에는 언제 나올런지...","15529094","2020-10-30 13:25:48"
"ssunshine","축하드려요. 우리나라만 모델3 홈피에 리프레쉬 모델 갱신도 안되고 모델y 예약도 안받으니 참 머스크한테 서운하네요 ㅎㅎ","15529094","2020-10-30 13:26:45"
"graycode","미국 마실은 스케일이 다르지 읺나요? .. ㅎㅎ 후방 시야는 적응하실 때 까진 백업 카메라로 커버를 하셔야 ..","15529094","2020-10-30 13:26:57"
"인가닌가","@graycode님 주행중 백업카메라 켜는 방법은 말씀해 주셔서 알게 되었습니다. 감사합니다. 익숙해질 때까지 켜고 다녀야 겠네요.","15529094","2020-10-30 13:46:31"
"원츄","@인가닌가님 전 백업카메라를 주행중에 보면 멀미가 나더라고요...","15529094","2020-10-30 14:15:05"
"codemasters","한국도 어서 나왔으면 좋겠습니다. 안전 운전하세요~","15529094","2020-10-30 13:34:02"
"인가닌가","인증완료 했습니다. 차 픽업할때 찍었는데 시동을 못걸어서 한참 끙끙댔어요 ㅋ","15529094","2020-10-30 13:34:09"
"jidi-3rd","곧 겨울이라 전비가 안나오겠네요 내년 봄이 되어야 만족스러운 주행거리를 보여줄듯요.","15529094","2020-10-30 13:41:23"
"퍼피짱","@jidi님 이분 프리몬트 20분 거리면 산호세 근처 사실것 같은데 겨울도 따뜻한 곳이라 ㅋ","15529094","2020-10-30 14:21:02"
"우미","@jidi님 그죠. 그동네 얼어죽을듯해가 영하 1~2도 입니다. 고모가 예전에 영하 1도라고 얼어 죽는다고 엄살을...","15529094","2020-10-30 14:41:51"
"허세","모델3도 그렇고 사이드미러 각이 너무 좁아서 광각으로 교체하심이 좋습니드","15529094","2020-10-30 13:48:26"
"박지원","아 문 단차인줄 알았네요 ㄷㄷ 살짝 열어둔거였군요;;","15529094","2020-10-30 13:49:07"
"대쪼","@박지원님 저도 단차인줄 ㅎㅎ","15529094","2020-10-30 15:14:56"
"SuhSquad","테슬라 공장 20마일 거리.. 테세권인데요... 모델Y 너무 부럽습니다!!!!!","15529094","2020-10-30 13:49:31"
"히동구","와..모델Y!!!!!!!!","15529094","2020-10-30 13:53:45"
"난장판","멋집니다!! 와이 부럽습니다!!!","15529094","2020-10-30 13:54:37"
"베이컨샌드위치","와웅 축하합니다. 모델Y 궁금하네요. 근데 사진에서 자꾸 오른쪽 문에 그림자가 신경쓰이네요 문이 덜 닫힌채로 사진 찍힌거겠죠??","15529094","2020-10-30 14:09:49"
"인가닌가","@베이컨샌드위치님 넵 ㅋ 저정도 태평양 단차면 인수 거부 했을거에요","15529094","2020-10-30 14:20:58"
"kingbaq","모델3 롱레인지랑 얼마정도 차이 나나요?","15529094","2020-10-30 14:24:29"
"인가닌가","@너우냐님 모델3 long range AWD $47K, 모델Y AWD 50K 로 $3K 차이입니다.","15529094","2020-10-30 14:30:46"
"kingbaq","@인가닌가님 별차이 없네요? 국내도 롱레 7천언더로 나오겠네요.ㅎ 감사합니다.^_^ 부럽네요ㅎ","15529094","2020-10-30 14:34:26"
"화랑219","오~ 축하드려요. 저도 모델 Y에 산호세쪽에 사는데, 소셜디스턴싱 하며 번개라도 하고 싶네요. ㅎㅎ","15529094","2020-10-30 14:32:30"
"최치선","단거리에 시내면 전비가 좋지 않습니다. 가감속이 많을수록 전비는 급속히 떨어집니다. ㅎㅎ 장거리 주행시엔 실제 표시 전비보다 더 좋게 나오는걸 보시게 될거에요. 출고 정말 축하드립니다!","15529094","2020-10-30 14:39:09"
"Usta","전비 신경 쓰이시면 초반부터 ‘컴포트’로 타세요","15529094","2020-10-30 14:45:46"
"인가닌가","@Usta님 넵 컴포트로 운행해 보겠습니다.","15529094","2020-10-30 15:24:12"
"Kastiel","축하드립니다! 뒷좌석 승차감은 어떤가요? 모델3대비 어떤지 너무 궁금합니다.","15529094","2020-10-30 14:48:43"
"인가닌가","@Kastiel님 제가 뒷좌석 운행을 아직 못했습니다. (그리고 모델 3도...) 기회가 오면 나중에 업뎃 하겠습니다.","15529094","2020-10-30 15:23:15"
"jasonbourne","유투브에서 보면 2열 되게 좁아보이던데 안그런가보네요","15529094","2020-10-30 15:02:51"
"인가닌가","@jasonbourne님 뒷좌석 공간은 넉넉합니다.","15529094","2020-10-30 15:20:04"
"대한민국사람","와 부럽습니다. 한국에 늦게 나와서 기다리다 다른 차를 샀는데. 암튼 축하합니다.","15529094","2020-10-30 15:12:16"
"goameri","열리는 문 유리가 double 로 되었다고 하는데 그런가요?","15529094","2020-10-30 15:14:51"
"인가닌가","@goameri님 (정정합니다) 앞문 유리는 라미네이티드 (듀얼), 뒷문은 싱글이네요","15529094","2020-10-30 15:17:59"
"서연서율아빠","헉 부럽습니다. 코나 전기차 타다 비좁고 화재이슈로 걱정되고 서비스도 전기차는 받기도 힘듭니다 ㅠ 그러다 모델3도 보고 모델y도 탐나던데 크기도 크고 좋아보이네요 무사고 기원드립니다","15529094","2020-10-30 20:04:02"
"FSD","너무 이뿌네요","15529094","2020-10-30 20:57:56"
"비얌","부럽네요 전 블루색상 호감","15529094","2020-10-31 09:09:48"
"인가닌가","비얌님// 블루는 +$2000 이더라구요 흰색외 딴색상은 +$1000.... 그래서 강제로 흰색 선택했는데 나름 만족합니다. ㅋ /Vollago","15529094","2020-10-31 11:49:34"
"파이랜","(대충) 내 이랄줄 알았다 짤...","15525153","2020-10-29 11:49:55"
"ilovechitos","미국은 SW 결함 인정하고 업데이트 하죠? 셀문제는 국내인거고...?; 미국이 더 빡센데 셀 문제 인정을 안하는 걸까요?","15525153","2020-10-29 11:50:36"
"파키케팔로","이 건 대응 담당하는 담당자 누군지 참 사표쓰고 싶을거 같네요. 일을 막 키우는군요. 아마도 사내 역학관계의 희생양이 되실 듯.","15525153","2020-10-29 11:52:21"
"charm-bee","엘지화학만 바보만들고 ㅋㅋ","15525153","2020-10-29 11:53:56"
"H3130","개인적으론 노트 7 느낌이던데....","15525153","2020-10-29 11:54:51"
"믹네코이","@H3130님 그렇죠 그때 전문가가 베러티 오류보단 프로그램충돌 오류를 의심했었죠...( 지문, 홍채, 안면인식이 각 다른회사 프로그램인데 섞다가 오류가 난걸로 의심된다고... ) 그리그 그후 제품은 홍채인식 빠짐....","15525153","2020-10-29 11:56:31"
"루이스s","이때쯤 나오는 뉴스 미국 전동차 제작 관련 규정을 국내와 달라서 국내에서 발생한 사안은 법적처벌 할 수 있는 규정이 없다","15525153","2020-10-29 11:55:25"
"Yong","한국은 그래도 잘 팔리니깐~","15525153","2020-10-29 11:55:29"
"곰종","그럼 저 사실이 맞다면 한국산에는 엘지급 b급을 낸것이고 미국에는 a급 넣었는데 a급이 이상할일없을것이고 왜냐 혼자만 엘지가베터리 쓰는게 아닐테니 한국은 자기들이 b급을 주문 했으니 엘지 베터리라고 하는건가..","15525153","2020-10-29 11:59:57"
"폭풍의눈","ㅋㅋ 너무 뻔한 현기차 패턴이네요. 어떨때는 동일한 제품. 어떨때는 다른 제품. 말바꾸기 종특","15525153","2020-10-29 12:03:40"
"Usta","할많하않","15525071","2020-10-29 11:32:37"
"팜3","@Usta님 국내 시장에서 위세가 있으니 아무래도 국내에서는 좀 더 현대차 임의대로 대응이 되나봅니다","15525071","2020-10-29 11:33:57"
"새로운펩시","@님 위세가 아니라 위증,거짓,구라를 쳐도 별다른 불이익이 없어요. - 언론은 광고 주면 현대어천가를 부르고 - 국토부, 소비자보호원 기타 관련기간은 아무런 힘도 없고 의지도 없고 천조국은 자칫 소송걸려서 난리 나면 미국 시장에서 매장당하고 벌금이 어마어마하니 이실직고 하고 나서는 거죠","15525071","2020-10-30 01:18:56"
"쿠오쿠오","정의선 회장님? 이재용 (부)회장도 잘만 하는 대국민 사과 한번 하시는건 어떻습니까? 어? 그냥 뭉게고 가시게요? 에이 회장님도 참~ 회사 좀 대국적으로 운영하십쇼.","15525071","2020-10-29 11:32:43"
"팜3","@쿠오쿠오님 정의선이 기존 현기차 이미지와는 좀 결이 다르긴 하지만 근본 조직 속성이 비뀌기는 어려울듯 해요","15525071","2020-10-29 11:35:20"
"웨건마니아_록맨10","한국은 배터리라고 국토부가 얘기하다가 소프트업뎃만 하고 미국에선 소프트결함이요?","15525071","2020-10-29 11:33:47"
"팜3","@웨건의초보_록맨10님 소프트웨어는 현기차 자체 설계이니 그 부분 기술력이 관건인 결함을 국내에서라도 숨기고 싶었나 봅니다 내년 현기차 전기차의 국내 시장 성공을 위해 국내 소비자들이 사주는게 정말 중요하거든요","15525071","2020-10-29 11:37:20"
"쿠오쿠오","@웨건의초보_록맨10님 처신 잘하고 있는거죠 ㅋㅋㅋㅋ 우리나라야 구라치다 걸려도 끽해야 과징금 100억정도면 해결되고, 미국에선 구라치다 걸리면 1~10조 날아가는거 순식간이니 ㅋㅋㅋ","15525071","2020-10-29 11:37:29"
"팜3","@쿠오쿠오님 기사에서도 그 부분을 언급하네요","15525071","2020-10-29 11:39:51"
"웨건마니아_록맨10","@쿠오쿠오님 그것도 그렇지만 저도 정부는 자국산업에 우호적이고 보호적인 스탠스까진 이해해도 이건은 그러면 안된다 보는데...참 그래요.","15525071","2020-10-29 11:41:49"
"웨건마니아_록맨10","@님 니로 잘타고있지만 기분이 참 거시기하군요","15525071","2020-10-29 11:42:15"
"graycode","한국 : 셀 문제입니다. 근데 BMS 업데이트는 하세요. 미국 : 셀 문제일 수도 BMS 문제일 수도 있습니다. 그러니 BMS 업데이트 하세요. .. 이거죠?","15525071","2020-10-29 11:43:04"
"팜3","@graycode님 미국서는 ""결함이 있는(faulty) 배터리관리시스템(BMS) 제어 소프트웨어"" 라고 제출했습니다","15525071","2020-10-29 11:44:26"
"ilovechitos","@님 그럼 BMS 업데이트만 하는게 일단 북미에 제출한대로 조치하는게 맞는 거잖아요? 그럼 미국은 셀 자체를 교환하는 조치는 안하는 건지...? 미국이랑 국내 셀이 달라서 이렇게 하는 걸까요...? 미국 과징금이 더 엄청날텐데 BMS 만 일단 업데이트 한다구요..?","15525071","2020-10-29 11:49:21"
"산돌이","자....이제 수출차와 내수차 밧데리가 다르다는 말이 나올차례인가요?","15525071","2020-10-29 11:59:51"
"FC차차","수출차와 내수차 소프트웨어 틀리다는 말이 나올듯요... 그러다가 .... 다시 수출과 내수 차이를 두지않눈다 변명이 또 나올듯...","15525071","2020-10-29 12:38:57"
"Panthers","“현대차 입장에서는 이미지 타격이 클 수밖에 없는 배터리관리시스템 이야기를 빼고 싶었을 것” 글로벌 이미지가 더 중요한거 아닌가요;;;;??? 국내에선 어차피 이미지 실추되든 말든 굳건한 구매층이 있는데, 미국에서 오히려 배터리 결함으로 몰고갔어야,,","15525071","2020-10-29 12:09:02"
"ilovechitos","@Panthers님 저도 그게 더 의문이네요..?","15525071","2020-10-29 12:14:32"
"kudos","@Panthers님 아니죠. 만약 배터리만 문제있다고 보고서 제출했다가, 나중에 NHTSA에서 배터리가 아니라 다른 문제 (예를 들어 BMS)가 있다고 판명나면, 현대자동차는 엄청난 과징금을 물게됩니다. 미국에서 거짓말은 매우 큰 범죄거든요. 일단 애매하게 적어두어야 나중에 빠져나갈 여지가 있는 것이고, 교묘하게 보고서를 제출한 겁니다. 한국은? 그럴 필요 없죠... *토부가 있으니까요.","15525071","2020-10-29 12:40:15"
"천지로","@Panthers님 미국에서서 그렇게 하다가는 만약 배터리가 문제가 아니면, 미국에서 천문학적으로 소송 쳐맞고, 재기가 힘들지도 모를텐데요... 국가에서도 조질테고, 코나EV를 타던 시민들도 소송걸테고..","15525071","2020-10-29 12:54:02"
"Panthers","현대의 대응을 비꼰거라 보시면 됩니다. 우리 나라니까 저런 의견을 변명이랍시고 늘어놓은거죠","15525071","2020-10-29 19:04:54"
"리릿","R엔진 초기에 에어컨 키면 NOx 과다배출 되는 문제 불거졌을때, 국내에는 '어머 실수~❤'로 퉁치고 넘어갔는데, 이게 실수였을까요? 미국이면 폭바게이트급 사태 터졌을 텐데 말입니다. 뭐 그렇죠... 코나도 그런식으로 넘어가지 싶네요. 배터리 문제로 인식되고 넘어가겠죠... 현대는 국내 이미지가 더 중요합니다. 점유율 80%. 이런 캐시카우 시장이 어디에 있겠어요 ㅋ 간혹 나오는 외제차 완판사태들 보면, 현대 실수 큰거 하면 이 점유율 무너지는거야 우습죠; 국산차라고 현대 사야 한다고 이야기하는 연령대 분들이 이제 슬슬 구매력 떨어져 가는 중이니까요.","15525071","2020-10-29 12:28:06"
"투비세오","대응이 많이 아쉽네요.","15525071","2020-10-29 13:08:38"
"Ghost_K","현대기아차 정도 되면 LG화학 정도는 만만하게 생각하는가 봅니다.","15525071","2020-10-29 13:17:39"
"달려야하나","제 생각에 미국에서 배터리 문제라고 하면 리콜을 하게 되고 그러면 배터리 교체 비용이 어마어마 하니까 SW문제 라고 하고 한국처럼 SW로 넘어 가는게 아닐까 합니다 한국은 배터리 문제 라고 하고도 교체 안해주는 깡과 배경이 대단합니다","15525071","2020-10-29 13:25:54"
"귀태건희석열","엘지화학 입장에선 진짜 열받는 상황이겠네요.","15525071","2020-10-29 13:33:14"
"ORI_R","@무장원소걸아님 내부적으로는 서로들 알고 있을것 같긴 합니다. 개인적인 사견이지만... LG화학이 많이 양보해주고 있는것 같아요.","15525071","2020-10-29 14:50:01"
"카나본","소비자를 바보로 아는것도 아니고 요즘시대에 미국 따로 한국 따로라니.. 헛웃음이 나오네요 ㅋㅋ 현대 전기차는 당분간 안팔릴듯..","15525071","2020-10-29 13:36:05"
"솔로맥","결국 현기차가 현기차 했을 것이란 보고들이 나오는 군요.","15525071","2020-10-29 14:03:07"
"ㅇㄷㄷ","국내에 거짓말 뭐 한 두번 일인가요.","15525071","2020-10-29 14:55:45"
"Cantic","저게 배터리 자체 문제였으면, 현기가 LG화학이랑 저렇게 점잖게 이야기할리가 없죠. 첨부터 뻔히 보였습니다.","15525071","2020-10-29 16:03:07"
"MH엠에이치","수출용 코나EV와 국내용 코나EV는 다릅니다...... 라고 할 것 같은 생각이 드네요.","15525071","2020-10-29 16:27:20"
"쟈끄","역시 우리 현기네요 ㅎㅎ 앞으로 전기차 팔기 싫은가 봐요.","15525071","2020-10-29 17:27:37"
"EUROPA_MR","코나오너입니다. 볼트는 히트펌프식인가요? 궁금하네용","15518882","2020-10-27 14:08:21"
"마음하늘","@EUROPA_MR님 볼트ev는 히트펌프 없습니다 전 트림...","15518882","2020-10-27 14:08:40"
"EUROPA_MR","@마음하늘님 아..그렇군요.. 볼트가 통풍만 있었어도 다 포기하고 볼트로 가는건데.. 괜히 코나를 사서 ㅠㅠㅠㅠㅠ 부럽습니다!","15518882","2020-10-27 14:09:32"
"마음하늘","@EUROPA_MR님 음.. 통풍은 사제로 가시는겁니다? 농담이고 렌트해서 몰아봤는데 다 장단점이 있는 거 같습니다. 여담이지만 볼트ev는 마티즈 대짜(?!) 취급을 받는 경우가 있습니다.ㅎ","15518882","2020-10-27 14:11:11"
"MIKE_OXMAUL","@EUROPA_MR님 코나 구매하려고 지금 알아보고 있는데요 혹시 무슨 문제가 있는건가요? 만약 지금 추천해주신다면 어느 전기차로 구매하시고 싶은지 궁금합니다.","15518882","2020-10-27 14:17:31"
"kyjc1309","@MIKE_OXMAUL님 코나는 지금 충전중 불나는걸로 화재가 되고 있죠","15518882","2020-10-27 14:24:15"
"EUROPA_MR","@MIKE_OXMAUL님 배터리 문제가 진행형이죠. 해결되고 사시는걸 추천드립니다.","15518882","2020-10-27 14:27:30"
"citytour","연비로는 어느 정도인가요? 볼트19년식인데 여름에 6대였다가 에어컨 안키니 8정도 나와서 흐뭇했는데 슬슬 히터가 걱정됩니다ㅜㅜ","15518882","2020-10-27 14:09:54"
"마음하늘","@citytour님 주행 습관이나 주행 당일 온도에 따라서 많이 다릅니다만.. 일반적으로 반토막이라고 생각하고 다니시면 많이 여유롭습니다(?!) 적당히 히터 트시면 주행거리 1/3 정도 날라간다고(?) 생각하시면 무난합니다. 겨울에 장거리 다니시면 급속 충전 속도 저하도 고려하셔야 합니다. (히터 최대로 틀어서 배터리 열 좀 받으면 충전 속도 올라오긴 합니다)","15518882","2020-10-27 14:13:10"
"마음하늘","@citytour님 https://www.clien.net/service/board/park/14468164 CLIEN 겨울철에 제가 올렸던 글입니다.","15518882","2020-10-27 14:16:18"
"citytour","마음하늘님// 80퍼 충전 상태에서 300 이하라고 생각하고 다녀야겠군요ㅠㅠ볼트와 맞는 첫 겨울이라...감사합니다","15518882","2020-10-27 14:16:45"
"마음하늘","@citytour님 100% 충전에서 254 찍혀있는 글 보시면.. 완충해도 200키로 정도 안심하고(?) 사용할 거리가 됩니다. 추운 날은요.. ㄷㄷㄷ","15518882","2020-10-27 14:18:24"
"마음하늘","@멍멍고양이님 이게 올해 1월 8일에 찍은 100% 충전시 정보창 입니다 (254km) https://cdn.clien.net/web/api/file/F01/9468275/66201859e86e7.jpg?w=780&h=30000","15518882","2020-10-27 14:19:38"
