"post_id","cmt_content","cmt_author","cmt_created_at","cmt_updated_at"
"흐미","출처가...좀 그렇군요 ...ㅠㅠ","15879892","2021-02-10 12:29:35",""
"memberst","... 코나 베터리는 LG 현대 합작일텐데..","15879892","2021-02-10 12:29:46",""
"프레디.","@memberst님

내용에서는 셀결함을 지적하고있네요.

모듈과 패키지는 현대모비스가 담당하지만 셀은 LG/SK서 납품받죠....","15879892","2021-02-10 12:30:32",""
"중간보스","그럼 LG셀 들어간 모든 전기차들 싸그리 리콜 되나요?

LG 휘청 하겠네요.

(이 리플은 비꼬는 리플 입니다. 저는 저 뉴스를 믿지 못하겠습니다. - 현직 방산 2차전지 담당 연구원 -)","15879892","2021-02-10 12:30:17","2021-02-10 12:31:55"
"밤눈이","뉴데일리에 단독이라 믿음이 안가네요..ㅎ.. 애플카도 그렇고..","15879892","2021-02-10 12:30:18",""
"ring","일베 정론지는 퍼오지 맙시다.","15879892","2021-02-10 12:30:32",""
"xkfxhldPwjd","현대 VS LG 에너지 솔루션 단두대 매치","15879892","2021-02-10 12:31:05",""
"kafca","중국 제조 분리막이 문제라고 하던데요","15879892","2021-02-10 12:31:17",""
"중간보스","@얼룩소음메님 리튬셀이 발화 하는 경우는 금속전극 표면에서 금속이 석출되어 분리막을 뚫고 +/-전극이 내부 숏트되는 경우입니다.
이는 보통 과충전/과방전 및 비정상적인 온도에서의 충전이 이뤄지는 비정상적인 사용환경일 경우에 한하는데
다른말로 중국산 분리막을 사용하더라도 정상적인 사용환경에서 셀이 발화까지 이어지는 경우는 없습니다.","15879892","2021-02-10 12:36:23",""
"아크데몬","대단하네요 !!","15879892","2021-02-10 12:32:01",""
"램팟","현대차에서 LG 담당자에 '어떻게 이렇게 배터리를 만드냐'며 질책한 것으로 안다

->
쌍욕을 퍼부으며 당신이 알아서 책임지고 전부 다 교체해!

라고 했을것 같습니다
/Vollago","15879892","2021-02-10 12:32:44",""
"gounsa","저렇게 큰 사안에 현장에서 현대가 엘지 담당자에게 호통을 친다구요? 윗급들끼리 만나 협의했을텐데 말이죠.
못 믿겠네요.","15879892","2021-02-10 12:35:01",""
"폭풍의눈","며칠 전부터 돌던 찌라시네요. 찌라시 그대로 기사화한건지","15879892","2021-02-10 12:35:50",""
"Vanadis","일개 담당자가 가서 저런 건으로 사과를 한다?
대기업 끼리?
회사생활 어디 동아리에서 했나요?
저런 기사를 쓰는 기자의 자질이 궁금하네요....ㅎㅎㅎ","15879892","2021-02-10 12:36:03",""
"그란데","어딘가
노트7 바떼리 결함 조사내용을 보는 느낌..","15879892","2021-02-10 12:36:06",""
"초식노인","저 기사가 사실이라면 배상비용을 엘지가 감당할 수 있으려나 모르겠네요","15879892","2021-02-10 12:37:08","2021-02-10 12:37:35"
"memberst","@초식노인님 아마 차기 계약부분에서 lg가 불리하게 되는걸로 마무리 하겠죠","15879892","2021-02-10 12:38:09",""
"달파란.","사회생활 안해본 아이들이 기자되면 이렇게 됩니다.","15879892","2021-02-10 12:37:21",""
"스트리트","단독??? ㅋㅋ","15879892","2021-02-10 12:39:38",""
"kissing","대기업끼리 저런다고요? ㅋㅋㅋ","15879892","2021-02-10 12:44:44",""
"반포치맥","현장에서 담당자가 바로 잘못을 인정하고 사과를 한다고요? 대기업들끼리 저렇게 일을 한다고요? ㅋㅋ","15879892","2021-02-10 12:44:45","2021-02-10 12:46:31"
"초보탱커","저 기사가 사실이 아닐경우 저 기자및 회사 문닫게 할수 있나요.?","15879892","2021-02-10 12:49:24",""
"tanga","결함확인을 담당자가 현장 해준다고? 말도 안되는 X소리를 기레기 수준 드러나네","15879892","2021-02-10 12:54:49",""
"파이랜","사실이라면 LG화학에서 현대차에만 납품한게 아닌데 왜 코나만 줄줄이 불탔는지....?","15879892","2021-02-10 13:23:13",""
"야마돌아","야.철수야 너가 잘못했으니 영희힌테 가서 사과해. 그럼 너의 잘못이 다 없어질꺼야...수준의 기사네요. ㅋㅋㅋㅋㅋ자본주의에서 잘잘못은 돈으로 메꾸는거죠.","15879892","2021-02-10 13:50:23",""
"우유커피","16일 런칭 예정인 아이오닉...?","15879892","2021-02-10 15:53:22",""
