"id","title","content","likes","url","author","views","created_at","updated_at"
"16012272","코나 전기차 중고 가격방어 굉장하네요.","연식이 2년넘어서 중고거래가 가능한데지역보조금+국고보조금 받으면신차가격이 3000만원 초반대 인 차량이중고가격은 평균 2500만원 대네요;;2년넘은 감가가 500~600만원 ㄷㄷㄷ..취등록세 면제인거 생각하면 엄청 나네요;;배터리 화재 , 배터리 안전마진으로 주행거리 축소되었는데이런 악재는 우습게 피해가네요.","0","https://www.clien.net/service/board/park/16012272?combine=true&q=%EC%BD%94%EB%82%98+%ED%99%94%EC%9E%AC&p=11&sort=recency&boardCd=&isBoard=false","DreamGate","7317","2021-03-30 07:14:17",""
"16003492","현대차 아이오닉 5 롱레인지 2WD, 환경부 공인 주행거리 429km","현대자동차가 26일 아이오닉 5 롱레인지 2WD 모델의 환경부 공인 주행거리가 429km라고 발표했다.
현대차 관계자는 “스탠다드, 롱레인지 4WD 모델의 주행거리 인증이 진행중이다”며 “인증이 나는대로 공지할 예정”이라고 밝혔다.
현대차는 다음달부터 아이오닉 5 롱레인지 2WD 모델의 국내 인도를 시작한다. 롱레인지 4WD 모델은 5월부터 인도가 진행된다. 2WD 모델은 후륜구동 기반이다.
https://n.news.naver.com/article/092/0002217223","6","https://www.clien.net/service/board/news/16003492?combine=true&q=%EC%BD%94%EB%82%98+%ED%99%94%EC%9E%AC&p=11&sort=recency&boardCd=&isBoard=false","vondee","43644","2021-03-26 23:24:34",""
"16001850","아이오닉5 유럽인증","아이오닉5가 유럽에서 인증을받았네요.  430km 한국 환경부 기준은 대략 388km?사륜은 350km? 추정된다고 합니다.확실한 것은 인증이 되어봐야 하니까둘리배나 만지고 있어야겠습니다.ㅎ수정국내인증도 429km 받았네요.이상하네..?","0","https://www.clien.net/service/board/park/16001850?combine=true&q=%EC%BD%94%EB%82%98+%ED%99%94%EC%9E%AC&p=11&sort=recency&boardCd=&isBoard=false","악투리안","3291","2021-03-26 13:14:28","2021-03-26 13:22:00"
"15999353","전기차의 계절이 오고있네요","미팅 있어서 서울 다녀오는데 전비가 잘나와서 올려봅니다코나 일렉트릭이구요마제스티 9 끼웠는데 순정 타이어였으면 10 넘었을 듯 하네요코나 화재 대응 보면 참 밉지만서도 현기 전기차가 전비는 참 좋은 거 같아요","2","https://www.clien.net/service/board/cm_car/15999353?combine=true&q=%EC%BD%94%EB%82%98+%ED%99%94%EC%9E%AC&p=11&sort=recency&boardCd=&isBoard=false","흥미도","3304","2021-03-25 19:43:21","2021-03-25 19:43:41"
"15988810","(단독)'LG 배터리' 탑재한 전기차 조에 유럽서 리콜 (122대)","(단독)'LG 배터리' 탑재한 전기차 조에 유럽서 리콜 - http://www.newstomato.com/ReadNews.aspx?no=1032316


LG에너지솔루션의 폴란드 공장 생산 배터리가 탑재된 프랑스제 르노 조에중 일부(122대)에 리콜조치가 시행된다고 합니다.","0","https://www.clien.net/service/board/park/15988810?combine=true&q=%EC%BD%94%EB%82%98+%ED%99%94%EC%9E%AC&p=11&sort=recency&boardCd=&isBoard=false","프레디.","3638","2021-03-22 11:47:04","2021-03-22 11:50:31"
"15988141","이런 분들은 전기차 못삽니다.","귀에 염증이 너무 심해서통증에 밤잠을 설치고..평소 전기차를 상담하며 겪었던 경험들을 써봅니다.매우 주관적인 글입니다.공감 안되실 부분이 많으실 겁니다.중고차딜러 하면서사고대차 렌트도 하고최근에 테슬라 시승도 혼자 진행하면서전기차를 안타본 분들과 많은 얘기를 해봤는데이런분들은 절대 못삽니다.장담하는데 진짜 절대못삽니다 ㅋㅋㅋㅋ만약 여러분들 중에 이런 유형에 해당된다고 생각하시면전기차 구입을 보류 가 아닌 철회로 가시는게 좋습니다.1. 큰차 (팰리세이드 카니발 급) 를 원한다지금 나온 전기차들 중 제일 큰 차가 테슬라 모델X 입니다.원래부터 보조금 안되던 차량에대충 신차값 1억5천 이상 나갑니다.5-6-7인승 구성이 있는데 일단 가성비 탈락카니발 팰리세이드 급을 찾으시는 분들은이 가격대를 감당하실 분들이 아닙니다.저도 솔직히 1억넘는 차는 엄청나게 부담스럽죠..ㅜㅜ1억 이상의 차량들. 카이엔이나.. x5 GLE 등등을 고민중이신 분들이 감당 가능한 영역이라 ㅜㅜ모델X가 비싼 이유가물론 수입차에다가 문짝도 특이하고 그런게 있지만배터리가 훨씬 큽니다. 아직 배터리가..비싸요 ㅜㅜ주행거리 확보를 위해서 엄청나게 큰 배터리를 쓰지만그래도 주행거리 500킬로 못탑니다.고민되실 겁니다.2. 천킬로 정도는 타야하지 않냐?!1000km경유차 기름 까득 채우면 1000킬로 가능하긴 할겁니다. 기름넣는 시간은 진짜 길어야 10분이 안되는데..1000km급 배터리가 나온다면충전시간이.. ㅋㅋㅋ 제가 타는 모델3 깡통이 밖에서 40분 충전하면 200km 정도 탑니다.(40분의 기준은 전국에 제일 많은 환경부 50kw급 충전시간제한이 40분입니다. 40분뒤 컷!)모델3 깡통이 전비(=연비)가 상당히 좋은 편입니다.여기 클리앙 분들은 안그렇지만제 주변의 지인들 중에는기름차처럼 까득 채워야만 한다는 강박이 있는 분들이엄청나게 많습니다.전기차를 타게되면 0 to 80% 시간이 정말 중요한데80-100% 충전시간이 0-80% 충전시간보다 더오래 걸린다는걸이해를 못합니다. (이해하려고 하질 않아요 솔직히)모델3깡통 주행거리가 350km 인데 (배터리 50kw)80%기준 잡으면 280km 정도 됩니다.그러면 한다는 말이""그라믄 그거가꼬 서울도 한번에 못가네?!""하면서 갑자기 저를 이상한놈 취급하면서 그딴걸 왜 타냐고 ㅋㅋㅋㅋ자. 물론 시대가 흐르면 기술이 발전하겠지만.아직 발전하지 않았다 치고지금 기준에서 1000km 주행가능한 배터리가 나왔다고 치면이거 80% 채우는데 걸리는 시간이 얼마나 걸릴지..물론! 제가 그렇게 오랫동안 시간걸리면서 충전하면 비효율적이니목적지까지 가는 거리와 마진 몇십킬로 정도 더 충전하면 된다고 하면또 그때가서 충전소찾아야하고 뭐 어쩌고 귀찮아서 어떻게타냐!! 합니다ㅋㅋㅋㅋㅋ틀린말이 하나도 없습니다. 사실이예요3. n년뒤에 살거다.이분들은 구입가능성이 솔직히 반반입니다.나름 분석을 많이 하셨고, 그래서 내린 결론이a-""기술이 빠르게 발전하니 지금보다 나중이 낫다""b-""아직 충전 인프라가 부족하다""배터리 관련 전문가가 아닌그냥 자동차바닥에서 일하고 경험한 제 입장에서a는 그 나중이 언제 올지 알수가 없으며b는 영원히 충전인프라가 부족할 것입니다.제가 탔던 bmw  i3는14년도에 처음 출시되어 지금까지도 판매중이며배터리 업그레이드가 2번 진행되었습니다.(최초 22kw, 이후 32kw, 현재 42kw)(주행거리는 각 130km, 200km, 250km)제가 알기론같은 배터리팩 사이즈에서 이렇게 효율이 좋아진 건데여기서 더 큰 배터리 용량은 안나올것이고나오긴 하겠지만 비용이 넘사벽이라실용적인 가격대가 오려면 정말 아주오래 걸릴겁니다3년 5년단위가 절대 아닐거란 말이죠.. 어디선가 들었는데배터리 기술의 더딘 발전이 지구문명기술의 진화를 막아서고 있다 할 정도로현재의 배터리 기술이 한계점에 다다른 상황이라고 합니다.모터기술은 아주 오래전에 완성되었고내연기관도 엄청나게 발전했지만 여기까지가 끝인가보오..하고어떻게 보면 온갖 장르의 과학자들이유즈맵 테크 업글을 배터리만 찍어대는데도별로 티가 안나는 속상한 상황..인듯 합니다.일론머스크도 그냥 냅다 7천개 갖다붙여서 만들자! 해버린거고이제 4천개로 줄인다는데 셀 크기가 더 커진거여서..;;물론 이 부분도 엄청나게 발전된거지만현재 지구에서 제일 효율성에 미친 사람이 하고있는최고의 행동이 저거라는건.. 이게 한계인가..싶습니다.그 분들의 n의 숫자가 몇 인지는 모르겠지만10 이하라면.. 아마 못사실겁니다..자 그리고 충전인프라제가 사는 울산 기준급속충전기가 3년간 50개에서 200개로 늘어난 수준입니다.그러나, 동네가 현대광역시라 그런지..전기차에 관심이 없으니 충전소가 얼마나 있는지 관심도 없으며요즘 몇개 보이니까 진짜 10개도 없는줄 알더라구요.이렇게 많아져도 적다.. 한 천개 깔려도 적다고 할 사람들 입니다.그리고 솔직히 충전인프라는급속보다 가정용 완속이 훨씬 중요합니다.집밥 이라는게 없으면 진짜 타기 힘들긴 합니다.오래된 아파트는 주차대수 1.1대 수준인데입주민과 싸워가며 설치하려 해도관리사무소에서 어 그거 불나는거아니예요 하면서 설치안해버리고환장할 노릇이지요. 이런 인식개선에 몇년이 걸릴까요... 게다가 요즘 신축아파트 충전기 많이 설치하는데그래도 500단지급 아파트에 충전기 20개도 설치 안합니다.요즘 신축이면 울산은 대략 1.5대 정도 되는듯 한데5% 정도 될까 싶네요. 이번 항목은 좀 안타까운 경우이죠. 이런 부분이 개선되면 전기차를 구입할 분들인데..4. 배터리 그거 교체해야 하지않냐?!자 이런 지인이나 손님 만나면 바로 상담접습니다설명 더 해줄필요없습니다.아 하나는 알려줍니다.배터리 20만킬로 이상 써진다고.이미 한국에 쉐보레 볼트 30만킬로 찍은 분이 계시는데..배터리 수명이 아직 짱짱합니다.이렇게 수명이 길다고 알려줘도배터리 2천만원씩 한다 하면그런 소모품을 교체해가면서 어떻게 타냐!? 넌 왜 그딴걸 샀냐?! 하면서 갑자기 또라이취급합니다 ㅋㅋㅋㅋ자 잘생각해봐요20만킬로 넘은 차를 몇번 본적있는지저는 중고차하면서 택시부활차 도공렉스턴 등등을 보아왔지만진짜 드물어요..중고차딜러들 끼리는 400만원 이하의 저렴한 연식오래된 차를""잡차"" 라고 부릅니다.연식만 오래되고 주행거리 10만킬로 초반이라면차 상태가 제법 준수합니다.하지만 20만 근처 갔다.... 이러면 ""금액이 없다"" 라고 설명합니다.매입금액이 존재하지 않는다.. 뭐 이런 뜻인데TG240 24만킬로 매입문의 들어왔을때정말 정중히 죄송합니다..했습니다.그래도 얼마줄수 있냐고 계속 물어보셨는데끝까지 말씀 못드렸습니다...어떤 금액을 알려드려도 쌍욕을 먹습니다..ㅜㅜ차량 판매하실때 애지중지 아끼고 보살핀 그 마음저도 엄청나게 잘 알지만..그 차를 다른 사람이 살땐 그냥 24만킬로 탄 07년식 중고차입니다 ㅜㅜ 갑자기 멀리 와버렸는데전기차를 20만킬로 탔다고 치면배터리를 2천주고 교체할까요? 설마 ㅋㅋㅋㅋ하체부품 내장재 등등도 다 내려앉고 그냥 속된말로 썩차 된건데애정이 있지 않는 이상.. 대부분의 오너들은 최소비용으로 버티다가 새차 구입하실겁니다.5. 불나잖아 위험해음..............................지금부터는 뭐 전기차가 싫은 분들이라 보시면 됩니다.한국에서 현대자동차가 사고율이 제일 높습니다.많이 팔려서 그런거거든요.. 근데 실제로는 전기차의 화재비율이 내연기관보다 훨씬 적습니다.해외 자동차화재 관련 글을 구글에서 대충 검색만 해봐도 나옵니다.엔진차가 훨씬 많이 팔렸고, 화재도 훨씬 많은겁니다.초밥보다 라면먹다 사망하는 경우가 더 많다고 보시면 됩니다.불 한번 났다 하면 아주 빵빵 터트리는 언론인들이 문제입니다.(이런 비유를 예시로 써서 오너분들께 굉장히 죄송합니다.모두 빨리 해결받으셔서 마음편히 타셨으면 합니다.)코나ev 불나잖아 하면520d 갖다붙입니다.두 경우 모두 해결을 진행중이고상당부분 해결되었습니다.화재율 자체는 낮지만화재 진압 등등의 문제가 훨씬 큰 부분이라 생각됩니다. 이건 완전 동의합니다.이렇게 거의 이상한놈 취급을 받으며몇년째 타는데저렇게 부정적이라고하루종일 까면서다음날 전화와서는내가 말할땐 안듣고어디서 또 듣고 와서는유지비 얼마드냐고 ㅋㅋㅋㅋ만원으로 한 300킬로 간다충전 저렴하게 하면 500킬로 타진다하면 또 막 고민하다가 다시 1번부터 반복 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ기름값 오르면서 또 부담스러운데귀찮은건 싫고유지비 아껴도 중고차값 감가되면 소용없는거 아니냐 하는데이때부턴 제가 진짜 귀싸대기 준비합니다차를 타고 한바퀴 굴리면 차값이 당연이 떨어지지그걸 갖다붙이냐 에라이 촵촵촵 ㅋㅋㅋ수백명을 만나며 전기차 이야기를 해보았습니다.그중 5% 정도만이 전기차를 구입했고.구입자의 90%는 매우만족 했으며10%의 불만족은 차량크기와 집밥없이 산 경우 입니다.나머지 95% 중5%는 차량가격이 저렴한 편이 아니어서경제적인 부담.. 과 마눌리지 부족으로 구매에 실패한 경우가 대부분 입니다.전기차를 부정적으로 본 90% 중10% 정도는없어보인다 였습니다.기름값 그거 얼마한다고 그걸 아끼려고 하냐.. 그돈도 없냐 등등나머지 분들은 저 위의 항목들 중 대부분에 해당되었습니다.앞으로 내연기관이 완전히 없어진다는 말저는 안믿습니다.진짜 한 50년은 지나야 될듯한데..기름쟁이들의 로비력이 국가간 전쟁을 일으킬 수준으로 강력한데당장 정치권 로비만 봐도그린벨트 해제시키고이상한 연가시같은거 20억인가?...기름장사 하는 아저씨들이 로비하면 뭐 2천억 단위로 하지 않을까요;게다가 사람들도 생활패턴을 바꾸기 싫어서 전기차를 비난하는데기름차 안없어질겁니다.수소차..는 모르겠어요전 일단 넥쏘 산다는 분들은 뜯어말리는 편입니다.뉴스에 나온 연료전지스택 문제는제가 몇년전에 글 몇개만 검색했을때도 예견된 문제였습니다.전기차 타려면큰마음 먹을 필요는 없고생활패턴을 바꿔야 합니다. 2~3일에 한번 하루 한시간 정도가 필요합니다.집밥이 없다면 정말 귀찮지만저는 직장인이 아닌지라.. 3년정도 해보니 통장에 생활비가 쌓이는 수준까지 갔고엔진소리는 이제 스포츠가 배기소리 아니고서는 관심도 없습니다.경사진 오르막 차고올라갈때는 진짜 속이다시원할 정도여서앞으로 개인차량은 엔진차로 갈 일이 절대 없습니다.지금 갖고있는 젠쿱도 수동이니까 소장용으로..갖고있는거지오토였으면 진작에 팔아서 보냈을거 같아요.하루 한시간씩 혼자만의 시간을 갖고 싶으신 유부선배님들께정말 초강력 추천합니다...!!!저 결혼한지 이제 4주됬는데...키보드 치는 거 시끄럽대요...친구가 안쓴다고 준 게이밍 키보드인데...5주전엔 아무말 안했단말이예요...ㅜㅜ","153","https://www.clien.net/service/board/cm_car/15988141?combine=true&q=%EC%BD%94%EB%82%98+%ED%99%94%EC%9E%AC&p=11&sort=recency&boardCd=&isBoard=false","꾸꾸믹스","53662","2021-03-22 04:56:47","2021-03-22 09:50:06"
"15986211","세컨카 코나 중고 고민입니다","안녕하세요.스파크s를 왕복 50km 안팎 출퇴근용으로 쓰고 있습니다. 스파크s 운전도 주차도 편하고 유지비도 적어 참 만족스러운데 요즘 짐이 많아져서 뒷자리까지 꽉 채우고 다니다보니 공간이 너무 부족하네요.그래서 혼자 운전하기 편하고 적당히 잘 나가는 코나 중고를 보고 있습니다코나 1.6t 4wd- 18년형은 가격도 2000미만으로 구입 가능하고 딱히 잔고장도 없고 적당하게 타기 좋을 듯 합니다만경차에 비해 연비와 취등록세. 세금 등이 좀 걱정입니다 코나 EV- 집밥, 회사밥이 있어서 충전에 대한 스트레스는 덜 하고 연비도 좋을 듯 한데한데 리콜을 했다해도 화재 걱정에 차랭 가격이 400~500만원 비싼게 좀 걸립니다.그리고 보증 이후 고장나거나 수리를 하게 되면...  벌써부터 겁이나네요~ 타보신분들이나 운용하시는분들 조언 부탁드립니다","0","https://www.clien.net/service/board/cm_car/15986211?combine=true&q=%EC%BD%94%EB%82%98+%ED%99%94%EC%9E%AC&p=11&sort=recency&boardCd=&isBoard=false","동빵","4443","2021-03-21 10:15:29",""
"15978858","폭스바겐 파워데이 보니 갑자기 oci가 생각납니다.","10년전 Oci가 폴리실리콘에서 중국업체의 무자비한 보조금과 저렴한전기료에 기댄 압도적 가격경쟁력에 무릎을 꿇은 역사가 있습니다.Lcd도 사실상 중국업체에 국내업체가 무릎을 꿇었고요.보조금으로 치킨게임건뒤 경쟁사 사라지면 제값받기전략이 통한셈입니다.미래 산업의 쌀이라하면 반도체 배터리인데반도체는 미국견제로 나날이 힘들어지니차라리 기존에도 경쟁력있는 배터리에 보조금투하한다면..국내배터리3사 치킨게임에서 살아남을수있을지걱정입니다.그나마 한국에는 현기가 있으니 납품처는 확실하지만 글로벌 점유율싸움붙으면 어찌될지...여하튼 노스볼트 본격생산전에 시장을 장악해버리지 않으면 힘들듯합니다.","1","https://www.clien.net/service/board/cm_stock/15978858?combine=true&q=%EC%BD%94%EB%82%98+%ED%99%94%EC%9E%AC&p=11&sort=recency&boardCd=&isBoard=false","jeanrock","2825","2021-03-18 13:19:27",""
"15978569","GM, 전기차 화재 원인 내달 발표... LG엔솔, 또 리콜 비용 부담하나","LG에너지솔루션의 배터리가 장착된 제너럴모터스(GM)의 전기차 볼트EV 리콜 정책이 다음달 발표될 예정이어서 업계가 주목하고 있다. GM이 배터리 전면 교체로 방향을 잡을 경우 LG는 수천억원의 비용을 부담해야할 것으로 보인다. 현대차의 코나EV에 이은 대규모 리콜이어서 실적은 물론 배터리 사업 확장에도 악영향을 줄 전망이다.

17일 관련 업계에 따르면 GM은 다음달 볼트EV 화재 관련 해결 방안을 발표할 예정이다. GM은 자체 조사한 화재 원인과 리콜 방식 등을 발표할 것으로 전해졌다.

지난해 미국에서 주차 중이던 볼트EV에서 총 3건의 화재가 발생했다. 미국 도로교통안전국(NHTSA)은 지난해 말 조사에 착수했고, GM은 배터리 리콜을 진행했다. 당시 GM은 배터리를 100% 충전할 경우 화재가 발생할 수 있다고 판단해 충전을 90%까지만 가능하도록 조치했다. 리콜된 차량은 볼트EV 2017~2019년형 6만9000여대였다.업계에서는 GM이 앞서 진행된 LG에너지솔루션과 현대차간 코나EV의 배터리 리콜 사례를 참고할 것이라는 관측이 나온다. LG에너지솔루션과 현대차는 지난달 코나EV 배터리 리콜에 합의하고 총 비용 약 1조4000억원을 7대 3으로 분담했다. GM이 볼트EV 배터리 교체를 결정할 경우 코나EV 리콜 사례가 기준이 될 수 있다.

GM이 배터리 교체를 결정할 경우 LG는 수천억원의 비용을 부담할 것으로 보인다. 현대차의 배터리 리콜 규모는 코나EV 7만5680대와 아이오닉EV 5716대, 일렉시티 버스 305대 등 총 8만1701대였다. 볼트EV 리콜 대상은 6만9000여대다. 볼트EV 배터리를 전면 교체한다고 가정했을 때 현대차 사례를 대입해 추산하면 적어도 1조원 가량의 리콜 비용이 소요된다. GM이 자체 조사 결과 배터리에 문제가 있다며 배터리 전면 교체를 발표할 경우 현대차 리콜 사례를 감안해 비슷한 분담 비율을 LG에너지솔루션에 제시할 가능성이 높다.https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=366&aid=0000686030","5","https://www.clien.net/service/board/news/15978569?combine=true&q=%EC%BD%94%EB%82%98+%ED%99%94%EC%9E%AC&p=11&sort=recency&boardCd=&isBoard=false","엘자","21571","2021-03-18 11:38:54","2021-03-18 11:58:17"
"15969099","구 전기오닉에서 코나 전기로 가면 어떨까요?","최근 니로 전기차 매물이 저렴하게 나와 와이프한테 얘기했다가 등짝 3대 맞았습니다.그냥 구오닉이나 타야지 하고 있는데, 렌트 코나를 저렴하게 정리하고 있더군요. (렌트이력에 대해 담배냄새 빼고 크게 거부감 없습니다)하루 130km 출퇴근 중입니다. 차데모 구오닉에 LKAS ASCC 달고 무료 회사밥 먹이면서 살고 있습니다.고속주행 위주고 적당히 밟고 다니고 있는데... 다른 건 다 좋은데, 겨울에 주행거리가 아슬아슬하네요. -15도 급으로 내려가지 않는 이상 모자라진 않습니다만, 가끔 전날 뭐 당근마켓 등으로 차 운행하는 경우 다음 날 출근 위해 조금이라도 충전하는게 귀찮습니다.지금 구오닉 팔고 돈 조금만 더 보태면 코나 살 수 있겠더라구요. ,그런데 아이오닉 대비 장단점이 너무 뚜렷해서 고민입니다. 혹시 제가 생각 못한 게 있나 궁금합니다.장점1. 더 높은 출력 (120마력 -> 204마력)2. 주행가능거리 길어 주말 여행용 사용 좋음, 무료 회사밥 이용 극대화 가능 (200km -> 400km, 전비 중요치 않음)3. 더 나은 옵션 (BSD, DC콤보 포트)4. 멀티링크 서스펜션, 오르막길 이슈 없음 (구오닉은 전륜 쪽 무게 부족으로 오르막길 힘든 경우가 아주 가끔 있습니다;)단점1. 오닉보다 작음 (오닉도 큰 차가 아닌데 아쉽긴 합니다. 아직 아기가 없고 와이프 차는 중형차입니다)2. 오닉보다 NVH나 승차감 면에서 마이너스라던데, 어떤가요?3. 리콜 전 까지 화재 위험성, 일단 90%까지만 충전하면 안전한건가요?4. 브레이크 이슈가 있던데 해결 된 건지 궁금합니다.전기차에게 힘든 겨울 다 갔는데, 괜히 불안함 갖고 바꾸는 게 잘 하는 것은 아닐 것 같긴 한데... 그냥 코나 전기차라는 차에 궁금하기도 하고, 어차피 키로수 대부분을 혼자 타면서 적립하는데 나쁜 선택이 아닌 것 같기도 하고 (리콜 정상적으로 이루어진다는 가정 하에요) 괜히 싱숭생숭합니다 ㅎㅎ","0","https://www.clien.net/service/board/cm_car/15969099?combine=true&q=%EC%BD%94%EB%82%98+%ED%99%94%EC%9E%AC&p=11&sort=recency&boardCd=&isBoard=false","Everholic","3688","2021-03-15 02:44:30",""
