post_id,cmt_content,cmt_author,cmt_created_at
1253680,100 %라는건 없어용 추후에도 몇년지나 날수도있고 안날수도 하부충격만 받아도 불보다도 폐차하는게 전기차입니다.. ㅎㅎ 선택은 본인이 과속안고 도로에 떨어져있는건 무조건 피하며 불편해도 어디 올라태우고 주차하거나 무리한 운행은 피하면서 타고 있습죠 그리고 음주한놈이 날라와서 때리면 어차피 답이없으니 너무걱정마시고 본인에 맞으면 사셔요 충전 조건이 제일중요하니 인생사 어차피 떠날사람은 무슨짓을해도 떠나더이다~~,왕만두도적I쏘부I충북,2023-07-30 12:03:00
1249186,그정도면 전기차 안사시는게 맞습니다. 인산철이 안정성이 높다하나 매년 발생하는 카라반 전소사건 중 인산철에서 발생하는 경우가 의외로 많습니다.,줍줍 I전기차I일산,2023-07-24 19:40:00
1249186,의외네요? ㅠㅠ,고래야IEV9I경기,2023-07-24 19:42:00
1249186,자동차 보험 대물 최대한도 + 전기차 특약. 주택화재보험. 아파트 화재보험,톰I아5아6모3I설,2023-07-24 19:41:00
1249186,아팟 화재 보험은 의무 가입이라 다들 들어있고. 주택은 공용공간은 해당 없지 않을가요?,크리스l모SYl경기,2023-07-24 20:00:00
1249186,"차량 화재는 내연차도 동일합니다. 내연차도 사고나서 엔진에 불붙으면 죽는거고, 전기차는 배터리 잘못찍혀서 열폭주생기면 죽어요. 전기차라고 특별히 더 위험한게 아닙니다",윙구lGV70l강원,2023-07-24 19:44:00
1249186,전기차는 화재진압이 잘 안되서 더 위험한건 맞아요 (여기서 위험하다는 뜻은 아파트 다른차량에 막대한 피해를 줄 가능성이 더 크다는 부분),육공마칸llGV60ll세종,2023-07-24 19:46:00
1249186,차량화재는 내연차도 동일한건 맞고 화재시 전기차가 특별히 위험한 거 맞죠,티오l모델YI경기,2023-07-24 20:37:00
1249186,전기차의 문제는 열폭주로 확산 속도가 지나치게 빠른게 문제이지요.,마루한I말리부I대전,2023-07-26 01:20:00
1249186,화재걱정을 하자면차를 타지않으시는게 낫습니다...전기자전거도 타지말아야하고요. 100% 신뢰를 할수있다는건 말이안됩니다 100%란건 없죠...,정정IM3I전북,2023-07-24 19:54:00
1249186,일단 충전하다가 불나는건 약간 특수케이스로 봐야할듯 싶구요 운행중 사고로 불이 나는게 무서운건데 고속주행중에 추돌이나 충돌로 배터리에 데미지가 들어갈때 발화가능성이 있는듯해요 그래서 전 고속도로에선 혼자서만 타던지 가족끼리는 왠만하면 고속도로 안나갑니다,육공마칸llGV60ll세종,2023-07-24 19:57:00
1249186,중국산 봉고차(?)에 lfp가 들어가나봐요 우연히 운전하시는 분 얘기 들었는데 겨울에 절반도 안간다고 하시네요 겨울 주행거리가 엄청 안 좋은거 같네요,장수남I경기,2023-07-24 20:09:00
1249186,"1. 주차시 화재 발생 가능성에 대해서.현재까지의 주차시 화재는 주차중 충전을 하는 상황에서 과충전이 발생하거나,외부에서 배터리에 데미지를 입고 와서 주차시 발생의 두가지 케이스로 볼수 있습니다.위의 두가지 조건 외에 가만히 있는 차량에서 불이 나는 경우도 과거 코나의 케이스에서 있었습니다.1-1. 그정도 광범위한 커버리지를 가지는 보험은 따로 보험사에 문의를 하셔야 할 것 같습니다.2. LFP는 치환반응 온도가 낮아 브리치된 셀에서 다른 셀로 전파되는 열연쇄가 일어나기 어려운 조건이라는 것이지 화재 자체가 100% 발생하지 않는다는 것은 아닙니다.누군가 송곳으로 LFP 배터리를 찌르면 화재가 날수밖에 없습니다. 그러나 그것이 다른셀로 전파되는 속도가 가능성이 낮아집니다.",타이드I서울,2023-07-24 20:10:00
