post_id,cmt_content,cmt_author,cmt_created_at,cmt_updated_at,cmt_likes
1403930,"어떤경로로 구입하신즈 궁금합니다.
그리고 축하드려요",파워워전주,2024-02-27 22:14:00,,
1403930,"장터보면  판매글아직도있습니다
저말고도  몇분이 차받으셨고요~~",남구lix3l부산,2024-02-27 22:15:00,,
1403930,감사합니다,파워워전주,2024-02-27 22:16:00,,
1403930,사양 및 금액 궁금합니다,시골얘I오닉니로I충북,2024-02-27 22:14:00,,
1403930,"어스ㆍ썬룹ㆍ빌트인ㆍhud
3년총액3300입니다",남구lix3l부산,2024-02-27 22:16:00,,
1403930,오오오 축하드립니다,곰팅이ll경기,2024-02-27 22:15:00,,
1403930,감사합니다~,남구lix3l부산,2024-02-27 22:15:00,,
1403930,보험료 세금 포함이니3000에 사신겁니다 축하드려요 ㅎㅎ,겸둥이I아이오닉I인천,2024-02-27 22:18:00,,
1403930,"저도계산해보니
인수만 무사히한다면
3000정도 주고샀다생각합니다
어차피  렌트이력이야
전기중고차  많은거고
영업용만아니면 큰흠아니라생각하네요~^^",남구lix3l부산,2024-02-27 22:19:00,,
1403930,저도 이번달에 샀고3년전에도 사서 인수해서 잘 팔았습니다당시 기억은 안나는데니로ev 렌트 후 인수하고코로나 반도체 대란때500인가 더 받고 팔았어요 ㅎㅎ 헤이딜러로 ㅎㅎ,겸둥이I아이오닉I인천,2024-02-27 22:21:00,,
1403930,헉 부럽네요~~^^,남구lix3l부산,2024-02-27 22:21:00,,
1403930,인수할때 기억에코나 화재사건으로 전기차 가격  폭락하고난리도 아니었을때였는데 잘 샀죠~~,겸둥이I아이오닉I인천,2024-02-27 22:23:00,,
1403930,시기가 잘맞았던거같으시네요^^,남구lix3 ev6l부산,2024-02-27 22:23:00,,
1403930,지금도 사기 좋아요전기차에 대한 여론이 워낙 안좋아서신차도 좋고 여기도 좋고,겸둥이I아이오닉I인천,2024-02-27 22:25:00,,
1403930,잘타고다니다 무사히3년뒤  인수하면좋겠네요^^,남구lix3 ev6l부산,2024-02-27 22:26:00,,
1403930,축하드립니다 ㅎㅎ 트렁크에 있는 스티로폼은 제주 갈치는 아니겠죠? ㅋㅋ,바람Iix50폴스타I성남,2024-02-27 22:29:00,,
1403930,ㅎ아니고  소등심35만원치 이네요^^;;,남구lix3 ev6l부산,2024-02-27 22:30:00,,
1403930,축하드립니다. 저도 가져와서 오늘 전면 썬팅했네요^^,가브리엘I아6I서울,2024-02-27 23:03:00,,
1403930,"아ᆢ저도썬팅해야될듯ᆢ
이거썬팅이안된거죠?",남구lix3 ev6l부산,2024-02-27 23:04:00,,
1403930,네 제차는 안되어있더라고요. 측후면 선팅이 워낙 양호해서 같은 필름으로 전면 오늘하고 왔습니다.,가브리엘I아6I서울,2024-02-27 23:05:00,,
1403930,"저도 앞에맡겨야겠네요
가브리엘님도축하드려요~~^^",남구lix3 ev6l부산,2024-02-27 23:06:00,,
1403930,어디에있나여 판매글에없던데요,싸일런트l ev6l 경기,2024-02-27 23:24:00,,
1403930,https://cafe.naver.com/allfm01/1403385?tc=shared_link,남구lix3 ev6l부산,2024-02-27 23:25:00,,
1403930,아무쪼록 무탈하게 인수하시길 바랍니다~~,장군I니로I경기,2024-02-27 23:47:00,,
1403930,축하드립니다~~^^ 멋진 선택 같아요!!,포포나인I대전,2024-02-28 23:06:00,,
1403930,축하 드려요. 주행거리가 저 보다 짧은거 받으셨네요. ㅎㅎ 제가 젤 짧은거라 생각 했는데... 살짝 우울해 지네요..ㅋㅋ,승태윤경세IEV6I김포,2024-03-01 15:05:00,,
1403930,쪽지 확인부탁드립니다.,또롱또롱롱I부산,2024-03-03 11:24:00,,
1403930,쪽지확인요,남구lix3 ev6l부산,2024-03-03 11:26:00,,
1403930,실내 시트 상태는 괜찮으셨나요?(변색 등),천안I박송,2024-03-12 23:31:00,,
1402468,"닉네임 변경 후 글 작성해 주세요.한글별명은 ""별명I보유전기차I지역"" 결합으로 구분은 영문대문자 아이(I)입니다.보유하고 계신 전기차가 없으시면 ""별명과 지역"" 만 표기해주시면 됩니다.",전기l니로EVl부산,2024-02-26 09:40:00,,
1402468,넹,냥냥입니다만I서울,2024-02-26 09:50:00,,
1402468,배터리 리콜후엔 잠잠한데 솔직히 불안한건 사실이에요,연천l코나l양택이,2024-02-26 09:54:00,,
1402468,"배터리 새걸로 바꿔주면서
화재도 잠잠했고
중고가방어는 잘되었어요
지금은 신형차량이 많이 나오니... 
실내공간이 작아서 더더욱 그런거같기도",시지l오닉 코나l대구,2024-02-26 18:14:00,,
1402115,"불은 안나는거 같어요 맨날 충전해도 
iccu는 모르겠습니다 
원인도 모르고 준비도 제대로 하는지",아이폰ㅣ아5ㅣ안산,2024-02-25 17:05:00,,
1402115,내부적으로 이미 문제점 파악은 했을텐데 해결 못하는거 보면...돈이 많이 드나 싶기도하넹ㅅ,곰셋lK9l수원,2024-02-25 17:10:00,,
1402115,"iccu는 16만킬로 까지 보증인데 현기 기준 보증 끝날경우 200이 나갑니다 일반인들이 10만도 겨우 탑니다
많이 타는분들은 1면에 5만 넘기구요 
제가 4만넘깁니다 헌데 문제는 장거리주행이 많은 분들은 피해를
본다는겁니다",아이폰ㅣ아5ㅣ안산,2024-02-25 17:12:00,,
1402115,보증 끝났다고 돈 200을 받아요? ㅎㅎ 에라이 양심에 털난놈들..,곰셋lK9l수원,2024-02-25 17:13:00,,
1402115,200넘습니다 ㅋㅋㅋ 살짝 그래서 무한보증이나 리콜로 가야 하는건데 준비는 할랑가 모르겠내요 ㅎ,아이폰ㅣ아5ㅣ안산,2024-02-25 17:13:00,,
1402115,이렇게 되면 맘편히 V2L 쓸수 있는차는 토레스 뿐인가요..,곰셋lK9l수원,2024-02-25 17:14:00,,
1402115,다음 세대 전기차 가는거 밖에 없습니다 지금으로선 ㅋ,아이폰ㅣ아5ㅣ안산,2024-02-25 17:15:00,,
1402115,의견 감사합니다. 주말 잘보내십셔,곰셋lK9l수원,2024-02-25 17:23:00,,
1402115,다음세대는 기본 800km 이상 갈꺼 같습니다 어차피 계속 발전합니다 잔기차는 무조건 팔아야 하거든요 ㅋ,아이폰ㅣ아5ㅣ안산,2024-02-25 17:23:00,,
1402115,아무래도 그렇죠 근데 솔직히 화재는 하브나 내연기관차량도 많이나요 ㅠㅠ iccu 때문에 ㅠㅠ 사시가 꺼려지죠 저는 주행하믄서 계기판을 습관적으로 보네여 ㅠㅠ,쭈니lev6l서울,2024-02-25 17:06:00,,
1402115,그죠. 화재는 다 나는데 아5는 충돌후 바로 나는게 문제라면 문제네요. ICCU도 금방 정리가 될 줄 알았더니 꽤 오래 못잡는거 보니 손이 안나갑니다...ㅠㅠ,곰셋lK9l수원,2024-02-25 17:10:00,,
