post_id,cmt_content,cmt_author,cmt_created_at,cmt_updated_at,cmt_likes
1020834,저도 그렇게 알고 있어서 올해 받고 싶습니다..,불경I익산,2022-09-29 15:32:00,,
1019453,화재 가능성 없는차는 없습니다,귀연 lev6l 부천,2022-09-28 17:46:00,,
1019453,내연기관보다 화재가 적다고 합니다.,키I아이오닉5모3,2022-09-28 17:50:00,,
1019453,안심이네요~감사합니다,웨스트블루l인천,2022-09-28 17:50:00,,
1019453,"전기차 배터리 특성상 화재위험은 높으나, 각종 안전장치들로 인해 화재발생은 거의 없습니다.

기사 찾아보시면 아시겠지만,
전기차 화재율과 건수가 내연차 대비 한참 낮습니다.

하지만, 
지금 다니는 전기차 수가 내연차에 비해 압도적으로 적고, 차량 연식들도 압도적으로 짧습니다.
게다가 60kwh이상의 배터리들이 달린차들 배터리도 대부분 리콜도 되어 배터리 연식또한 얼마 되지 않았죠

배터리 특성상 SOH가 낮아지면 화재위험성이 올라갑니다.
그래서 중국에서는 SOH 80%이상이면 강제로 배터리 폐처리 합니다.

우리나라는 이러한 강제규정이 없어 노후 전기차가 많아지면 화재율도 급증할것으로 보입니다.

최근 기사에서도
작년대비 올해 전기차 화재건수가 2배 증가했다고 하는것을 보면 장기적으로는 화재 사고가 우려 됩니다..",Cold HKl 볼트l서울,2022-09-28 18:56:00,,
1019453,10만대 당 화재건수는 하이브리드 가스차 전기차 순으로 하이브리드가 가장 화재가 많이 발생합니다.전기차 화재가 진압이 어려워 이슈가 되다보니 전기차=화재위험 으로 각인되는것 같네요,코볼트I코나볼트I수원,2022-09-28 19:30:00,,
1019453,"두 분 지식제공에 감사드립니다 ~
한수배웁니다",웨스트블루l인천,2022-09-28 19:29:00,,
1019453,"비행기 사고나서 죽을 확률이 자동차 사고로 죽을 확률보다 낮은데, 비행기가 더 위험한것 같은 착각(?) 하고 비슷한 느낌이네요",팬더베어,2022-09-28 19:45:00,,
1019453,코나처럼 결함으로 불나는거아니면 걱정할거리는 아닌거같네요,브이l코나l부천,2022-09-28 20:39:00,,
1019453,좋은 정보 감사합니다,윤스테이,2022-09-28 21:49:00,,
1019453,좋은정보 감사합니다,동탄쿠앤크I동탄,2022-09-30 16:08:00,,
1019453,"기사보고 걱정이 많이 되는데, 안전 운전하면 괜찮겠죠! 좋은 정보 감사합니다.",데구리IEQAI부천,2022-10-01 14:39:00,,
1019400,우려했던 정책이 드뎌 공식화되었나 보군요.,늑대바람I코나I용인,2022-09-30 13:37:00,,
1018300,저는 그냥 위험하니 사지마라고 합니다ㅋㅋ,김람쥐I쏘울EVI김해,2022-09-27 22:18:00,,
1018300,아.. 그거 명쾌한 해법이네요ㅋㅋ,파파IIONIQ5I서산,2022-09-27 22:20:00,,
1018300,다 얘기하면 피곤해서 저도 위에 분처럼 그냥 말 다 맞다면서 기다리는 게 상책이라고 얘기하고 말아요 ㅎㅎ,타겟8 I 부산,2022-09-27 22:22:00,,
1018300,"친절히 설명해주면 차자랑마냥 생각해서 진짜 설명해주기도 이제 싫더라고요..
에너지만 쏟은 느낌ㅠ",파파IIONIQ5I서산,2022-09-27 22:23:00,,
1018300,"이놈저분 다사가지고 못보던차 늘어나서
오늘 충전해야되는데 충전기 다차서
못하고 지하주차장만 3번 내려갔다왔네요
차폭발하지니깐 전기차 사지마시오",막달려Iev6etron55I,2022-09-27 22:26:00,,
1018300,그렇죠ㅎㅎ 충전도 불편하고 단점만 얘기해줘야겠어요ㅋㅋ,파파IIONIQ5I서산,2022-09-27 22:26:00,,
1018300,"전 다들 충전이 불편해서 안산다고 하던데요. 장거리도 1년에 한두번 가는 사람들이.. 참고로 저희 집은 신축이라 급속급속기 6대 있는데 항상 비어 있습니다. 콘센트형은 10대 있는데 플하만 1,2대 주차겸 충전하고.",이셈 I i4 I 서울,2022-09-27 22:35:00,,
1018300,"아 그것도 안적었네요ㅋㅋ 주행거리가 짧다며 천키로는 나와줘야 한다길래
제가 그래서 아니 400km를 화장실이나 휴게소한번 안들리고 운전할일이 있냐고 얘기한적 있었네요ㅋㅋ",파파IIONIQ5I서산,2022-09-27 22:36:00,,
